#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
eunuch;Eunuch;Eunuque;Eunuch;;Eunuco;;;;;;;;;x
EVTOPTALoR.417;When I get my hands on him...;Quand j'aurai mis la main sur ce scélérat…;Wenn ich ihn in die Finger bekomme…;;Cuando le pongo las manos encima…;;;;;;;;;x
EVTDESCLoR.500;Chariot races are scheduled to be held soon at the Hippodrome. Eight charioteers from the traditional Blue and Green teams will be competing for glory on the track. You may choose to throw your weight behind one of these factions and bet on them in a show of support.;Les courses de chars sont prévues pour bientôt à l'Hippodrome. Huit coureurs des traditionnelles équipes des Bleus et des Verts vont concourir pour la gloire sur la piste. Vous pouvez choisir d'appuyer une de ces factions et de miser sur l'une d'elles pou;Wagenrennen werden bald im Hippodrom stattfinden. Acht  Wagenlenker der traditionellen blauen und grünen Mannschaft werden gegeneinander für den Ruhm auf der Strecke antreten. Ihr könnt Euch hinter eine dieser Fraktionen stellen und auf sie wetten, um Eur;;Está previso que dentro de poco se celebren carreras de carros en el Hipódromo. Ocho aurigas de los tradicionales equipos Azul y Verde van a competir para obtener la gloria en la pista. Si quieres, puedes darlo todo por una de estas facciones y apostar por ellos en muestra de tu apoyo.;;;;;;;;;x
EVTOPTALoR.500;Support the Blues.;Soutenir les Bleus.;Unterstützt die Blauen.;;Apoya a los Azules.;;;;;;;;;x
EVTOPTBLoR.500;Support the Greens.;Soutenir les Verts.;Unterstützt die Grünen.;;Apoya a los Verdes.;;;;;;;;;x
EVTOPTCLoR.500;I have no time for silly games.;Je n'ai pas de temps pour ces jeux idiots.;Ich habe keine Zeit für dumme Spielchen.;;No tengo tiempo para juegos estupidos.;;;;;;;;;x
hippodrome_nobet;You wash your hands of chariot racing.;La course de chars, je m'en lave les mains.;Ihr wollt mit Wagenrennen nichts mehr zu tun haben .;;Te lavas las manos acerca las carreras de carros.;;;;;;;;;x
EVTTOOLTIPLoR.501;the Blue team winning.;l'équipe des Bleus gagne.;die blaue Mannschaft gewinnt.;;El equipo Azul va ganando.;;;;;;;;;x
EVTDESCLoR.501;It was close, but the Blue team emerged as the winner after a tense final lap. Their triumphant charioteer makes a victory lap to the cheers of the ecstatic crowds. When he passes your seat he bows his head as a sign of respect and gratitude.;Il s'en est fallu de peu mais après un dernier tour serré, l'équipe des Bleus est sortie vainqueur. Le coureur triomphant fait un tour d'honneur sous les acclamations de la foule en extase. Lorsqu'il passe devant vous, il courbe la tête en signe de respec;Es war eng, doch die blaue Mannschaft ging, nach einer packenden letzten Runde, als Sieger hervor. Der triumphierende Wagenlenker drehte eine Ehrenrunde, begleitet vom Jubel der ekstatischen Menge. Als er an Eurem Sitz vorbeikommt, neigt er seinen Kopf, a;;Estaba cerca, pero el equipo Azul emergió como ganador después de una tensa vuelta final. Su triunfante auriga hace una vuelta de honor ante la ovación de la clamorosa multitud. Y cuando te adelanta, te hace una reverencia en signo de respeto y gratitud.;;;;;;;;;x
EVTOPTALoR.501;I know how to pick a winner.;Je sais comment choisir un gagnant.;Ich weiß, wie ich einen Gewinner auswähle.;;Sé cómo pronosticar un ganador.;;;;;;;;;x
EVTTOOLTIPLoR.502;the Blue team losing.;l'équipe des Bleus perd.;die blaue Mannschaft verliert.;;El equipo Azul va perdiendo.;;;;;;;;;x
EVTDESCLoR.502;The Blue team lost the race after a nail-biting final lap. To the cheers of the crowd, the triumphant Green charioteer makes a victory lap. As he passes your seat, he flashes a gloating smile and gives you a little wave. Fortunately, your quick-thinking servants remove your wine cup before you can hurl it at him.;L'équipe des Bleus perd après un palpitant tour final. Sous les acclamations de la foule, le coureur triomphant des Verts fait un tour d'honneur. Lorsqu'il passe devant vous, il affiche un sourire radieux et vous fait un petit signe de la main. Heureuseme;Die blaue Mannschaft verlor das Rennen, nach einer nervenaufreibenden, letzten Runde. Unter dem Jubel der Menge dreht der triumphierende, grüne Wagenlenker eine Ehrenrunde. Als er an Eurem Sitz vorbeikommt, lässt er ein schadenfrohes Lächeln aufblitzen un;;El equipo Azul perdió la carrera después de una angustiosa última vuelta. Entre la aclamación de la multitud, el triunfante auriga Verde hace una vuelta de honor. Al adelantarte, esboza una sonrisa burlona y te saluda con la mano. Afortunadamente tus ágiles sirvientes te quitan la copa de vino de tus manos antes de que se la arrojes.;;;;;;;;;x
EVTOPTALoR.502;That little...!;Ce petit... !;Dieser kleine …!;;Ese pequeño ...!;;;;;;;;;x
EVTTOOLTIPLoR.503;the Green team winning.;l'équipe des Verts gagne.;die grüne Mannschaft gewinnt.;;El equipo Verde va ganando.;;;;;;;;;x
EVTDESCLoR.503;It was close, but the Green team emerged as the winner after a tense final lap. Their triumphant charioteer makes a victory lap to the cheers of the ecstatic crowds. When he passes your seat he bows his head as a sign of respect and gratitude.;Il s'en est fallu de peu mais après un dernier tour serré, l'équipe des Verts est sortie vainqueur. Le coureur triomphant fait un tour d'honneur sous les acclamations de la foule en extase. Lorsqu'il passe devant vous, il courbe la tête en signe de respec;Es war eng, doch die grüne Mannschaft ging, nach einer spannenden letzten Runde, als Sieger hervor. Der triumphierende Wagenlenker drehte eine Ehrenrunde, begleitet vom Jubel der ekstatischen Menge. Als er an Eurem Sitz vorbeikommt, neigt er seinen Kopf, ;;Estaba cerca, pero el equipo Verde emergió como ganador después de una tensa vuelta final. Su triunfante auriga hace una vuelta de honor ante la ovación de la clamorosa multitud. Y cuando te adelanta, te hace una reverencia en signo de respeto y gratitud.;;;;;;;;;x
EVTOPTALoR.503;I know how to pick a winner.;Je sais comment choisir un gagnant.;Ich weiß, wie ich einen Gewinner auswähle.;;Sé cómo pronosticar el ganador.;;;;;;;;;x
EVTTOOLTIPLoR.504;the Green team losing.;l'équipe des Verts perd.;die grüne Mannschaft verliert.;;El equipo Verde va perdiendo.;;;;;;;;;x
EVTDESCLoR.504;The Green team lost the race after a nail-biting final lap. To the cheers of the crowd, the triumphant Blue charioteer makes a victory lap. As he passes your seat, he flashes a gloating smile and gives you a little wave. Fortunately, your quick-thinking servants remove your wine cup before you can hurl it at him.;L'équipe des Verts perd après un palpitant tour final. Sous les acclamations de la foule, le coureur triomphant des Bleus fait un tour d'honneur. Lorsqu'il passe devant vous, il affiche un sourire radieux et vous fait un petit signe de la main. Heureuseme;Die grüne Mannschaft verlor das Rennen, nach einer nervenaufreibenden, letzten Runde. Unter dem Jubel der Menge dreht der triumphierende, blaue Wagenlenker eine Ehrenrunde. Als er an Eurem Sitz vorbeikommt, lässt er ein schadenfrohes Lächeln aufblitzen un;;El equipo Verde perdió la carrera después de una angustiosa última vuelta. Entre la aclamación de la multitud, el triunfante auriga Azul hace una vuelta de honor. Al adelantarte, esboza una sonrisa burlona y te saluda con la mano. Afortunadamente tus ágiles sirvientes te quitan la copa de vino de tus manos antes de que se la arrojes.;;;;;;;;;x
EVTOPTALoR.504;That little...!;Ce petit... !;Dieser kleine …!;;Ese pequeño ...!;;;;;;;;;x
EVTDESCLoR.800;One of the eunuchs at the Imperial Court has distinguished himself and caught the attention of your advisors. Though they are usually of the jealous kind and loathe to admit redeeming qualities in others, even they cannot deny the promise of this young man.;Un des eunuques de la Cour impériale s'est distingué et a attiré l'attention de vos conseillers. Bien qu'ils soient habituellement du style jaloux et qu'ils aient horreur d'admettre trouver des qualités chez les autres, même eux ne peuvent nier le potenti;Einer der Eunuchen des kaiserlichen Hofes hat sich ausgezeichnet und die Aufmerksamkeit Eurer Berater auf sich gezogen. Auch wenn sie normalerweise eher eifersüchtiger Natur sind und es verabscheuen, positive Eigenschaften anderer anzuerkennen, können auc;;Uno de los eunucos de la Corte Imperial se ha destacado  del resto y ha llamado la atención de tus asesores. Aunque por lo general son más bien celosos y detestan reconocer las cualidades redentoras de los demás, no pueden negar la promesa de este joven.;;;;;;;;;x
EVTOPTALoR.800;Very well. Bring this man before me.;Très bien. Amenez-moi cet homme.;Nun gut. Bringt ihn zu mir.;;Muy bien. Traedme este hombre ante mí.;;;;;;;;;x
EVTOPTBLoR.800;He should be cleaning floors and watching over women.;Il devrait laver les sols et surveiller les femmes.;Er sollte Böden reinigen und auf die Frauen aufpassen.;;Él debería estar limpiando suelos y cuidando de las mujeres.;;;;;;;;;x
introduce_eunuch;Your servants leave to fetch the eunuch.;Les serviteurs vont chercher l'eunuque.;Eure Bediensteten gehen, um den Eunuchen zu holen.;;Tus sirvientes van a buscar al eunuco.;;;;;;;;;x
no_to_eunuchs;You refuse to deal with this eunuch.;Vous refusez de négocier avec cette eunuque.;Ihr weigert Euch, Euch mit diesem Eunuchen auseinander zu setzen.;;Te niegas a tratar con este eunuco.;;;;;;;;;x
EVTDESCLoR.801;The eunuch is brought and you can immediately tell there is a keen intelligence behind the young man's eyes. His loyalty to you is without question, and here is a man who cannot be seduced by the wiles of women or turned against you by dynastic ties. Despite his few years, he has already won renown for his martial ability.;On amène l'eunuque et vous devinez immédiatement la vive intelligence qui se cache derrière son regard. Sa loyauté envers vous est incontestable, et c'est un homme qui ne saura se laisser séduire par les ruses des femmes ni qui se retournera contre vous p;Der Eunuch wird gebracht und Ihr könnt sofort erkennen, dass sich ein scharfer Verstand hinter den Augen des jungen Mannes verbirgt. Seine Loyalität Euch gegenüber ist bedingungslos. Hier ist ein Mann, der nicht durch die Listen der Frauen verführt werden;;Te traen el eunuco e inmediatamente te das cuenta, por su mirada, que posee una gran inteligencia. No hay duda de su lealtad hacia ti, y aquí tienes un hombre que no va a dejarse seducir por las artimañas de las mujeres ni se va a volver a tu contra por cuestiones de lazos dinásticos. A pesar de su juventud, ya adquirió renombre por su habilidad marcial.;;;;;;;;;x
EVTOPTALoR.801;You will serve me well.;Vous allez m'être bien utile.;Du wirst mir gut dienen.;;Tu me vas a servir bien.;;;;;;;;;x
EVTDESCLoR.802;The eunuch is brought and you can immediately tell there is a keen intelligence behind the young man's eyes. His loyalty to you is without question, and here is a man who cannot be seduced by the wiles of women or turned against you by dynastic ties. Despite his few years, he has already won renown for his diplomatic ability.;On amène l'eunuque et vous devinez immédiatement la vive intelligence qui se cache derrière son regard. Sa loyauté envers vous est incontestable, et c'est un homme qui ne saura se laisser séduire par les ruses des femmes ni qui se retournera contre vous p;Der Eunuch wird gebracht und Ihr könnt sofort erkennen, dass sich ein scharfer Verstand hinter den Augen des jungen Mannes verbirgt. Seine Loyalität Euch gegenüber ist bedingungslos. Hier ist ein Mann, der nicht durch die Listen der Frauen verführt werden;;Te traen el eunuco e inmediatamente te das cuenta, por su mirada, que posee una gran inteligencia. No hay duda de su lealtad hacia ti, he  aquí un hombre que no va a dejarse seducir por las artimañas de las mujeres ni se va a volver a tu contra por cuestiones de lazos dinásticos. A pesar de su juventud, ya adquirió renombre por su habilidad marcial.;;;;;;;;;x
EVTDESCLoR.803;The eunuch is brought and you can immediately tell there is a keen intelligence behind the young man's eyes. His loyalty to you is without question, and here is a man who cannot be seduced by the wiles of women or turned against you by dynastic ties. Despite his few years, he has already won renown for his stewardship.;On amène l'eunuque et vous devinez immédiatement la vive intelligence qui se cache derrière son regard. Sa loyauté envers vous est incontestable, et c'est un homme qui ne saura se laisser séduire par les ruses des femmes ni qui se retournera contre vous p;Der Eunuch wird gebracht und Ihr könnt sofort erkennen, dass sich ein scharfer Verstand hinter den Augen des jungen Mannes verbirgt. Seine Loyalität Euch gegenüber ist bedingungslos. Hier ist ein Mann, der nicht durch die Listen der Frauen verführt werden;;Te traen el eunuco e inmediatamente te das cuenta, por su mirada, que posee una gran inteligencia. No hay duda de su lealtad hacia ti, he  aquí un hombre que no va a dejarse seducir por las artimañas de las mujeres ni se va a volver a tu contra por cuestiones de lazos dinásticos. A pesar de su juventud, ya adquirió renombre por su gestión.;;;;;;;;;x
EVTDESCLoR.804;The eunuch is brought and you can immediately tell there is a keen intelligence behind the young man's eyes. His loyalty to you is without question, and here is a man who cannot be seduced by the wiles of women or turned against you by dynastic ties. Despite his few years, he has already won renown for his skill at intrigue.;On amène l'eunuque et vous devinez immédiatement la vive intelligence qui se cache derrière son regard. Sa loyauté envers vous est incontestable, et c'est un homme qui ne saura se laisser séduire par les ruses des femmes ni qui se retournera contre vous p;Der Eunuch wird gebracht und Ihr könnt sofort erkennen, dass sich ein scharfer Verstand hinter den Augen des jungen Mannes verbirgt. Seine Loyalität Euch gegenüber ist bedingungslos. Hier ist ein Mann, der nicht durch die Listen der Frauen verführt werden;;Te traen el eunuco e inmediatamente te das cuenta, por su mirada, que posee una gran inteligencia. No hay duda de su lealtad hacia ti, he  aquí un hombre que no va a dejarse seducir por las artimañas de las mujeres ni se va a volver a tu contra por cuestiones de lazos dinásticos. A pesar de su juventud, ya adquirió renombre por su habilidad marcial. A pesar de su juventud, ya adquirió renombre por sus habilidades en la intriga.;;;;;;;;;x
EVTDESCLoR.805;The eunuch is brought and you can immediately tell there is a keen intelligence behind the young man's eyes. His loyalty to you is without question, and here is a man who cannot be seduced by the wiles of women or turned against you by dynastic ties. Despite his few years, he has already won renown for his scholarship.;On amène l'eunuque et vous devinez immédiatement la vive intelligence qui se cache derrière son regard. Sa loyauté envers vous est incontestable, et c'est un homme qui ne saura se laisser séduire par les ruses des femmes ni qui se retournera contre vous p;Der Eunuch wird gebracht und Ihr könnt sofort erkennen, dass sich ein scharfer Verstand hinter den Augen des jungen Mannes verbirgt. Seine Loyalität Euch gegenüber ist bedingungslos. Hier ist ein Mann, der nicht durch die Listen der Frauen verführt werden;;Te traen el eunuco e inmediatamente te das cuenta, por su mirada, que posee una gran inteligencia. No hay duda de su lealtad hacia ti, he  aquí un hombre que no va a dejarse seducir por las artimañas de las mujeres ni se va a volver a tu contra por cuestiones de lazos dinásticos. A pesar de su juventud, ya adquirió renombre por su habilidad marcial. A pesar de su juventud, ya adquirió renombre por su erudición.;;;;;;;;;x
EVTDESCLoR.830;Your prisoner has been blinded and released. Another threat to your ambitions dealt with.;Votre prisonnier a été aveuglé puis relâché. Une autre menace à vos ambitions vient d'être écartée.;Euer Gefangener wurde geblendet und freigelassen. Eine weitere Bedrohung für Eure Ambitionen ist erledigt.;;Tu  preso ha sido cegado y puesto en libertad. Otra amenaza a tu ambición.;;;;;;;;;x
EVTOPTALoR.830;Watch your step.;Attention à la marche.;Passt auf Eure Schritte auf.;;Ándate con pies de plomo.;;;;;;;;;x
EVTTOOLTIPLoR.831;[Root.GetTitledFirstName] is blinded.;[Root.GetTitledFirstName] est aveugle.;[Root.GetTitledFirstName] wurde geblendet.;;[Root.GetTitledFirstName] es ciego.;;;;;;;;;x
EVTDESCLoR.831;Your jailors enter your cell grinning from ear to ear - something experience has taught you is a very bad sign. "Good news!" one of them says cheerfully. "New orders from the [From.GetTitle]. Ye are to be set free... after ye have been blinded. Take a good look at this cell, because it is the last thing ye shall ever lay eyes on!";Vos geôliers entrent dans votre cellule en souriant à pleines dents - par expérience, vous savez que c'est mauvais signe. ''Bonnes nouvelles ! dit gaiement l'un d'eux. [From.GetTitle] a donné de nouveaux ordres. Tu va être libéré... Mais avant, on va t'av;Eure Gefängnisaufseher betreten Eure Zelle mit einem Grinsen über beide Ohren - etwas, was Eurer Erfahrung nach ein schlechtes Zeichen ist. "Gute Nachricht!", sagte einer von ihnen heiter. "Neue Befehle vom [From.GetTitle]. Du wirst freigelassen... nachde;;Tus carceleros entran en tu celda con una sonrisa de oreja a oreja - la experiencia te ha enseñado que esto es una muy mala señal. "¡Buenas noticias!" Te dice alegremente, uno de ellos. "Tenemos nuevas órdenes de parte de [From.GetTitle]. Serás liberado... pero antes tienes que perder la vista. Ahora eche un buen vistazo a esta celda, porque es la última cosa que va a ver!";;;;;;;;;x
EVTOPTALoR.831;S-stay away from me!;R-restez loin de moi !;B-bleibt weg von mir!;;¡A-aléjate de mí!;;;;;;;;;x
EVTDESCLoR.832;Your prisoner has been castrated and released. His screams could be heard all the way to your chambers.;Votre prisonnier a été castré puis relâché. Son cri a pu être entendu jusqu'à la chambre du conseil.;Euer Gefangener wurde kastriert und freigelassen. Seine Schreie waren bis in Eure Kammern zu vernehmen.;;Tu preso ha sido castrado y puesto en libertad. Sus fuertes gritos se oyeron desde tus aposentos.;;;;;;;;;x
EVTOPTALoR.832;He had it coming.;Il a eu ce qu'il méritait.;Er hat es darauf angelegt.;;Se lo tenía merecido.;;;;;;;;;x
EVTTOOLTIPLoR.833;[Root.GetTitledFirstName] is castrated.;[Root.GetTitledFirstName] est castré.;[Root.GetTitledFirstName] wurde kastriert.;;[Root.GetTitledFirstName] está castrado.;;;;;;;;;x
EVTDESCLoR.833;The commotion outside your cell wakes you suddenly and you demand to know what is going on. Your jailors enter accompanied by an old, toothless man who is carrying a satchel full of surgical instruments. "The [From.GetTitle], in [From.GetHerHis] infinite mercy, has ordered your release," one of the guards says. "After your castration is complete.";Vous vous faites soudainement réveiller par une agitation en-dehors de votre cellule et vous demandez à savoir ce qui se passe. Vos geôliers entrent, accompagnés d'un vieil homme édenté qui transporte une sacoche pleine d'instruments chirurgicaux. ''Le [F;Der Tumult vor Eurer Zelle weckt Euch plötzlich und Ihr verlangt zu erfahren, was da vor sich geht. Eure Gefängniswärter kommen in Begleitung eines alten, zahnlosen Mannes herein, der einen Beutel voller chirurgischer Instrumente trägt. "Der [From.GetTitl;;De repente te despiertas por el jaleo que hay fuera de tu celda y preguntas qué es lo que está pasando. Tus carceleros entran acompañados por un viejo desdentado que lleva un maletín lleno de instrumentos quirúrgicos. "El [From.GetTitle], en [From.GetHerHis] infinita misericordia, ha ordenado tu liberación", dice uno de los guardias. "Después de que tu castración haya sido completada.";;;;;;;;;x
EVTOPTALoR.833;No! NO!!! NOOOOOO!!!!!;Non ! NON !!! NOOOOON !!!!!;Nein! NEIN! NEIIIIIN!!!!;;¡No! ¡NO! ¡NOOOOOO!!!!!;;;;;;;;;x
EVTDESCLoR.834;You have the boy castrated and turned into a eunuch. You're a real piece of work, aren't you?;Vous avez castré le garçon et l'avez transformé en eunuque. Vous êtes une véritable ordure, n'est-ce pas ?;Ihr habt den Jungen kastrieren lassen und ihn zu einem Eunuchen gemacht. Ihr seid schon was Besonderes, nicht wahr?;;Tienes el chico castrado y convertido en eunuco. ¿Tú eres una obra maestra, verdad?;;;;;;;;;x
EVTOPTALoR.834;These are violent times.;Nous vivons une époque violente.;Dies sind gewalttätige Zeiten.;;Son tiempos violentos.;;;;;;;;;x
EVTDESCLoR.840;Supporters of the Blue and Green chariot teams have clashed at the Hippodrome and riots have broken out! The City Guard is fighting to contain the situation, but the Varangian Guard is also standing by. They would make mincemeat of any hooligans before the riot has a chance of spreading to other districts, but there could be significant collateral damage...;Les supporters des Bleus et des Verts s'affrontent dans l'Hippodrome et des émeutes ont éclaté ! La Garde de la cité se bat pour contenir la situation, mais la Garde varègue est aussi au garde-à-vous. Ses hommes vont hacher menu tous les vandales avant qu;Unterstützer der blauen und grünen Streitwagen-Mannschaft sind im Hippodrom aufeinandergestoßen und Ausschreitungen sind losgebrochen! Die Stadtwache kämpft darum, die Situation unter Kontrolle zu halten, doch die Warägerwachen halten sich bereit. Sie wür;;¡Los seguidores de los equipos Azul y Verde tuvieron un enfrentamiento en el Hipódromo y los disturbios han estallado! La Guardia de la Ciudad está luchando para controlar la situación, pero la la Guardia varega también está en estado de alerta. Ellos harían picadillo a cualquier alterado para evitar que los disturbios se expandieran hacia otros distritos, pero eso provocaría inumerables daños colaterales...;;;;;;;;;x
EVTOPTALoR.840;Unleash the Varangian Guard.;Lâcher la Garde varègue.;Lasst die Warägische Wache von der Leine.;;Soltar la Guardia varega;;;;;;;;;x
EVTOPTBLoR.840;The City Guard can handle it.;La Garde de la cité peut s'en occuper.;Die Stadtwache kann sich damit auseinander setzen.;;La Guardia de la Ciudad puede tratarlo.;;;;;;;;;x
EVTTOOLTIPLoR.841;The Varangians prepare for battle.;Les Varègues se préparent à combattre.;Die Waräger bereiten sich auf einen Kampf vor.;;Los varegos se prepararan para la batalla.;;;;;;;;;x
EVTDESCLoR.841;Hundreds of rioting chariot supporters are hacked down as the axe-wielding Norsemen charge into their ranks. Many attempt to flee, but the Varangians give chase and show no mercy to those they catch. The streets are littered with the mangled corpses of hooligans... and a few dozen innocent bystanders. The Varangians are a blunt hammer to be wielded with care.;Des centaines d'émeutiers, des supporters de courses de chars, sont massacrés sous la hache des Nordiques qui chargent dans leurs rangs. Plusieurs tentent de s'enfuir, mais les Varègues les prennent en chasse et n'ont aucune pitié pour ceux qu'ils attrape;Hunderte von aufrührerischen Streitwagen-Unterstützern werden niedergemetzelt, als die axtschwingenden Wikinger in die Ränge stürmen. Viele versuchen zu fliehen, doch die Waräger verfolgen sie und zeigen denjenigen, die sie erwischen, keine Gnade. Die Str;;Cientos de fanáticos exaltados son descuartizados con las hachas de los hombres nórdicos. Muchos de ellos tratan de huir, pero los varegos no dudan en darles caza y no muestran ningún atisbo de piedad. Las calles están llenas de cadáveres mutilados de gamberros  aficionados... y unas cuantas docenas de personas inocentes. Los varegos son una arma bruta que debe ser manejada con mucho cuidado.;;;;;;;;;x
EVTOPTALoR.841;Such is the fate of those who oppose me.;Tel est le destin de ceux qui s'opposent à moi.;Dies ist das Schicksal derer, die sich gegen mich stellen.;;Este es el destino que les espera a los que osan oponerse a mí.;;;;;;;;;x
EVTTOOLTIPLoR.842;The City Guard rallies.;La Garde de la cité se rassemble.;Die Stadtwache sammelt sich.;;La Guardia de la Ciudad vuelve a formar.;;;;;;;;;x
EVTDESCLoR.842;The City Guard pulls in reinforcement from the other districts and finally manage to disperse the rioting crowds. Many neighborhoods are burning and looting is widespread in those districts the Guard was forced to abandon, but the loss of life is relatively small.;La Garde de la cité appelle en renforts des membres d'autres secteurs et ils arrivent enfin à disperser les émeutiers. Plusieurs quartiers brûlent et ceux que la garde a été forcée d'abandonner ont été pillés, mais les pertes humaines sont relativement fa;Die Stadtwache holt Verstärkung aus den anderen Distrikten hinzu und schafft es schlussendlich, die ausschreitende Menge zu zerschlagen.Viele Nachbarschaften wurden niedergebrannt und Plünderung ist weitverbreitet in den Distrikten, die von der Wache gezw;;La Guardia de la Ciudad consigue refuerzos de otras barriadas y finalmente logra dispersar las multitudes vandálicas. Fuego y saqueos son comunes a lo largo de aquellos distritos donde la Guardia se vio obligada a abandonar, pero la pérdida de vidas humanas es relativamente pequeña.;;;;;;;;;x
EVTOPTALoR.842;Centuries from now, hooliganism will be extinct.;D'ici des siècles, le vandalisme sera disparu.;Jahrhunderte von heute, wird Rowdytum ausgestorben sein.;;De ahora en adelante, en siglos, el gamberrismo habrá sido erradicado.;;;;;;;;;x
EVTDESCLoR.846;[From.GetFirstName], your impudent daughter, seems to have fallen head over heels in love with one of your Varangian bodyguards, and the feeling is mutual. She has asked your permission to marry the man. He is apparently considered to be of some minor nobility in the frozen North, but can hardly be considered "good stock.";[From.GetFirstName], votre fille effrontée, semble être tombée follement amoureuse de l'un de vos gardes du corps varègues, et ce sentiment est réciproque. Elle vous a demandé la permission d'épouser cet homme. Il semble qu'il appartient à une famille de ;[From.GetFirstName], Eure unverschämte Tochter, scheint sich bis über beide Ohren in einen Eurer Waräger-Leibwächter verliebt zu haben und die Gefühle beruhen auf Gegenseitigkeit. Sie hat Euch um Erlaubnis gebeten, diesen Mann heiraten zu dürfen. Anschein;;[From.GetFirstName], tu insolente hija, parece haberse enamorado locamente de uno de tus guardaespaldas varegas, y el sentimiento es mutuo. Ella te ha pedido permiso para casarse con él. Según parece, él pertenece a alguna nobleza menor del helado Norte, pero difícilmente puede decirse que es “de buen linaje”.;;;;;;;;;x
EVTOPTALoR.846;Very well. Whatever makes her happy.;Très bien. Si cela la rend heureuse…;Nun gut. Alles, was sie glücklich macht.;;Muy bién. Cualquier cosa que la haga feliz.;;;;;;;;;x
EVTOPTBLoR.846;Heavens no.;Par tous les cieux, non.;Um Himmels willen, niemals.;;Cielos, no.;;;;;;;;;x
EVTOPTCLoR.846;Have the Varangian executed!;Qu'on exécute ce Varègue !;Lasst den Waräger hinrichten!;;¡Ejecute a el varego!;;;;;;;;;x
EVTDESCLoR.851;[From.GetTitledFirstName] sends word that several members of the Varangian Guard ran amok in his quarter of Constantinople yesterday. In their drunken stupor, the Norsemen set fire to an inn, killed three guards and physically abused five local merchants and two priests. The people are crying out for justice.;[From.GetTitledFirstName] vous transmet l'information que plusieurs membres de la Garde varègue ont enfreint les règlements hier dans leur quartier de Constantinople. En état d'ébriété, les Nordiques ont mis le feu à une auberge, ont tué trois gardes et o;[From.GetTitledFirstName] meldet, dass einige Mitglieder der Warägerwache gestern in ihrem Quartier in Konstantinopel Amok gelaufen sind. In ihrem betrunkenen Zustand haben die Wikinger Feuer im Gasthaus gelegt, drei Wachen getötet, sowie fünf ansässige K;;[From.GetTitledFirstName] manda decir que varios miembros de la Guardia varega han hecho estragos ayer en su barrio de Constantinopla. En su delirio alcohólico, los nórdicos  prendieron fuego a una posada, mataron tres guardias y abusaron físicamente de cinco comerciantes locales y dos sacerdotes. El pueblo clama justicia.;;;;;;;;;x
EVTOPTALoR.851;Make an example of them.;Qu'on leur réserve une peine exemplaire.;Statuiert ein Exempel an ihnen.;;Haga un ejemplo de ellos.;;;;;;;;;x
EVTOPTBLoR.851;Oh, come now. Boys will be boys.;Allons ! Il faut bien que jeunesse se passe.;Ach, kommt schon. Jungs sind nun einmal Jungs.;;Oye, pero vamos. Los chicos siempre serán chicos.;;;;;;;;;x
punish_varangians;The responsible Varangians are executed.;Les Varègues responsables sont exécutés.;Die verantwortlichen Waräger werden hingerichtet.;;Los varegos responsables son ejecutados.;;;;;;;;;x
free_varangians;The Varangians are released and return to their commander.;Les Varègues sont relâchés et retournent auprès de leur commandant.;Die Waräger werden freigelassen und kehren zu ihrem Kommandanten zurück.;;Los varegos son liberados y devueltos a su comandante.;;;;;;;;;x
EVTNAMELoR.860;Meanwhile at the Imperial Palace...;Pendant ce temps au Palais impérial...;In der Zwischenzeit im Kaiserpalast…;;Mientras tanto, en el Palacio Imperial ...;;;;;;;;;x
EVTDESCLoR.860;You are enjoying a late supper at the Great Palace in Constantinople, sampling some new wines brought in from the provinces, when the sound of a distant explosion is heard. Windows shatter and the chandelier above begins to sway as the shockwave hits a second later. Dust trickles down from the roof, and to your dismay some of it lands in your wine.\n\nYou hurry to a balcony overlooking the city and see an intense fire burning at one of the warehouses by the docks. The nearby water in the Golden Horn is also ablaze, and the fire has already spread to several ships in the busy inlet. While their crews are in the process of abandoning them, the harbor area is rocked by a flurry of smaller explosions from the burning warehouse.;Vous dégustez un dîner tardif au Grand Palais de Constantinople, goûtant à de nouveaux vins apportés des provinces, quand vous entendez une explosion au loin. Les fenêtres éclatent et le lustre commence à osciller, tandis que l'onde de choc frappe quelque;Ihr genießt ein spätes Abendessen im Großen Palast in Konstantinopel und testet ein paar neue Weine, die aus den Provinzen hergebracht wurden, als das Geräusch einer entfernten Explosion zu hören ist. Fenster zerspringen und die Kronleuchter an der Decke ;;Estás disfrutando de una tardía cena en el Gran Palacio de Constantinopla, catando varios nuevos vinos traídos de las provincias, cuando se oye una explosión en la lejanía. Las ventanas se hacen añicos y el candelabro empieza a balancearse cuando la onda expansiva golpea el Gran Palacio un segundo después. Regueros de polvo caen desde el techo y, para tu consternación, parte de él se posa en tu vaso de vino. \n\nTe apresuras a salir a un balcón con vistas a la ciudad y ves un intenso fuego quemando en un almacén del muelle. Las aguas que rodean el Cuerno de Oro también están ardiendo, y el fuego ya se ha propagado a varios barcos de la concurrida ensenada. Mientras las tripulaciones abandonan los barcos, la zona del puerto queda sacudida por una ráfaga de pequeñas explosiones que provienen del almacén en llamas.;;;;;;;;;x
EVTOPTALoR.860;This must be investigated!;Nous devons enquêter là-dessus !;Das muss untersucht werden!;;¡Esto debe ser investigado!;;;;;;;;;x
