#CELTIC FLAVOR STUFF;;;;;;;;;;;;;;x
#Modifiers;;;;;;;;;;;;;;x
VIET_celtic_holy_well_1;Holy Well;Fontaine à dévotion;;;;;;;;;;;;x
VIETceltic.208.desc;Under the heavy black cape and mask of the Old 'Oss, it's hard to make out who or what is right in front of you, but it is still relatively easy to make out the distinct giggles of a maiden in front of you. When you reach with your arms in front and through the cape, you catch one of your female courtiers and proceed to drag her inside your cape until only her feet are visible from the outside.;Sous la lourde cape noire et le masque du vieux 'Oss, il est difficile de déterminer qui ou ce qui se passe juste devant vous, mais il est encore relativement facile d'entendre les rires d'une jeune fille devant vous. Lorsque vous tendez vos bras à travers la cape, vous attrapez une de vos courtisanes et vous la faites glisser alors qu'elle lâche un mélange de rires et de cris jusqu'à ce que ses pieds ne soient visibles depuis l'extérieur du cap.;;;;;;;;;;;;x
VIETceltic.208.a;The blessing of the Old 'Oss is yours!;La bénédiction du vieux 'Oss est en toi !;;;;;;;;;;;;x
VIETceltic.208.b;How about a bit of sweetness for the Ossy?;Que diriez-vous de la douceur de la part du Ossy ?;;;;;;;;;;;;x
VIETceltic.209.desc;Under the heavy black cape and mask of the Old 'Oss, it's hard to make out who or what is right in front of you, but it is still relatively easy to make out the distinct giggles of a maiden in front of you. When you reach with your arms in front and through the cape, you catch a courtier, someone who you feel some affection for and for whom you believe the feeling is mutual. Under the cape of the 'Oss you are suddenly away from prying eyes...;Sous la lourde cape noire et le masque du vieux 'Oss, il est difficile de déterminer qui ou ce qui se passe juste devant vous, mais il est encore relativement facile d'entendre les rires d'une jeune fille devant vous. Lorsque vous tendez vos bras à travers la cape, vous attrapez une de vos courtisanes, quelqu'un dont vous ressentez de l'affection et pour qui vous croyez que le sentiment est mutuel. Sous le cap de l'Oss, vous vous éloigné des regards indiscrets ...;;;;;;;;;;;;x
VIETceltic.209.a;How fortunate that I caught you milady...;Quelle chance que je vous ai attrapée, ma dame ...;;;;;;;;;;;;x
VIETceltic.209.b;Oh huh... You're blessed by the Old 'Oss!;Og heu ... Vous êtes béni par le vieux 'Oss;;;;;;;;;;;;x
VIETceltic.210.desc;Being the Old 'Oss is not the easiest job out there. The cape and mask are heavy and black, which traps the heat inside, also visibility is pretty terrible. In an honest mistake you think you hear a maiden in front of you and lunge forward, only to find yourself dragging a young child, who is clearly scared of the Oss's grotesque figure.;Être l'ancien 'Oss n'est pas le travail le plus simple. a cape et le masque sont lourds et noirs, qui piègent la chaleur à l'intérieur, la visibilité est plutôt terrible. Dans une erreur honnête, vous pensez entendre une jeune fille en face de vous et vous lancez en avant, seulement pour vous retrouver en traînant une jeune enfant, qui a clairement peur de la figure grotesque de 'Oss.;;;;;;;;;;;;x
VIETceltic.210.a;Pat the child on the head and send her on her way.;Vous vous excusez et vous laissez la gamine.;;;;;;;;;;;;x
VIETceltic.210.b;To little girls, the Ossy brings treats!;Le vieux 'Oss va bénir aussi les petites filles !;;;;;;;;;;;;x
VIETceltic.211.desc;Being the Old 'Oss is not the easiest job out there. The cape and mask are heavy and black, which traps the heat inside, also visibility is pretty terrible. In an honest mistake you think you hear a maiden in front of you and lunge forward only to find yourself dragging a man under the cape, clearly upset by jeer, while the townsfolk's laughter has grown tenfold with the mixup;Être l'ancien 'Oss n'est pas le travail le plus simple. a cape et le masque sont lourds et noirs, qui piègent la chaleur à l'intérieur, la visibilité est plutôt terrible. Dans une erreur honnête, vous pensez entendre une jeune fille en face de vous et vous lancer en avant, seulement pour vous retrouver en traînant un homme, manifestement bouleversé par le rire, alors que le rire des citadins s'est multiplié par dix avec le mélange.;;;;;;;;;;;;x
VIETceltic.211.a;Scold him for impersonating a woman!;Le grondez pour avoir fait croire que c'était une femme !;;;;;;;;;;;;x
VIETceltic.211.b;Be festive and laugh it all off.;Être festif et rire aussi.;;;;;;;;;;;;x
VIETceltic.211.c;Throw him into the horse's water, let the people laugh!;Vous le lancez dans l'eau du cheval et vous laissez les gens rire !;;;;;;;;;;;;x
VIETceltic.2112.desc;Being the Old 'Oss is more than simply chasing girls and follow the parade, as it involves being the center of attention and the embodiment of 'Obby 'Oss fun. As you arrive at the Maypole, right at the center of town, the townspeople start demanding that you dance a jig with one of the damsels..;Être l'ancien 'Oss ne consiste pas seulement à chasser de jeunes femmes et suivre le défilé, car il s'agit d'être le centre d'attention et l'incarnation de l'amusement de l'Obby 'Oss. Lorsque vous arrivez à l'arbre de mai, au centre de la ville, les citadins commencent à exiger que vous dansez un gabarit avec une des demoiselles.;;;;;;;;;;;;x
VIETceltic.2112.a;Good thing I'm in my dancing shoes!;Bien, je suis dans mes chaussures de danse !;;;;;;;;;;;;x
VIETceltic.2112.b;Er.... no.;Euh ... Non.;;;;;;;;;;;;x
VIETceltic.212.desc;There's no way around the fact that the frame of the 'Oss is heavy and cumbersome, but with a nice display of tap dancing, together with some jumping and spinning, you do more than fine. Luckily your dancing partner is helpful and enhances your dance as the revellers clap and ask for more.;Il n'y a aucun moyen de dire que le cadre de l'Oss est lourd et encombrant, mais avec une belle représentation de la danse du robinet, avec un saut et une rotation, vous le faites plus que bien. Heureusement, votre partenaire de danse est utile et améliore votre danse alors que les fêtards applaudissent et en demandent encore.;;;;;;;;;;;;x
VIETceltic.212.a;I'll need a beer after this, or two...;J'aurai besoin d'une bière après cela, ou deux ...;;;;;;;;;;;;x
VIETceltic.213.desc;There's no way around the fact that the frame of the 'Oss is heavy and cumbersome and that certainly affects performance. You try to do some tap dancing and spinning, but unfortunately you trip and fall, having to rely on your dancing partner to get yourself (and the frame) up. You sigh as the cheers have turned to laughter.;Il n'y a aucun moyen de dire que le cadre de l'Oss est lourd et encombrant et qui affecte certainement les performances. Vous essayez de faire des claquettes et la filature, mais malheureusement, vous trébucher et tomber, vous devez compter sur votre partenaire de danse pour vous se préoccuper de vous. Vous soupirez quand les acclamations se sont tournées vers le rire.;;;;;;;;;;;;x
VIETceltic.213.a;I'd like to see you all do better!;J'aimerais vous vous voir !;;;;;;;;;;;;x
VIETceltic.214.desc;While I know there are lots of people around me, inside the Old 'Oss's mask and covered by the cape, it's actually quiet and secluded, and I can talk to the 'Ossy in piece, and it talks to me. It tells me I need to have more fun, more drinks, more of everything, otherwise he'll be sad!;Même si je sais qu'il y a beaucoup de gens autour de moi, à l'intérieur du masque du vieux 'Oss et couvert d'une cape, il est en fait calme et isolé, et je peux parler à l'Oss, et il me parle. Il me dit que je dois avoir plus de plaisir, plus de boissons, plus de tout, sinon il sera triste !;;;;;;;;;;;;x
VIETceltic.214.a;No 'Ossy, don't be sad!;Non Ossy, ne sois pas triste !;;;;;;;;;;;;x
VIETceltic.215.desc;While getting caught is part of the fun, you don't want to make it too easy, so you heckle the 'Oss and clap but retreat if he lunges at you. Finally after some time of this game you aren't fast enough and get grabbed and dragged into the Old 'Oss's cape, where a kind young man helps you on your feet.;Pendant que vous preniez plaisir, vous ne voulez pas vous faire prendre facilement, mais il vous remarque et vous courrez. Après un certain temps, vous n'êtes pas assez rapide et vous êtes attiré et traîné dans la cape de l'ancien 'Oss, où un gentil jeune homme traîne vos pieds.;;;;;;;;;;;;x
VIETceltic.215.a;Act graciously.;Agir gracieusement.;;;;;;;;;;;;x
VIETceltic.215.b;Make a big fuss.;Faire un gros bruit.;;;;;;;;;;;;x
VIETceltic.216.desc;While getting caught is part of the fun, you don't want to make it too easy, so you heckle the 'Oss and clap but retreat if he lunges at you. Finally after some time of this game you aren't fast enough and get grabbed and dragged into the Old 'Oss's cape where a young man who clearly had too much to drink already tries to grab you and demands a kiss!;Pendant que vous preniez plaisir, vous ne voulez pas vous faire prendre facilement, mais il vous remarque et vous courrez. Après un certain temps, vous n'êtes pas assez rapide et vous êtes attiré et traîné dans la cape de l'ancien 'Oss, où un gentil jeune homme traîne vos pieds et exige de vous un bisou !;;;;;;;;;;;;x
VIETceltic.216.a;Overpower him quietly.;Le dominer rapidement;;;;;;;;;;;;x
VIETceltic.216.b;Coach him into  being more gentle.;Entraînez-le à devenir plus doux.;;;;;;;;;;;;x
VIETceltic.216.c;Give him what he wants.;Lui donner ce qu'il veut.;;;;;;;;;;;;x
VIETceltic.216.d;Make a fuss and kick him into the ground!;Mettez-lui un coup de pied dans les burnes !;;;;;;;;;;;;x
VIETceltic.217.desc;Some would say the Old 'Oss is supposed to be the embodiment of fun and hedonism, but even then there are limits. The 'Oss dragged a girl into it cape and while it's impossible to see what's happening inside, the sounds make it clear she's struggling. Some of the townspeople are becoming restless... Maybe it's time to put an end to this?;Certains diraient que l'ancien 'Oss est censé être l'incarnation de l'amusement et de l'hédonisme, mais il y a des limites quand même. L'Oss a traîné une fille dans la cape et, alors qu'il est impossible de voir ce qui se passe à l'intérieur, les sons indiquent qu'elle se débat. Certaines personnes de la ville s’inquiètent ... Peut-être qu'il est temps de mettre fin à cela ?;;;;;;;;;;;;x
VIETceltic.217.a;You! Unhand that girl!;Vous ! Enlevez vos mains sur cette fille !;;;;;;;;;;;;x
VIETceltic.217.b;It's all fun and games...;Ce n'est qu'un jeu ...;;;;;;;;;;;;x
VIETceltic.218.desc;Before the startled eyes of the townspeople you pull up the 'Oss's cape to find a most sordid scene as the young maiden tries to struggle with the man playing the 'Oss attempts to undress her. The townspeople boo as the guards push the man inside a house, strip him of his suit and arrest him. Not before long a new man is playing the 'Oss and many cheers are given to you.;Tous les habitants de la ville ont les yeux rivés sur vous, vous tirez la cape d'Oss pour trouver une scène la plus sordide alors que la jeune fille essaye de lutter avec l'homme qui a joué l'Oss. Les citadines s'habillent alors que les gardes poussent l'homme à l'intérieur d'une maison, l'arrachent à son costume et l'arrêtent. Pas longtemps, un nouvel homme joue le 'Oss et beaucoup de salutations vous sont données.;;;;;;;;;;;;x
VIETceltic.218.a;No means no.;Non, c'est non.;;;;;;;;;;;;x
VIETceltic.219.desc;Before the startled eyes of the townspeople you pull up the 'Oss's cape to find the two innocently flirting until you startle them. The girl rushes outside the cape as the man proceeds in playing the 'Oss. You return to the crowd somewhat embarrassed as you hear whispers around you.;Tous les habitants de la ville ont les yeux rivés sur vous, vous tirez la cape d'Oss pour trouver deux personnes flirter innocemment jusqu'à ce que vous les arrêtiez. La fille se précipite à l'extérieur de la cape de l'homme qui joue l'Oss. Vous revenez à la foule un peu embarrassé alors que vous entendrez des chuchotements autour de vous.;;;;;;;;;;;;x
VIETceltic.219.a;Better safe than sorry...;Mieux vaut prévenir que guérir ...;;;;;;;;;;;;x
VIETceltic.220.desc;You patiently wait for the girl to get out from under the cape but she tarries. Suddenly her legs start twitching and two men rush to see what's going on, only to find the girl half naked and struggling. A mob quickly surrounds the 'Oss and the mood sours, even after the person playing the part is switched.;Vous attendez patiemment que la fille se calme. Mais soudainement, ses jambes commencent à se tordre et un homme se précipite pour voir ce qui se passe, seulement pour trouver la fille à moitié nue et en lutte. Deux soldats l'attrapent rapidement et l'arrête et est vite remplacé et la fête continue.;;;;;;;;;;;;x
VIETceltic.220.a;I was just about to intervene!;J'étais sur le point d'intervenir !;;;;;;;;;;;;x
VIETceltic.221.desc;After a minute you and some of the townspeople start feeling nervous about what's happening under the cape, but it all goes well when the girl emerges from under the cape, giggling frantically. What happened no-one can tell, but it the church most likely wouldn't like it...;Au bout d'une minute, vous et certains habitants de la ville commencent à se sentir nerveux à propos de ce qui se passe sous la cape, mais tout se passe bien quand la fille sort de la cape en riant frénétiquement. Ce qui s'est passé, personne ne peut le dire, mais l'église ne l'aimerait probablement pas ...;;;;;;;;;;;;x
VIETceltic.221.a;I knew nothing bad could happen!;Je savais qu'il ne se passait rien de mal !;;;;;;;;;;;;x
VIETceltic.222.desc;Some would say the Old 'Oss is supposed to be the embodiment of fun and hedonism, but even then there are limits. The 'Oss dragged a courtier under its cape and while it's impossible to see what's happening inside, the sounds make it clear she's struggling. Some of the townspeople are becoming restless... Maybe it's time to put an end to this?;Certains diraient que l'ancien 'Oss est censé être l'incarnation de l'amusement et de l'hédonisme, mais il y a des limites quand même. L'Oss a traîné une courtisane dans la cape et, alors qu'il est impossible de voir ce qui se passe à l'intérieur, les sons indiquent qu'elle se débat. Certaines personnes de la ville s’inquiètent ... Peut-être qu'il est temps de mettre fin à cela ?;;;;;;;;;;;;x
VIETceltic.222.a;You! Unhand that girl!;Vous ! Enlevez vos mains sur cette fille !;;;;;;;;;;;;x
VIETceltic.222.b;Cheer her on from the outside.;Faites l'éloge de l'extérieur.;;;;;;;;;;;;x
VIETceltic.223.desc;As the procession arrives at the Maypole, right at the center of town, the townspeople start demanding that the Oss dances a jig with one of the women. Being a guest of honor, the 'Oss is quick to challenge you to a tap dance as the townspeople start applauding and cheering you on.;À mesure que la procession arrive à l'arbre de mai, au centre de la ville, les habitants de la ville commencent à exiger que l'Oss danse un gabarit avec une des femmes. En tant qu'homme d'honneur, l'Oss est prompt à vous défier à une danse au robinet alors que les citadins commencent à vous applaudir et à vous encourager.;;;;;;;;;;;;x
VIETceltic.223.a;I'll shame the 'Oss with my dance moves!;Je ferais fonte à l'Oss avec mes mouvements de danse !;;;;;;;;;;;;x
VIETceltic.223.b;I... maybe another time.;Je ... Peut-être une autre fois.;;;;;;;;;;;;x
VIETceltic.224.desc;Using grace and skill, you impress commoner and noble-born alike with your dance. You dance enthusiastically and energetically as the onlookers cheer you and toast to you, while even the 'Oss struggles to keep up.;En utilisant vos grâces et vos compétences, vous impressionnez les gens ordinaires et les nobles avec votre danse. Vous dansez de façon enthousiaste et énergique alors que les spectateurs vous encouragent, même si l'Oss s'efforce de vous suivre.;;;;;;;;;;;;x
VIETceltic.224.a;This is fun!;C'est amusant !;;;;;;;;;;;;x
VIETceltic.225.desc;Alas, some people are just not born a dancer, and certainly the drink is not a good enhancement in the struggle to keep balance. You give it your best shot but your clunky moves fail to impress anyone but the drunkards and the 'Oss quickly changes partner in the least offensive way possible.;Hélas, certaines personnes ne sont tous né danseur, et la boisson n'aide certainement. Vous lui montrez vos meilleurs mouvements, mais vous n'impressionnez que les ivrognes et les 'Oss changent rapidement de partenaire de manière à moins vous offensez.;;;;;;;;;;;;x
VIETceltic.225.a;I can still rule better than all of you!;Je sais encore mieux gouverner que vous tous !;;;;;;;;;;;;x
VIETceltic.226.desc;You take another sip of your drink and turn to talk to someone when you notice... everyone's gone! A thick mist surrounds Padstow as you struggle to see anything until you notice something in front of you, a rider, with a black cape, on a horse... A BLACK RIDER!;Vous prenez une autre gorgée de votre boisson et vous vous tournez pour parler à quelqu'un quand vous remarquez que ... tout le monde est parti ! Un brouillard épais entoure Padstow alors que vous avez du mal à voir n'importe quoi jusqu'à ce que vous remarquiez quelque chose en face de vous, un cavalier, avec une cape noire, à cheval ... UN CAVALIER NOIR !;;;;;;;;;;;;x
VIETceltic.226.a;Sound the alarm! The dark knights come!;Sonnez l'alarme ! Les chevaliers noirs arrivent !;;;;;;;;;;;;x
VIETceltic.227.desc;Everything is dark when you hear your guards call out to you. As you open your eyes you find yourself lying on the floor as many onlookers surround you. You also notice your so called 'black rider', the 'Oss itself. Your guards inform you that you started screaming about black riders before fainting.;Tout est sombre lorsque vous entendez vos gardes vous appeler. Au fur et à mesure que vous ouvrez les yeux, vous vous trouvez au sol avec beaucoup de spectateurs qui vous entourent. Vous remarquez également votre soi-disant "cavalier noir" est l'Oss lui-même. Vos gardes vous informent que vous avez commencé à crier au sujet de chevaliers noirs avant de vous évanouir.;;;;;;;;;;;;x
VIETceltic.227.a;Huh, it seems the black rider fled, good!;Huh, on dirait les cavaliers noirs se sont enfuits, bien !;;;;;;;;;;;;x
VIETceltic.228.desc;Here me people of Padstow! This whole celebration is the work of THE DEVIL and pagan gods who seek to corrupt your souls!! We must atone and bun this false idol of a horse that you worship!' One of your religious minded courtiers apparently came to Padstow to do something other than partying...;"Oyez, peuple de Padstow ! Toute cette célébration est l'œuvre DU MALIN et des dieux païens qui cherchent à corrompre vos âmes !! Nous devons expier et cracher cette fausse idole d'un cheval que vous adorerez !" Un de vos courtisans d'esprit religieux est venu à Padstow pour faire autre chose que la fête ...;;;;;;;;;;;;x
VIETceltic.228.a;Someone shut up that oaf?;Quelqu'un peut-il lui faire fermer sa gueule ?;;;;;;;;;;;;x
VIETceltic.228.b;Maybe next year we can have the Abstinence 'Oss?;Peut-être que l'année prochaine, nous pouvions ne pas organiser l'Oss ?;;;;;;;;;;;;x
VIETceltic.229.desc;You watch the shenanigans of the Old 'Oss parade unfold from a distance when [Root.Spouse.GetFirstName] invites you for a dance to the sound of the music being played.;Vous regardez les combines du défilé du vieux 'Oss se dérouler à distance lorsque [Root.Spouse.GetFirstName] vous invite à une danse au son de la musique jouée.;;;;;;;;;;;;x
VIETceltic.229.a;Of course! What's a party without dancing?;Bien sûr ! Que serait une fête sans une danse ?;;;;;;;;;;;;x
VIETceltic.229.b;Not now! The Old 'Oss just caught someone!;Pas maintenant ! Le vieux 'Oss viens d'attraper quelqu'un !;;;;;;;;;;;;x
VIETceltic.230.desc;With the grace of a sovereign and the energy of a true child of old Britain, you impress your spouse with your skillful dancing ability. Many other noble onlookers also take note of your performance.;Avec la grâce d'un souverain et l'énergie d'un véritable enfant de l'ancienne Bretagne, vous impressionnez votre conjoint(e) avec votre capacité de danse habile. Beaucoup d'autres spectateurs nobles prennent également note de votre performance.;;;;;;;;;;;;x
VIETceltic.230.a;We should have a contest where famous nobles can dance and... no?;Nous devrions avoir un concours où les nobles célèbres peuvent danser et ... non ?;;;;;;;;;;;;x
VIETceltic.231.desc;Alas, some people are just not born a dancer, and certainly the drink is not a good enhancement in the struggle to keep balance. You give it your best shot but your clunky moves fail to impress anyone and you stop the dance as people start whispering around you.;Hélas, certaines personnes ne sont tous né danseur, et la boisson n'aide certainement. Vous lui montrez vos meilleurs mouvements, mais vous n'impressionnez que les ivrognes et pendant que vous arrêtez de danser, vous commencez à entendre des gens chuchoter derrière vous.;;;;;;;;;;;;x
VIETceltic.231.a;I can still rule better than all of you!;Je sais encore mieux gouverner que vous tous !;;;;;;;;;;;;x
VIETceltic.232.desc;You browse through the merchant's stalls when one of them tries to sell you some squab pie, a local delicacy.;Vous parcourez les stands des marchands lorsque l'un d'entre eux vous attrape et essaye de vous vendre une tarte au pigeonneau, une délicatesse locale.;;;;;;;;;;;;x
VIETceltic.232.a;I'll buy some.;J'en achèterai un peu.;;;;;;;;;;;;x
VIETceltic.232.b;I'm cornish, of course I know squab pie!;Je suis cornouaillais, bien sûr que je connais la tarte aux pigeonneaux !;;;;;;;;;;;;x
VIETceltic.232.c;I don't know... I'll accept a taste.;Je ne sais pas ... J'accepte de gouter.;;;;;;;;;;;;x
VIETceltic.232.d;Squab? Isn't that a pigeon?;Aux pigeonneaux ? N'est-ce pas du pigeon ?;;;;;;;;;;;;x
VIETceltic.233.desc;You are alone at night when you hear a commotion outside. Fearing bandits you immediately fetch the closest weapon and prepare for the whatever may come when you see a tall monster approaching from outside the fence, accompanied by men wielding torches!;Vous êtes seul la nuit lorsque vous entendez une agitation dehors. Craignant les bandits, vous prenez immédiatement l'arme la plus proche et vous vous préparez pour ce que cela peut être lorsque vous voyez un grand monstre s'approcher de l'extérieur de la clôture, accompagné d'hommes brandissant des torches !;;;;;;;;;;;;x
VIETceltic.233.a;What in heaven's name?...;Nom de Dieu ? ...;;;;;;;;;;;;x
VIETceltic.234.desc;As the monster comes closer you're put at ease as it's nothing but a crowd of chanters with a Mari Lwyd! As per tradition they start chanting outside your door, in the hope of gaining entrance and receiving food and refreshment.;Au fur et à mesure que le monstre se rapproche, vous vous rendez compte qu'il ne s'agit que d'une foule de chanteurs accompagné de Mari Lwyd ! Selon la tradition, ils commencent à chanter à l'extérieur de votre porte, dans l'espoir d'entrer et de recevoir de la nourriture et du rafraîchissement.;;;;;;;;;;;;x
VIETceltic.234.a;Quick! Prepare a small feast to welcome them!;Vite ! Préparez une petite fête pour les accueillir !;;;;;;;;;;;;x
VIETceltic.234.b;Give them some food and send them on their way.;Donnez-leur de la nourriture et renvoyez-les.;;;;;;;;;;;;x
VIETceltic.234.c;They may still be bandits...;Ça pourrait être des bandits ...;;;;;;;;;;;;x
#Knights of Le Round Table, Excalibur, Mordred, etc.;;;;;;;;;;;;;;x
VIETceltic.500.desc;As tales of my mighty deeds as a Knight of the Round Table spread around the realm and beyond, many are comparing to the greatest Arthurian knight, Sir Lancelot! They say few can match me in valor and chivalry.;En tant que contes de mes puissantes actions en tant que chevalier de la table ronde s'étendant autour du royaume et au-delà, beaucoup vous compare au plus grand chevalier Arthurien, Sir Lancelot ! Ils disent que peu peuvent me faire face en courage et en chevalerie.;;;;;;;;;;;;x
VIETceltic.500.a;I feel quite good about myself.;Je suis sûr de moi-même;;;;;;;;;;;;x
VIETceltic.501.desc;[From.GetTitledFirstName]’s deeds and reputation as a mighty member of the Knights of the Round Table are known to all Some are making comparisons with the legendary Sir Lancelot.;Les actes et la réputation de [From.GetTitledFirstName] en tant que membre puissant des Chevaliers de la Table ronde sont connus de tous. Certains font des comparaisons avec le légendaire Sir Lancelot.;;;;;;;;;;;;x
VIETceltic.501.a;I see. May this new Lancelot accomplish great and noble deeds.;Je vois. Que ce nouveau Lancelot accomplisse de grands et nobles actes.;;;;;;;;;;;;x
VIETceltic.501.b;I am happy for our knight. However, I'd... keep my wife away, though, just in case.;Je suis heureux pour notre chevalier. Cependant, je voudrais ... garder ma femme loin de lui, au cas où.;;;;;;;;;;;;x
VIETceltic.502.desc;Some admire my apparent innocence and sweetness. Being a Knight of the Round Table, a comparison with Sir Perceval is unsurprising. Was there any other knight more innocent than he?;Certains admirent mon apparence d'innocence et de douceur. Étant chevalier de la table ronde, une comparaison avec Sir Perceval n'est pas surprenante. Est-ce qu'il y avait un autre chevalier plus innocent que lui ?;;;;;;;;;;;;x
VIETceltic.502.a;So I am like Sir Perceval...;Ainsi je suis Sir Perceval ...;;;;;;;;;;;;x
VIETceltic.503.desc;[From.GetTitledFirstName] is gaining a reputation for embodying the personality and attributes of one of the Knights of the Round Table, Sir Perceval. Like Sir Perceval, [From.GetTitledFirstName] often displays an innocent and sweet personality.;[From.GetTitledFirstName]a gagné une réputation pour incarner la personnalité et les attributs de l'un des Chevaliers de la Table Ronde, Sir Perceval. Comme Sir Perceval, [From.GetTitledFirstName] affiche souvent une personnalité innocente et douce.;;;;;;;;;;;;x
VIETceltic.503.a;Certainly there is much to be proud of.;Certes, il y a beaucoup à être fiers.;;;;;;;;;;;;x
VIETceltic.504.desc;Sir Gawain was one of the mightiest of King Arthur’s knights. As a member of the Round Table, people are now drawing comparisons between me and Sir Gawain.;Sir Gauvain était l'un des plus puissants des chevaliers du roi Arthur. En tant que membre de la Table ronde, les gens établissent maintenant des comparaisons entre moi et Sir Gauvain.;;;;;;;;;;;;x
VIETceltic.504.a;How flattering!;Comme c'est flatteur !;;;;;;;;;;;;x
VIETceltic.505.desc;They say [From.GetTitledFirstName] bears a lot of similarities to Sir Gawain. Both, as members of the Round Table, are generally courteous and compassionate, protectors of fair maidens, and are formidable warriors as well.;On dit que [From.GetTitledFirstName] a beaucoup de similitudes avec Sir Gauvain. Tout deux, en tant que membres de la Table ronde, sont généralement courtois et compatissants, protecteurs de bonnes filles, et font aussi des guerriers formidables.;;;;;;;;;;;;x
VIETceltic.505.a;I see! Good to hear.;Je vois ! C'est bon à entendre.;;;;;;;;;;;;x
VIETceltic.506.desc;They say I am virtuous and gallant, a pure and noble knight beyond compare. In fact, they say I am like Sir Galahad of old Arthurian legend. I am merely another Knight of the Round Table, and cannot accept such a lofty comparison, however.;On dit que je suis vertueux et galant, un chevalier pur et noble, au-delà de la comparaison. En fait, ils disent que je suis comme Sir Galaad de la vieille légende d'Arthur. Je ne suis qu'un autre chevalier de la table ronde, et je ne peux pas accepter une comparaison aussi élevée.;;;;;;;;;;;;x
VIETceltic.506.a;But people will think and say what they will!;Mais les gens vont penser et dire ce qu'ils vont faire !;;;;;;;;;;;;x
VIETceltic.507.desc;A lot of people are comparing [From.GetTitledFirstName], a member of your Knights of the Round Table, with Sir Galahad, the legendary knight of King Arthur who obtained the Holy Grail and was so virtuous that he ascended straight to heaven.;Beaucoup de gens comparent [From.GetTitledFirstName], un membre de vos Chevaliers de la Table ronde, avec Sir Galaad, le chevalier légendaire du roi Arthur qui a obtenu le Saint Graal et était si vertueux qu'il est monté directement au ciel.;;;;;;;;;;;;x
VIETceltic.507.a;Have I no knight more pure?;Suis-je un chevalier pur ?;;;;;;;;;;;;x
VIETceltic.508.desc;Last night after the feast I got really drunk, and only vaguely remember sleeping with a beautiful woman. As I reflect on the wonderful experience, I slowly realize to my horror that that woman was no other than my own sister! This is exactly like what happened with King Arthur and his sister Morgause. What have I done!;La nuit dernière après la fête, j'étais vraiment soûle, et je me souviens vaguement de dormir avec une belle femme. Alors que je réfléchis sur l'expérience merveilleuse, je me rends compte lentement que cette femme n'était autre que ma propre sœur ! C'est exactement ce qui s'est passé avec le roi Arthur et sa sœur Morgause. Qu'est-ce que j'ai fait ?;;;;;;;;;;;;x
VIETceltic.508.a;We must not speak of this ever again. Never.;Nous ne devons plus en parler. Jamais.;;;;;;;;;;;;x
VIETceltic.508.b;But… now that I think about it… it wasn’t that bad, right?;Mais ... maintenant que j'y pense à ça ... ce n'était pas si grave, n'est-ce pas ?;;;;;;;;;;;;x
VIET_mordred_incest_nay;Heavens forbid she is pregnant with a traitor like Mordred!;Les cieux interdisent qu'elle soit enceinte d'un traître comme Mordred !;;;;;;;;;;;;x
VIET_mordred_incest_yay;Let’s just hope she won’t get pregnant with a traitor like Mordred. In the while, dear sister, I’d like to invite you somewhere nice...;Espérons qu'elle ne sera pas enceinte d'un traître comme Mordred. Pendant ce temps, chère sœur, j'aimerais vous inviter quelque part ...;;;;;;;;;;;;x
VIETceltic.510.desc;My unholy union with my sibling has resulted in the birth of a son, [From.GetTitledFirstName]. Unfortunately, everyone knows the unusual circumstances of his birth, with some saying the parallels between my new son and the legendary Mordred are alarming. I only hope that he will not grow up to be like that ungrateful traitor.;Mon union impie avec mon frère a entraîné la naissance d'un fils, [From.GetTitledFirstName]. Malheureusement, tout le monde connaît les circonstances inhabituelles de sa naissance, certains disent que les parallèles entre mon nouveau fils et le Mordred légendaire sont alarmants. J'espère seulement qu'il ne grandira pas pour être comme un traître ingrat.;;;;;;;;;;;;x
VIETceltic.510.a;What have I done?;Qu'est-ce que j'ai fait ?;;;;;;;;;;;;x
VIETceltic.511.desc;My unholy union with my sibling has resulted in the birth of a daughter, [From.GetTitledFirstName]. Unfortunately, everyone knows the unusual circumstances of his birth. Though the circumstances of my little girl’s birth is similar to that of the legendary Mordred, she is, thankfully, a girl.;Mon union impie avec mon frère a entraîné la naissance d'une fille, [From.GetTitledFirstName]. Malheureusement, tout le monde connaît les circonstances inhabituelles de sa naissance. Bien que les circonstances de la naissance de ma petite fille soient semblables à celles du légendaire Mordred, c'est, heureusement, une fille.;;;;;;;;;;;;x
VIETceltic.511.a;Hopefully… she’s just a girl, it can’t be that bad, right?;Espérons que ... C'est juste une fille, ça ne peut pas être si grave, n'est-ce pas ?;;;;;;;;;;;;x
VIETceltic.512.desc;I don’t know why people look at me strangely. Some people say I should be a monster because of my mommy and daddy! Why? I never did anything wrong. Who cares. I’ll be smarter, stronger, and better than them one day. Then they won’t make fun of me anymore.;Je ne sais pas pourquoi les gens me regardent étrangement. Certaines personnes disent que je devrais être un monstre à cause de ma maman et mon papa ! Pourquoi ? Je n'ai rien fait de mal. On s'en fout. Je serai plus intelligent, plus fort et mieux qu'un jour. Ensuite, ils ne se moqueront plus de moi.;;;;;;;;;;;;x
VIETceltic.512.a;That’s right!;C'est vrai !;;;;;;;;;;;;x
