#CODE;I love me some nice silky silk;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
silkroad.405.desc;Unfortunately the Fair in at [VIET_sogdian_fair_location.GetName] has to come to an end. Merchants are leaving for elsewhere on the Silk Road. It will be a while before a fair of this magnitude will be held again, but you are happy you got a chance to participate in it.;Malheureusement, la Foire à [VIET_sogdian_fair_location.GetName] doit se terminer. Les marchands partent ailleurs sur la route de la soie. Il faudra un certain temps avant qu'une foire de cette ampleur ne se tienne à nouveau, mais vous êtes heureux d'avoir eu la chance d'y participer.;;;;;;;;;;x
silkroad.405.a;I hope to host another one soon!;J'espère en accueillir un autre bientôt !;;;;;;;;;;;;x
silkroad.406.desc;The Silk Road is like a glue that binds people of different faiths and cultures. At this fair, I’m meeting Manicheans, Christians, Muslims, Nature-worshippers, Buddhists, Hindus from places as far away as Iran, China, Russia, Egypt, Greece…. There are people from every corner of the world!;La Route de la soie est comme une colle qui lie les gens de religions et de cultures différentes. A cette foire, je rencontre des Manichéens, des chrétiens, des musulmans, des adorateurs de la nature, des bouddhistes, des hindous venus d'aussi loin que l'Iran, la Chine, la Russie, la Russie, l'Egypte, la Grèce ... Il y a des gens de tous les coins du monde !;;;;;;;;;;x
silkroad.406.a;Talk with the foreigners to understand their ways and language;Parler avec les étrangers pour comprendre leurs coutumes et leur langue;;;;;;;;;;;;x
silkroad.406.b;Engage in friendly religious discussion and debate;S'engager dans des discussions et des débats religieux amicaux;;;;;;;;;;;;x
silkroad.407.desc;During the fair, I’ve encountered two men apparently in a heated argument of a religious nature. This isn’t an uncommon sight here in [VIET_sogdian_fair_location.GetName], even on days when business is slow. On the Silk Road, after all, there are many different religions, so it’s not implausible that some hot-headed people take things too far.;Pendant la foire, j'ai rencontré deux hommes apparemment dans un débat animé de nature religieuse. Ce n'est pas rare ici, à [VIET_sogdian_fair_location.GetName],  même les jours où les affaires vont lentement. Sur la Route de la soie, après tout, il y a beaucoup de religions différentes, il n'est donc pas improbable que certaines personnes à tête brûlante poussent les choses trop loin.;;;;;;;;;;x
silkroad.407.a;Observe their theological debate and mud-slinging;Observez leur débat théologique et perfide.;;;;;;;;;;;;x
silkroad.407.b;Cheer for one side;Applaudissements pour un côté;;;;;;;;;;;;x
silkroad.407.c;Try to resolve the dispute - we shouldn't be arguing like this!;Essayez de résoudre le différend - nous ne devrions pas nous disputer comme ça !;;;;;;;;;;;;x
silkroad.407.d;Try to resolve the dispute - we must be tolerant during the Fair of Max!;Essayez de résoudre le différend - nous devons être tolérants pendant la Foire de Max !;;;;;;;;;;;;x
silkroad.408.desc;There’s a reason why they call it the Silk Road, no? While I’m at the fair here, why don’t I take the opportunity to buy some quality silk? I could use the silk to…;Il y a une raison pour laquelle on l'appelle la Route de la Soie, non ? Pendant que je suis à la foire, pourquoi ne pas profiter de l'occasion pour acheter de la soie de qualité ? Je pourrais utiliser la soie pour...;;;;;;;;;;x
silkroad.408.a;Donate to the local temple;Faire un don au temple local;;;;;;;;;;;;x
silkroad.408.b;Make myself some nice clothes;Je vais me faire de beaux vêtements;;;;;;;;;;;;x
silkroad.408.c;Give it to my spouse as a gift;Je l'offre à ma conjointe comme cadeau;;;;;;;;;;;;x
silkroad.408.d;Give it to someone as a gift;Je l'offre à quelqu'un comme cadeau;;;;;;;;;;;;x
silkroad.409.desc;Silk isn't the only thing I can buy here at today's fair. Merchants on the Silk Road deal in a lot of different commodities. Right now I'm interested in buying...;La soie n'est pas la seule chose que je peux acheter ici à la foire d'aujourd'hui. Les marchands de la Route de la soie s'occupent d'un grand nombre de produits de base différents. En ce moment, je suis intéressé à acheter...;;;;;;;;;;x
silkroad.409.a;A large stock of spices;Un grand stock d'épices;;;;;;;;;;;;x
silkroad.409.b;Lacquerware from China;Des articles en laque de Chine;;;;;;;;;;;;x
silkroad.409.c;Incense for prayer;De l'encens pour la prière;;;;;;;;;;;;x
silkroad.409.d;A few strong horses;Quelques chevaux robustes;;;;;;;;;;;;x
silkroad.410.desc;A Chinese and Sogdian man have come to you due to a dispute during the fair. The former claims that the latter sold him a slave girl claiming she was born a slave and not a free person forced into slavery, but the girl turned out to be the latter, which is illegal in China, so he can't bring her home with him. The Sogdian, though, says he never lied and told the truth from the start.;Un Chinois et un Sogdien sont venus vous voir à cause d'un différend pendant la foire. Le premier prétend que le second lui a vendu une fille esclave en prétendant qu'elle était née esclave et non une personne libre contrainte à l'esclavage, mais la fille s'est avérée être née esclave, ce qui est illégal en Chine, donc il ne peut pas la ramener chez lui. Le Sogdian, cependant, dit qu'il n'a jamais menti et a dit la vérité dès le début.;;;;;;;;;;x
silkroad.410.a;Support the Chinese merchant in this dispute;Soutenir le commerçant Chinois dans ce différend;;;;;;;;;;;;x
silkroad.410.b;Support the Sogdian merchant in this dispute;Soutenir le commerçant Sogdien dans ce différend;;;;;;;;;;;;x
silkroad.410.c;Support neither;Ne soutenez ni l'un ni l'autre;;;;;;;;;;;;x
silkroad.410.d;This is the Tirmah Fair, remember?;C'est la foire de Tirmah, vous vous souvenez ?;;;;;;;;;;;;x
VIET_sogdian_merchant_dispute_chinese;\nThe Sogdian merchant, obviously, either lied or is an idiot. Any decent merchant would be familiar with Chinese law and know that this Chinese man would not be allowed to bring the slave girl legally into China.;\nLe marchand Sogdian, évidemment, a menti ou est un idiot. Tout commerçant décent connaîtrait la loi chinoise et saurait que cet homme chinois n'aurait pas le droit d'amener légalement la jeune fille esclave en Chine.;;;;;;;;;;x
VIET_sogdian_merchant_dispute_sogdian;\nThe Chinese merchant should have been more careful with his purchase. Though the Sogdian merchant may have been crafty, it is the fault of the buyer for not inspecting the goods better.;\nLe marchand chinois aurait dû faire plus attention à son achat. Bien que le marchand de Sogdien ait été rusé, c'est la faute de l'acheteur pour ne pas avoir mieux inspecté les marchandises.;;;;;;;;;;x
VIET_sogdian_merchant_dispute_neither;\nThe merchants shouldn't have come to me, do I look like a person who wants to deal with this?;\nLes marchands n'auraient pas dû venir me voir, est-ce que j'ai l'air d'une personne qui veut s'occuper de ça ?;;;;;;;;;;x
VIET_sogdian_merchant_dispute_tirmah;\nThe Chinese merchant should realize we have a Tirmah Fair this year. Shoddy goods can be sold, as long as buyers are aware of it - it's all in good fun, after all! Those arrogant Chinese should learn about others' customs first!;\nLe marchand chinois devrait se rendre compte que nous avons une foire de Tirmah cette année. Il est possible de vendre des biens de mauvaise qualité, à condition que les acheteurs en soient conscients - Le but est de s'amusant !  Ces Chinois arrogants devraient d'abord s'informer sur les coutumes des autres !;;;;;;;;;;x
silkroad.411.desc;Slaves are often sold at these fairs. Girls from the region, known for their beauty, are popular among discerning customers from places as far as China. Today I've found a most lovely young lady - she will surely make a good consort!;Les esclaves sont souvent vendus dans ces foires. Les filles de la région, connues pour leur beauté, sont populaires auprès d'une clientèle exigeante d'endroits aussi éloignés que la Chine. Aujourd'hui, j'ai trouvé une très belle jeune femme - elle fera sûrement une bonne épouse !;;;;;;;;;;x
silkroad.411.a;She will serve me, of course;Elle me servira, bien sûr.;;;;;;;;;;;;x
silkroad.411.b;She would make a good present for my relative;Elle ferait un bon cadeau pour mon parent.;;;;;;;;;;;;x
silkroad.411.c;She would make a good present for a courtier;Elle ferait un bon cadeau pour un courtisan;;;;;;;;;;;;x
silkroad.411.d;Hmm. Never mind, she doesn’t look that great anyways.;Hmm. Peu importe, elle n'a pas l'air si bien que ça de toute façon.;;;;;;;;;;;;x
silkroad.411.e;If I were a man, of course. Otherwise, I’m not really interested.;Si j'étais un homme, bien sûr. Sinon, je ne suis pas vraiment intéressé.;;;;;;;;;;;;x
silkroad.412.desc;[From.GetTitledName] has bought a lovely slave girl at the great trade fair in [VIET_sogdian_fair_location.GetName] and given her to me as a present, so that she would be my consort.;[From.GetTitledName] a acheté une charmante esclave à la grande foire commerciale de [VIET_sogdian_fair_location.GetName] et me l'a donnée en cadeau, pour qu'elle soit mon épouse.;;;;;;;;;;x
silkroad.412.a;Wonderful!;Merveilleux !;;;;;;;;;;;;x
silkroad.413.desc;Sogdian music and dance is popular in many lands, in places as far away as China and Japan. During these fairs, both foreigners and natives, myself included, come to watch Sogdians musicians and dancers perform their art.;La musique et la danse sogdienne sont populaires dans de nombreux pays, dans des endroits aussi éloignés que la Chine et le Japon. Lors de ces foires, des étrangers et des autochtones, moi y compris, viennent voir des musiciens et danseurs sogdiens présenter leur art.;;;;;;;;;;x
silkroad.413.a;Look at how that dancer moves! She's amazing.;Regardez comme cette danseuse bouge ! Elle est incroyable.;;;;;;;;;;;;x
silkroad.413.b;I really like this song they're playing right now!;J'aime beaucoup cette chanson qu'ils sont en train de jouer !;;;;;;;;;;;;x
silkroad.414.desc;A merchant has on sale a healthy Turkish slave for sale, captured and enslaved in one of the conflicts far away from [VIET_sogdian_fair_location.GetName]. He seems strong and capable enough. He might prove worthwhile.;Un marchand a en vente un esclave turc en bonne santé, capturé et réduit en esclavage dans l'un des conflits loin de [VIET_sogdian_fair_location.GetName]. Il semble assez fort et capable. Il pourrait s'avérer utile.;;;;;;;;;;x
silkroad.414.a;Why not? I’ll buy him.;Pourquoi pas ? Je vais l'acheter.;;;;;;;;;;;;x
silkroad.414.b;Hmm… on second thought, I don’t need him.;Hmm... en y repensant, je n'ai pas besoin de lui.;;;;;;;;;;;;x
silkroad.415.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.415.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.416.desc;The best part of these fairs is obviously the food! Since people come from all across the Silk Road, there are a lot of different cuisines. There's local boiled meats and vegetables, as well as flat breads, pilaf, and nutty, syrupy sweets of course, but also more exotic dishes like Chinese noodles, Indian curries, and Greek baklava. I have plenty of time to try them all, so today I'll first try some...;La meilleure partie de ces foires est évidemment la nourriture ! Comme les gens viennent de tous les côtés de la Route de la Soie, il y a beaucoup de cuisines différentes. Il y a des viandes bouillies et des légumes locaux, ainsi que du pain plat, du pilaf, des noix, des sucreries sirupeuses bien sûr, mais aussi des plats plus exotiques comme les nouilles chinoises, les caris indiens et le baklava grec. J'ai tout le temps de les essayer tous, donc aujourd'hui je vais d'abord en essayer quelques-uns...;;;;;;;;;;x
silkroad.416.a;Pita bread and hummus;Du pain pita et de l'houmous;;;;;;;;;;;;x
silkroad.416.b;Rice pilaf;Pilaf au riz;;;;;;;;;;;;x
silkroad.416.c;Persian sangak flatbread;Sangak (pain plat perse);;;;;;;;;;;;x
silkroad.416.d;Indian naan flatbread;Naan (pain plat indien);;;;;;;;;;;;x
silkroad.416.e;Chinese noodles;Nouilles chinoises;;;;;;;;;;;;x
silkroad.416.f;Fried fish;Poisson frit;;;;;;;;;;;;x
silkroad.416.g;Spicy lamb curry;Curry d'agneau épicé;;;;;;;;;;;;x
silkroad.416.h;Boiled mutton stew;Ragoût de mouton bouilli;;;;;;;;;;;;x
silkroad.416.i;Kebabs;Kebabs;;;;;;;;;;;;x
silkroad.416.j;Steamed meat dumplings;Boulettes de viande cuites à la vapeur;;;;;;;;;;;;x
silkroad.416.k;Stuffed grape leaves;Feuilles de raisin farcies;;;;;;;;;;;;x
silkroad.416.l;Puréed eggplants with garlic;Aubergines en purée avec de l'ail;;;;;;;;;;;;x
silkroad.416.m;Cheese;Fromage;;;;;;;;;;;;x
silkroad.416.n;Pickled fruits and vegetables;Fruits et légumes marinés;;;;;;;;;;;;x
silkroad.416.o;Savory turnovers;Chaussons aux pommes salés;;;;;;;;;;;;x
silkroad.416.p;Baklava;Baklava;;;;;;;;;;;;x
silkroad.416.q;Syrupy sweet cakes;Gâteaux sucrés au sirop d'érable;;;;;;;;;;;;x
silkroad.416.r;Pitted dates;Dates dénoyautées;;;;;;;;;;;;x
silkroad.416.s;Yogurt with honey;Yogourt au miel;;;;;;;;;;;;x
silkroad.416.t;Fresh fruits;Fruits frais;;;;;;;;;;;;x
VIET_silk_road_cuisine_carb;Silk Road cuisine: Food rich in Carbs;Cuisine de la Route de la Soie : Nourriture riche en Glucides;;;;;;;;;;;;x
VIET_silk_road_cuisine_meat;Silk Road cuisine: Food rich in Meat;Cuisine de la Route de la soie : Nourriture riches en Viande;;;;;;;;;;;;x
VIET_silk_road_cuisine_sides;Silk Road cuisine: Side;Cuisine de la Route de la soie : Plat d'accompagnement;;;;;;;;;;;;x
VIET_silk_road_cuisine_dessert;Silk Road cuisine: Dessert;Cuisine de la Route de la soie : Dessert;;;;;;;;;;;;x
silkroad.417.desc;In the midst of the fair in [VIET_sogdian_fair_location.GetName], I have met with several other fellow sartapaws - some local, some from places afar - to discuss about various matters pertaining to trade and how our communities and trade networks can better help one another.;Au milieu de la foire à [VIET_sogdian_fair_location.GetName], j'ai rencontré plusieurs autres collègues sartapaws - certains locaux, d'autres de plus loin - pour discuter de diverses questions relatives au commerce et de la façon dont nos communautés et nos réseaux commerciaux peuvent mieux s'entraider.;;;;;;;;;;x
silkroad.417.a;This was an important meeting.;C'était une réunion importante.;;;;;;;;;;;;x
silkroad.418.desc;In the midst of the fair in [VIET_sogdian_fair_location.GetName], I have met with several other fellow sartapaws - some local, some from places afar - and have learned of various news concerning political stability and commercial prospects in other regions.;Au milieu de la foire à [VIET_sogdian_fair_location.GetName], j'ai rencontré plusieurs autres collègues sartapaws - certains locaux, d'autres de plus loin - et j'ai appris diverses nouvelles concernant la stabilité politique et les perspectives commerciales dans d'autres régions.;;;;;;;;;;x
silkroad.418.a;This information may prove useful.;Ces informations peuvent s'avérer utiles.;;;;;;;;;;;;x
silkroad.419.desc;In the midst of the fair in [VIET_sogdian_fair_location.GetName], I have met with several other fellow sartapaws - some local, some from places afar - and managed to secure some favourable dealings with some of them.;Au milieu de la foire à [VIET_sogdian_fair_location.GetName], j'ai rencontré plusieurs autres collègues sartapaws - certains locaux, d'autres de plus loin - et j'ai réussi à obtenir des transactions favorables avec certains d'entre eux.;;;;;;;;;;x
silkroad.419.a;This new business relationship should be profitable.;Cette nouvelle relation d'affaires devrait être rentable.;;;;;;;;;;;;x
silkroad.420.desc;In the midst of the fair in [VIET_sogdian_fair_location.GetName], I have met with several other important sartapaws - some local, some from places afar - to socialize and learn more about the customs and cultures of the other regions they hail from, things that I may not have known beforehand.;Au milieu de la foire à [VIET_sogdian_fair_location.GetName], j'ai rencontré plusieurs autres collègues sartapaws - certains locaux, d'autres de plus loin - pour socialiser et en apprendre davantage sur les coutumes et les cultures des autres régions d'où ils viennent, des choses que je n'avais peut-être pas connues auparavant.;;;;;;;;;;x
silkroad.420.a;This gathering was fun.;Ce rassemblement était amusant.;;;;;;;;;;;;x
silkroad.421.desc;Manichean priests have set themselves up along the streets of [VIET_sogdian_fair_location.GetName]. They use large paintings in their sermons, to explain their religion more easily to everyone, especially illiterate peasants.;Des prêtres manichéens se sont installés dans les rues de [VIET_sogdian_fair_location.GetName]. Ils utilisent de grandes peintures dans leurs sermons, pour expliquer plus facilement leur religion à tout le monde, en particulier aux paysans analphabètes.;;;;;;;;;;x
silkroad.421.a;Spend some time listening;Passez un peu de temps à écouter;;;;;;;;;;;;x
silkroad.421.b;Ignore them and move on;Les ignorez et passez à autre chose.;;;;;;;;;;;;x
silkroad.422.desc;You meet a few Buddhist monks travelling on a pilgrimage to India, who are resting in [VIET_sogdian_fair_location.GetName] while the fair is going on. They seem friendly enough... maybe you could talk with them a bit?;Vous rencontrez quelques moines bouddhistes en pèlerinage en Inde, qui se reposent à [VIET_sogdian_fair_location.GetName] pendant que la foire se poursuit. Ils ont l'air assez amicaux... peut-être pourriez-vous parler un peu avec eux ?;;;;;;;;;;x
silkroad.422.a;Engage in fruitful spiritual discussion with them;Engagez une discussion spirituelle fructueuse avec eux.;;;;;;;;;;;;x
silkroad.422.b;Ignore the monks - I don't have a good feeling about them;Ignorez les moines - je n'ai pas un bon pressentiment à leur sujet.;;;;;;;;;;;;x
silkroad.423.desc;I see a group of Hindu merchants nearby, discussing business. Accompanying them is a lone, Hindu hermit. He seems wise despite his old, haggard appearance.;Je vois un groupe de marchands hindous à proximité, discutant affaires. Ils sont accompagnés d'un ermite hindou solitaire. Il semble sage malgré son apparence vieille et hagarde.;;;;;;;;;;x
silkroad.423.a;Pay my respects, maybe talk a bit;Payer mes respects, peut-être parler un peu.;;;;;;;;;;;;x
silkroad.423.b;Avoid these heathen idolaters;Évitez ces idolâtres païens.;;;;;;;;;;;;x
silkroad.424.desc;Nestorians have historically formed the bulk of the Christian community along the Silk Road, on including here in [VIET_sogdian_fair_location.GetName]. I see a Nestorian merchant who, besides his normal wares, sells crosses and other religious objects to the faithful.;Les Nestoriens ont historiquement formé la majeure partie de la communauté chrétienne le long de la Route de la Soie, ce qui inclut aussi ici à [VIET_sogdian_fair_location.GetName]. Je vois un marchand nestorien qui, en plus de ses marchandises normales, vend des croix et d'autres objets religieux aux fidèles.;;;;;;;;;;x
silkroad.424.a;Talk with him and his customers about their faith;Parlez avec lui et ses clients sur leur foi.;;;;;;;;;;;;x
silkroad.424.b;Move on to another stall;Passer à un autre stand;;;;;;;;;;;;x
silkroad.425.desc;During the fair, I come across a group of merchants praying. They are pious Muslims, it seems, who do their best to pray five times a day.;Pendant la foire, je croise un groupe de marchands qui prient. Ce sont des musulmans pieux, semble-t-il, qui font de leur mieux pour prier cinq fois par jour.;;;;;;;;;;x
silkroad.425.a;Talk with them about their faith;Parlez avec eux sur leur foi.;;;;;;;;;;;;x
silkroad.425.b;Go elsewhere;Aller ailleurs;;;;;;;;;;;;x
silkroad.425.c;Join them in prayer;Se joindre à eux dans la prière;;;;;;;;;;;;x
silkroad.426.desc;There are many merchants here who sell specially-crafted idols, lovely objects. ;Il y a beaucoup de marchands ici qui vendent des idoles spécialement fabriquées, de beaux objets.;;;;;;;;;;x
silkroad.426.a;Discuss these idols with the merchants and customers;Discutez de ces idoles avec les marchands et les clients.;;;;;;;;;;;;x
silkroad.426.b;Bah, they’re just selling people cheap objects of no use;Bah, ils ne font que vendre aux gens des objets bon marché qui ne servent à rien.;;;;;;;;;;;;x
silkroad.426.c;False idols! False idols!;Faux idoles ! Faux idoles !;;;;;;;;;;;;x
silkroad.427.desc;Jews make up a noticeable minority on the Silk Road, so it’s no surprise to see them at fairs like the one I’m currently having in [VIET_sogdian_fair_location.GetName]. While exploring the bazaars, I came across a group of Jews arguing - something about scripture, or logic, or interpretation, something of a theological or religious nature.;Les Juifs forment une minorité visible sur la Route de la Soie, il n'est donc pas surprenant de les voir à des foires comme celle que j'organise actuellement à [VIET_sogdian_fair_location.GetName]. En explorant les bazars, je suis tombé sur un groupe de Juifs qui se disputaient - quelque chose au sujet des écritures, ou de la logique, ou de l'interprétation, quelque chose de nature théologique ou religieuse.;;;;;;;;;;x
silkroad.427.a;Try to understand what they’re arguing about;Essayez de comprendre pourquoi ils se disputent.;;;;;;;;;;;;x
silkroad.427.b;Ha ha, the silly Jews, always arguing…;Ha ha, des Juifs stupides, toujours en train de se disputer...;;;;;;;;;;;;x
silkroad.427.c;I should join in their argument myself!;Je devrais me joindre à leur argumentation moi-même !;;;;;;;;;;;;x
silkroad.428.desc;At the Tirmah Fair merchants are allowed to sell shoddy products. In reality, though, it is a contest between merchants won by those who can sell defective products. Some do it by manipulating and persuading potential buyers, others do it by finding creative ways to advertise their products. Buyers traditionally ‘reward’ the cleverest merchants by buying their shoddy products.;A la foire de Tirmah, les commerçants sont autorisés à vendre des produits de mauvaise qualité. En réalité, il s'agit d'une compétition entre marchands gagnés par ceux qui peuvent vendre des produits défectueux. Certains le font en manipulant et en persuadant les acheteurs potentiels, d'autres le font en trouvant des moyens créatifs de faire de la publicité pour leurs produits. Les acheteurs " récompensent " traditionnellement les marchands les plus intelligents en achetant leurs produits de mauvaise qualité.;;;;;;;;;;x
silkroad.428.a;I admire the former method - it takes skill to hoodwink others;J'admire l'ancienne méthode - il faut de l'habileté pour tromper les autres.;;;;;;;;;;;;x
silkroad.428.b;I find the latter method more admirable - it's great seeing all the ideas;Je trouve la dernière méthode plus admirable - c'est génial de voir toutes les idées.;;;;;;;;;;;;x
silkroad.429.desc;Oh no! I bought this defective product on a whim and now I can't return it. At the Tirmah Fair, that's what's supposed to happen - people buy and sell defective products for fun - but I've realized I really don't have a use for this anywhere!;Oh non ! J'ai acheté ce produit défectueux sur un coup de tête et maintenant je ne peux pas le retourner. À la foire de Tirmah, c'est ce qui est censé se passer - les gens achètent et vendent des produits défectueux pour le plaisir - mais je me suis rendu compte que je n'ai pas vraiment d'utilité pour cela n'importe où !;;;;;;;;;;x
silkroad.429.a;Damn, that merchant fooled me good.;Merde, ce marchand m'a bien eu.;;;;;;;;;;;;x
silkroad.429.b;But perhaps… I can trick someone else into buying this...;Mais peut-être... Je peux piéger quelqu'un d'autre pour qu'il achète ça...;;;;;;;;;;;;x
silkroad.430.desc;It's really fun trying to see what defective products people sell at the Tirmah Fair. It's a Sogdian tradition that's endured for centuries now. People find lots of unusual, interesting ways to use the seemingly shoddy items they buy.;C'est vraiment amusant d'essayer de voir quels produits défectueux les gens vendent à la foire de Tirmah. C'est une tradition sogdienne qui dure depuis des siècles. Les gens trouvent beaucoup de façons inhabituelles et intéressantes d'utiliser les articles apparemment de mauvaise qualité qu'ils achètent.;;;;;;;;;;x
silkroad.430.a;This bent toothbrush here, for instance, could be a nice decoration.;Cette brosse à dents courbée, par exemple, pourrait être une belle décoration.;;;;;;;;;;;;x
silkroad.431.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.431.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.432.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.432.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.433.desc;At the M'xyrh Fair, people sell "stolen" products. In fact these products are simply "stolen" by friends or family as part of a game, so to speak, all in good fun. People are vigilant during the fair, trying not to get their items stolen, while at the same time waiting for opportunities to steal from others themselves. Anyone is allowed to sell or buy these "stolen" items.;A la foire de M'xyrh, les gens vendent des produits "volés". En fait, ces produits sont simplement "volés" par des amis ou des membres de la famille dans le cadre d'un jeu, pour ainsi dire, tout en s'amusant. Les gens sont vigilants pendant la foire, essayant de ne pas se faire voler leurs objets, tout en attendant en même temps des occasions de voler les autres eux-mêmes. Toute personne est autorisée à vendre ou à acheter ces objets "volés".;;;;;;;;;;x
silkroad.433.a;I wasn't wary enough, and my courtier stole something from me!;Je n'étais pas assez méfiant, et mon courtier m'a volé quelque chose !;;;;;;;;;;;;x
silkroad.433.b;I've managed to steal something from a courtier this year!;J'ai réussi à voler quelque chose à un courtisan cette année !;;;;;;;;;;;;x
silkroad.434.desc;A thief has been brought before me. Although people are supposedly allowed to steal and sell their stolen products at the M'xyrh Fair, this is in fact just a game friends and family play with each other. Real theft is not acceptable, but it happens from time to time, with lowly ruffians thinking they can take advantage of the atmosphere.;Un voleur a été amené devant moi. Bien que les gens soient censés être autorisés à voler et à vendre leurs produits volés à la foire M'xyrh, il ne s'agit en fait que d'un jeu entre amis et en famille. Le vol réel n'est pas acceptable, mais il se produit de temps en temps, les petits voyous pensant qu'ils peuvent profiter de l'atmosphère.;;;;;;;;;;x
silkroad.434.a;Punish the thief!;Punissez le voleur !;;;;;;;;;;;;x
silkroad.434.b;Be lenient on the thief - after all, this fair "celebrates" theft, right?;Soyez indulgent à l'égard du voleur - après tout, cette foire "célèbre" le vol, n'est-ce pas ?;;;;;;;;;;;;x
silkroad.435.desc;Curses! A real thief stole some valuables of mine during the M'xyrh Fair. Usually during the fair only family and friends are supposed to "steal" from each other, as part of the festivities. However, it's certain that a real thief was behind this.;Malédiction ! Un vrai voleur m'a volé des objets de valeur pendant la foire de M'xyrh. Habituellement, pendant la foire, seuls la famille et les amis sont censés "voler" l'un de l'autre, dans le cadre des festivités. Cependant, il est certain qu'un vrai voleur était derrière tout cela.;;;;;;;;;;x
silkroad.435.a;This is very upsetting.;C'est très perturbant.;;;;;;;;;;;;x
silkroad.436.desc;You meet a merchant from Karghalik at the fair. His people specialize in the cultivation of a special plant the Chinese call “baicao,” or “white grass.” Its extract is poisonous, and can be used on arrow points and kills immediately. Though he doesn’t sell the “baicao” to most of his normal customers, since you are a [Root.GetTitle], he says he can get you some for a special price.;Vous rencontrez un marchand de Karghalik à la foire. Son peuple se spécialise dans la culture d'une plante spéciale que les Chinois appellent "baicao" ou "herbe blanche". Son extrait est toxique et peut être utilisé sur les pointes de flèches et tue immédiatement. Bien qu'il ne vende pas le "baicao" à la plupart de ses clients normaux, puisque vous êtes un [Root.GetTitle], il dit qu'il peut vous en offrir à un prix spécial.;;;;;;;;;;x
silkroad.436.a;Sounds good! It might come in handy.;Ça a l'air bien ! Ça pourrait être utile.;;;;;;;;;;;;x
silkroad.436.b;Look here, I’m not interested in shady dealings.;Ecoutez, je ne suis pas intéressé par les affaires louches.;;;;;;;;;;;;x
silkroad.437.desc;You encounter a noblewoman you recognize at the fair in [VIET_sogdian_fair_location.GetName]. She has with her a lovely horse she just bought, and tells you its one of the horses from Barkol, whose people are renowned for their horse breeding. When asked where she got her new steed, she points to a horse merchant nearby, but says that the horse won’t be cheap.;Vous rencontrez une noble femme que vous reconnaissez à la foire à [VIET_sogdian_fair_location.GetName]. Elle a avec elle un joli cheval qu'elle vient d'acheter, et vous raconte que c'est l'un des chevaux de Barkol, dont les gens sont réputés pour leur élevage de chevaux. Lorsqu'on lui demande où elle s'est procuré son nouveau cheval, elle montre du doigt un marchand de chevaux à proximité, mais elle répond que le cheval ne sera pas bon marché.;;;;;;;;;;x
silkroad.437.a;Hmm. I guess I can chalk up the money.;Hmm. Je suppose que je peux y mettre le prix.;;;;;;;;;;;;x
silkroad.437.b;Nah, doesn’t look like it’s worth it.;Non, on dirait que ça n'en vaut pas la peine.;;;;;;;;;;;;x
silkroad.438.desc;A merchant from the hinterlands of the Fergana valley invites you over to his stall. The valley has been famous since ancient times for its fruits, particularly its grapes, which are made into wines, and this merchant tries to convince you to try some his produce and buy it.;Un marchand de l'arrière-pays de la vallée de Fergana vous invite à son stand. La vallée est célèbre depuis l'antiquité pour ses fruits, en particulier ses raisins, qui sont transformés en vins, et ce marchand essaie de vous convaincre de goûter ses produits et de l'acheter.;;;;;;;;;;x
silkroad.438.a;I’ll take a few fruits.;Je vais prendre quelques fruits.;;;;;;;;;;;;x
silkroad.438.b;The wine looks good.;Le vin a l'air bon.;;;;;;;;;;;;x
silkroad.438.c;No thanks.;Non merci.;;;;;;;;;;;;x
silkroad.439.desc;You are browsing the wares of various merchants at the fair when you see a crowd up ahead. Curious, you make your way and see what all the fuss is about. It turns out to be a pair of travelling musicians, one playing a lute, the other playing a pipe. Listening carefully for a while, you recognize their style of music as being from Kucha. The city is famous for its talented musicians.;Vous parcourez les marchandises de divers marchands à la foire lorsque vous voyez une foule devant vous. Curieux, vous faites votre chemin et vous voyez pourquoi tout ce tapage. Il s'avère qu'il s'agit d'une paire de musiciens itinérants, l'un jouant du luth, l'autre jouant de la pipe. En écoutant attentivement pendant un certain temps, vous reconnaissez leur style de musique comme étant du Kucha. La ville est célèbre pour ses musiciens talentueux.;;;;;;;;;;x
silkroad.439.a;It’s great to hear something like this after so long!;C'est génial d'entendre quelque chose comme ça après si longtemps !;;;;;;;;;;;;x
