#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###### Misc events, decisions, modifiers;;;;;;;;;;;;x
###### Georgian Schism;;;;;;;;;;;;x
GEORGIAN.1.title;The Georgian Church;L'Église géorgienne;;;La iglesia Georgiana;;;;;;;x
ZUSK1OP1;Welcome the traditions of Greece into my heart.;Bienvenue les traditions de la Grèce dans mon cœur.;;;;;;;;;;x
ZUSK1OP2;My lord would never accept it.;Mon seigneur n'acceptera jamais cela.;;;;;;;;;;x
zusk_event.48_desc;A proud steward that has arrived at our court claims heritage from the old realm of Carthage, while these claims are dubious at best he does seem to be able to speak a foreign language that is unknown in our court.;Un intendant fier qui est arrivé à notre cour revendique l'héritage de l'ancien royaume de Carthage, alors que ces revendications sont pour le moins douteuses, il semble être capable de parler une langue étrangère qui est inconnu dans notre cour.;;;;;;;;;;x
ZUSK48OP;A most interesting person;Une personne très intéressante;;;;;;;;;;x
zusk_event.2.desc;My family has and always will be Celtic, even so, I cant help but feel that this worship of the Jewish God of the east is abandoning the work my forefathers have done in protecting this land, what would Brennus think of my actions?;Ma famille a toujours été et sera celtique, même, je ne peux pas aider mais pense que ce culte du Dieu juif de l'Orient abandonne le travail de mes ancêtres qui ont protéger cette terre, que penserait Brennus de mes actions?;;;;;;;;;;x
ZUSK2OP1;I say damn the Christian God!;Je dis damner le Dieu chrétien!;;;;;;;;;;x
ZUSK2OP2;My lord would never accept it;Mon seigneur n'acceptera jamais cela.;;;;;;;;;;x
zusk_event.37.desc;The City of Rome has fallen to the barbarian hordes, we in the east must find some way to supplant those barbaric invaders from their unjust throne. Perhaps we should contact our old Foedarati the Ostrogoths and see if they are willing to help us?;La ville de Rome est tombée aux mains de hordes barbares, nous en Orient devons trouver un moyen de supplanter ces envahisseurs barbares de leur trône injustifié. Nous devrions peut-être communiquer avec nos anciens Foedarati les Ostrogoths et voir s'ils sont prêts à nous aider?;;;;;;;;;;x
ZUSK37OP1;Pay the Ostrogoths a visit;Payer aux Ostrogoths une visite;;;;;;;;;;x
ZUSK37OP2;I can conquer Rome myself!;Je peux conquérir Rome moi-même!;;;;;;;;;;x
ostrogoth_attack_tooltip;The Ostrogoths will consider your offer and attack Odoacer;Les Ostrogoths vont considérer votre offre et attaquer Odoacre;;;;;;;;;;x
zusk_event.22.desc;An emissary from the Byzantines has arrived with carts full of gold, food and weapons. Promising us the full riches of Rome if we were to rally our men against the barbarians that have taken Rome.;Un émissaire des Byzantins est arrivé avec des charrettes pleines d'or, de nourriture et d'armes. nous promettant la richesse entière de Rome si nous allions rallier nos hommes contre les barbares qui ont pris Rome.;;;;;;;;;;x
ZUSK22OP1;Sign me up!;Je signe!;;;;;;;;;;x
ZUSK22OP2;I don't feel up to war, have them send it back;Je ne me sens pas faire la guerre, renvoyez-les;;;;;;;;;;x
zusk_event.44.desc;After moving into the Indus Valley area a majority of our people have begun adopting Hindu culture and customs, perhaps we should follow along as well?;Après avoir déménagé dans la région de la vallée de l'Indus une majorité de notre peuple a commencé à adopter la culture et les coutumes hindoues, peut-être que nous devrions suivre également?;;;;;;;;;;x
ZUSK44OP1;I guess I should follow along;Je suppose que je devrais suivre;;;;;;;;;;x
ZUSK44OP2;I heard some interesting things about the Kalash people...;J'ai entendu des choses intéressantes sur le peuple kalash...;;;;;;;;;;x
ZUSK44OP3;Damn them, I will never forsake the sky god!;Damnez-les, je n'abandonnerai jamais le dieu du ciel!;;;;;;;;;;x
zusk_event.45.desc;Living so far away from our home has caused some of our people to forget the ways of our homeland, as the thrills of migration wane it is time we finally make a choice for the future of our realm;De vivre si loin de chez a fait que certains de notre peuple ont oublié les façons de notre patrie, et tandis que les excitations de la migration déclinent, il est temps que nous fassions enfin un choix pour l'avenir de notre royaume.;;;;;;;;;;x
ZUSK45OP1;The Nicene faith sounds interesting enough..;La foi nicéenne semble assez intéressante...;;;;;;;;;;x
ZUSK45OP2;Maybe I can still worship some of my old gods but follow along with Christendom?;Peut-être que je peux encore adorer certains de mes anciens dieux, mais suivre la chrétienté?;;;;;;;;;;x
ZUSK45OP3;I saw some old pagan worshipers out in the forest, perhaps I will see what they are up to;J'ai vu quelques vieux adorateurs païens dans la forêt, peut-être que je vais voir ce qu'ils sont devenus;;;;;;;;;;x
ZUSK45OP4;I will preserve the Germanic spirit no matter what;Je vais préserver l'esprit germanique, peu importe;;;;;;;;;;x
zusk_event.24.desc;Our lack of a proper heir has proven unsettling to some of the nobles of the realm, luckily a young lad named Justin from a village north of Constantinople has shown an extraordinary amount of promise. We could adopt the boy if we so wished.;Notre absence d'héritier légitime s'est révélée troublante pour certains nobles du royaume. Heureusement, un jeune garçon nommé Justin, originaire d'un village au nord de Constantinople, a fait preuve d'extraordinaire espérances. Nous pourrions adopter le garçon si nous le souhaitions.;;;;;;;;;;x
ZUSK24OP1;He is now a member of the family!;C'est désormais un membre de la famille!;;;;;;;;;;x
zusk_event.3.desc;You cant help but feel that there is something wrong with the notion of the Christian god, perhaps your forefathers in Illyria were right all along?;Vous ne pouvez pas aider mais vous sentez qu'il y a quelque chose de mal avec la notion de dieu chrétien, peut-être vos ancêtres en Illyrie avaient raison sur tout?;;;;;;;;;;x
ZUSK3OP1;I wonder if their gods will forgive me for following the heathen;Je me demande si leurs dieux me pardonneront d'avoir suivi les païens;;;;;;;;;;x
ZUSK3OP2;My lord would never accept it;Mon seigneur n'acceptera jamais cela;;;;;;;;;;x
zusk_event.4.desc;One of the local hunting parties has discovered a massive Roman aqueduct hidden among the foliage, long abandoned by its masters to rot, it sits as a shrine to their craftsmanship and ingenuity.;L'une des parties de chasse locale a découvert un aqueduc romain massif caché dans le feuillage, longtemps abandonné par ses maîtres à la pourriture, il est assis comme un sanctuaire de leur savoir-faire et de leur ingéniosité.;;;;;;;;;;x
ZUSK4OP1;Leave it along so that generations in the future may remember them;Laissez-le de sorte que les générations à venir peuvent s'en souvenir;;;;;;;;;;x
ZUSK4OP2;See if we can figure out how to build our own;Voir si nous pouvons comprendre comment construire le notre;;;;;;;;;;x
ZUSK4OP3;Break it down and sell off the stone;Détruisez-le et vendez la pierre;;;;;;;;;;x
ZUSK4OP4;Leave it alone;Laissez-le seul;;;;;;;;;;x
zusk_event.5.desc;Its hard to ignore the legacy of the ancient Romans, from how they administered their land with their great code of laws to how they defeated the mighty Carthagians, Greeks, Gauls and Persians with their advanced military strategy. Perhaps we may learn something from their legacy?;Il est difficile d'ignorer l'héritage des anciens Romains, de la façon dont ils ont administré leurs terres avec leur grand code de lois sur la façon dont ils ont vaincu les puissants Carthaginois, les Grecs, les Gaulois et les Perses avec leur stratégie militaire avancée. Peut-être pourrions-nous apprendre quelque chose de leur héritage ?;;;;;;;;;;x
ZUSK5OP1;Perhaps I should try to improve my Latin;Je devrais peut-être essayer d'améliorer mon latin;;;;;;;;;;x
ZUSK5OP2;Rome is overrated;Rome est surfaite;;;;;;;;;;x
zusk_event.6.desc;My guardian keeps on talking about some weird place called "Rome" in such high esteem, perhaps I should ask him about it?;Mon tuteur continue à parler d'un endroit bizarre appelé "Rome" en si haute estime, peut-être que je devrais lui demander plus d'informations à ce sujet ?;;;;;;;;;;x
ZUSK6OP1;I will ask him what Rome is like;Je vais lui demander à quoi ressemble Rome;;;;;;;;;;x
ZUSK6OP2;...It also might be pretty boring;...Ce pourrait être aussi assez ennuyeux;;;;;;;;;;x
zusk_event.7.desc;Your ward has asked you to tell him about Rome;Votre pupille vous a demandé de lui raconter au sujet de Rome;;;;;;;;;;x
ZUSK7OP1;Rome is a silly place;Rome est un endroit ridicule;;;;;;;;;;x
ZUSK7OP2;Well it all started with Romulus and his brother Remus...;Eh bien tout a commencé avec Romulus et son frère Remus...;;;;;;;;;;x
zusk_event.30.name;Rome has fallen;Rome est tombée;;;;;;;;;;x
zusk_event.30.desc;The city of Rome has finally fallen to the onslaught of the Germanic invaders, the ancient city reduced to rubble. While this might not be the end of the Roman state it will be nearly impossible to preserve its true integrity without the spiritual center of the world. Today marks the end of one thousand years of Roman domination across the western world.;La ville de Rome est finalement tombé sous l'assaut des envahisseurs germaniques, avec la ville antique réduite à des décombres. Bien que cela puisse ne pas être la fin de l'état romain, il sera presque impossible de préserver sa véritable intégrité sans le centre spirituel du monde. Aujourd'hui marque la fin de mille ans de domination romaine à travers le monde occidental.;;;;;;;;;;x
zusk_event.29.name;A Potential Ally?;Un allié potentiel?;;;;;;;;;;x
zusk_event.29.desc;With the rise of the Gokturk Khaganate in the east the local Avar tribes have become displaced, we have received word from an emissary from one of these tribes saying that they would promise to crush our enemies to the north such as the Gepids if we were to supply them with gold and arms. While it is unknown if we can really trust these Avars we could certainly use a tool to unwedge our enemies to the north.;Avec la montée du khaganat Göktürk à l'est, les tribus avares locales se sont déplacées, et nous avons reçu des nouvelles d'un émissaire de l'une de ces tribus disant qu'elles promettraient d'écraser nos ennemis au nord, comme les Gépides, si nous leur fournissions de l'or et des armes. Bien qu'on ne sache pas si nous pouvons vraiment faire confiance à ces Avars, nous pourrions certainement profiter d'un outil pour désarmer nos ennemis au nord.;;;;;;;;;;x
ZUSK29OP1;Give them the money;Donnez-leur l'argent;;;;;;;;;;x
ZUSK29OP2;Never!;Jamais!;;;;;;;;;;x
avar_attack_tooltip;The Avars will invade your enemies to the north with a great army in the next month;Les Avars envahiront vos ennemis au nord avec une grande armée le mois prochain;;;;;;;;;;x
ZUSK30OP1;Interesting;Intéressant;;;;;;;;;;x
ZUSK30OP2;Odin gives us strength!;Odin donne nous la force!;;;;;;;;;;x
ZUSK30OP3;God help us!;Que Dieu nous aide!;;;;;;;;;;x
ZUSK30OP4;The Romans deserved everything I have done to them;Les Romains méritaient tout ce que je ai fait pour eux;;;;;;;;;;x
ZUSK30OP5;Odoacer could have never done it without my help;Odoacre ne l'aurait jamais fait sans mon aide;;;;;;;;;;x
ZUSK30OP6;I must preserve the glory of Rome at all costs!;Je dois préserver la gloire de Rome à tout prix!;;;;;;;;;;x
ZUSK30OP7;Rome lives on! They are fools to think otherwise;Rome vit! Ils sont sots de penser autrement;;;;;;;;;;x
zusk_event.32.name;Fall of Persia;Chute de la Perse;;;;;;;;;;x
zusk_event.32.desc;The ancient Persian empire has finally perished after nearly one thousand years of rule over the Iranian plateau. From the ancient Achaemenid Empire to the glorious Sassanids the Persians have ruled over one of the richest and most glorious empires the world has ever seen. Now it seems if nothing is done those will all only be memories.;L'ancien empire perse a finalement péri après presque mille ans de règne sur le plateau iranien. De l'ancien Empire achéménide aux glorieux Sassanides les Perses ont régné sur l'un des empires les plus riches et les plus glorieux que le monde ait jamais vu. Maintenant, il semble si rien n'est fait il en restera seulement des souvenirs.;;;;;;;;;;x
ZUSK32OP1;Interesting;Intéressant;;;;;;;;;;x
ZUSK32OP2;It seems we have finally won after all;Il semble que nous avons finalement gagné après tout;;;;;;;;;;x
ZUSK32OP3;Oh no!;Oh non!;;;;;;;;;;x
ZUSK32OP4;This is not the end! I will restore the Persian legacy!;Ce n'est pas la fin! Je rétablirai l'héritage persan!;;;;;;;;;;x
ZUSK32OP5;All of that land, ripe for the taking...;Toutes ces terres, mûres pour la prise...;;;;;;;;;;x
ZUSK32OP6;[Root.Religion.GetRandomGodName] protect us!;Que [Root.Religion.GetRandomGodName] nous protège!;;;;;;;;;;x
zusk_event.34.name;Constantinople Falls;Chute de Constantinople;;;;;;;;;;x
zusk_event.34.desc;The empire of the east has fallen with the fall of the city of Constantinople. The ancient lands of Anatolia, Greece and Egypt were once home to the greatest civilizations of the world. It seems if nothing is done those will only be stories and fables as foreign invaders inevitably stretch their influence into the former bread basket of the Roman Empire.;L'empire d'Orient est tombé avec la chute de la ville de Constantinople. Les anciennes terres de l'Anatolie, de la Grèce et de l'Egypte étaient autrefois les plus grandes civilisations du monde. Il semble que si rien n'est fait cela ne sera plus que des histoires et des fables comme des envahisseurs étrangers étendent inévitablement leur influence dans l'ancien grenier de l'Empire romain.;;;;;;;;;;x
ZUSK34OP;Oh dear;Oh très cher;;;;;;;;;;x
zusk_event.46.name;A heir to the Imperial Legacy?;Un héritier de l'héritage impérial?;;;;;;;;;;x
zusk_event.46.desc;With the collapse of the Empire in the north we have managed to luckily stay mostly unscathed, the great stability and peace in our realm has caused many to believe that we are the true heirs of the Roman Empire. It is time we bring peace to the rest of the former empire, retake our lost lands and restore the Imperial throne!;Avec l'effondrement de l'Empire dans le nord, nous avons heureusement réussi à rester plus ou moins indemnes, et la grande stabilité et la paix dans notre royaume ont fait beaucoup de gens croire que nous sommes les vrais héritiers de l'Empire romain. Il est temps d'apporter la paix au reste de l'ancien empire, de reprendre nos terres perdues et de restaurer le trône impérial !;;;;;;;;;;x
ZUSK46OP;We are true Romans!;Nous sommes les véritables romains!;;;;;;;;;;x
zusk_event.50.name;Sack of Rome;Sac de Rome;;;;;;;;;;x
zusk_event.50.desc;Following the Vandal Sack of Rome in 455 we took countless Roman citizens with us back to Africa to sell off in the lucrative slave markets.;Après le sac vandale de Rome en 455, nous avons capturés d'innombrables citoyens romains avec nous en retournant en Afrique pour les vendre dans les lucratifs marchés d'esclaves.;;;;;;;;;;x
ZUSK50OP;I wonder if the families are still missing their loved ones, haha!;Je me demande si les familles manquent encore à leurs proches, haha !;;;;;;;;;;x
vandal_slave_tooltip;We gain a large group of Roman prisoners to do with as we please;Nous gagnons un grand groupe de prisonniers romains pour faire avec ce qu'il nous plaît;;;;;;;;;;x
zusk_event.7.tooltip;I will ask them what Rome was like;Je vais leur demander à quoi ressemble Rome;;;;;;;;;;x
zusk_event.10.tooltip;They seem to like Rome just as you do!;Ils semblent aimer Rome comme vous le faites!;;;;;;;;;;x
zusk_event.8.desc;A group of Slavs have begun settling in $PROVINCENAME$, while normally we could ignore the politics of the peasant rabble they have been gradually increasing their number to the point where they will outnumber the local population there! The Slavs are incredibly independent and it will be impossible to govern $PROVINCENAME$ unless we take action!;Un groupe de Slaves a commencé à s'installer à $PROVINCENAME$, alors que normalement nous pourrions ignorer la politique de la populace paysanne, ils ont augmenté progressivement leur nombre au point où ils seront plus nombreux que la population locale là! Les Slaves sont incroyablement indépendants et il sera impossible de gouverner $PROVINCENAME$, sauf si nous prenons des mesures!;;;;;;;;;;x
zusk_event.20.desc;[Root.Culture.GetName] tribesmen have managed to settle into one of our realm provinces, displacing the local populace;Les membres de la tribu [Root.Culture.GetName] ont réussi à s'installer dans l'une des provinces de notre royaume, engendrant le déplacement de la population locale;;;;;;;;;;x
ZUSK8OP1;Let the Slavs settle there, I never liked $PROVINCENAME$ anyway.;Que les Slaves s'y installent, je n'ai jamais aimé $PROVINCENAME$ de toute façon.;;;;;;;;;;x
ZUSK8OP2;Drive the Slavs off our land!;Conduisez les Slaves de notre terre!;;;;;;;;;;x
zusk_event.10.desc;Rome is the best!;Rome est la meilleure!;;;;;;;;;;x
ZUSK10OP1;I want to be just like Augustus!;Je veux juste être comme Auguste!;;;;;;;;;;x
zusk9tooltip;This is very traumatic for you...;Cela est très traumatisant pour vous...;;;;;;;;;;x
zusk_event.16.desc;The old Slavic ways are giving in and a new culture is forming, people are now identifying themselves as Russians!;Les vieilles manières slaves cèdent et une nouvelle culture se forme, les gens s'identifient maintenant comme Russes !;;;;;;;;;;x
zusk_event.27.desc;We Franks have been surrounded with various religions and faiths, converting to Arianism will ally ourselves with the Arian Goths and converting to the Nicene church will ally ourselves with the eastern Roman empire! We could always remain pagans of course.;Nous, Francs, avons été entourés de diverses religions et croyances, la conversion à l'arianisme va nous allier avec les Goths ariens et la conversion à l'église de Nicée va nous allier avec l'empire romain d'Orient! Nous pourrions toujours rester païens bien sûr.;;;;;;;;;;x
zusk_event.26.desc;While Italia may have fallen, the Eastern Empire still considers us the rightful heir of the imperial throne! Rome lives another day!;Alors que l'Italie est peut-être tombé, l'empire d'Orient nous considère toujours comme l'héritier légitime du trône impérial! Rome vit un autre jour!;;;;;;;;;;x
ZUSK16OP1;Eh, A Slav is a Slav;Euh, un slave reste un slave;;;;;;;;;;x
ZUSK16OP2;We will not give in to the new ways!;Nous ne céderons pas aux nouvelles manières!;;;;;;;;;;x
ZUSK16OP3;I like these people.;J'aime ces peuples.;;;;;;;;;;x
ZUSK27OP1;Convert to the Chalcedonian Church;Se convertir à l'Église chalcédoine;;;;;;;;;;x
ZUSK27OP2;Convert to Arianism;Se convertir à l'arianisme;;;;;;;;;;x
ZUSK27OP3;Remain a pagan;Rester païen;;;;;;;;;;x
zusk_event.35.desc;Slavs have settled into one of our realm provinces, displacing the local population;Les slaves se sont installés dans l'une des provinces de notre royaume, engendrant le déplacement de la population locale;;;;;;;;;;x
zusk_event.36.desc;Our liege has decided to let Slavs settle into one of our provinces, there is little we can do about this;Notre seigneur a décidé de laisser les Slaves s'installer dans l'une de nos provinces, nous ne pouvons pas faire grand chose;;;;;;;;;;x
###### Melting pots;;;;;;;;;;;;x
EVTDESC_ROM_1000;The locals, whose vulgarate has changed so much from its classical roots, have begun to call themselves by the name of their conquerors--"Franc." The Romano-Gauls of Francia are becoming Frenchmans.;Les habitants, dont le vulgaire a tellement changé de ses racines classiques, ont commencé à s'appeler par le nom de leurs conquérants - "Franc". Les Gallo-Romain de Francie deviennent francs.;;;;;;;;;;x
EVTOPTA_ROM_1000;Pah! The peasants no longer want to be "Roman..." how fitting.;Pah! Les paysans ne veulent plus être «romains ...» comme il convient.;;;;;;;;;;x
EVTOPTB_ROM_1000;Honhonhon! À mon avis, le français est la langue supérieure!;Honhonhon ! À mon avis, le français est la langue supérieure !;;;;;;;;;;x #To look at
EVTDESC_ROM_1100;The language and customs of the local Romano-Gauls have deviated enough from their classical roots such that they can no longer be called "Roman.";La langue et les coutumes des Gallo-Romains locaux ont déviées suffisamment de leurs racines classiques qu'ilss ne peuvent plus être appelés «Romains».;;;;;;;;;;x
EVTOPTA_ROM_1100;What the peasants do is of no interest to me.;Ce que les paysans font ne m'intéresse aucunement.;;;;;;;;;;x
EVTOPTB_ROM_1100;Peasants embracing civilization? Who would've thought...;Les paysans embrassant la civilisation? Qui aurait pu le penser...;;;;;;;;;;x
EVTDESC_ROM_1150;The Visigoths of the Garonne valley, who have been rapidly Romanized in the past centuries, no longer maintain a position as the dominant class under foreign rule. With no differences in social and political class separating them from their fellow latin-speaking ilk, the Visigoths of Gaul are beginning to melt into the rest of the Romano-Gallic population.;Les Wisigoths de la vallée de la Garonne, qui ont été romanisés rapidement au cours des siècles passés, ne maintiennent plus une position de classe dominante sous domination étrangère. En l'absence de différences de classe sociale et politique qui les séparent de leurs semblables latin de langue compatriote, les Visigoths de la Gaule commencent à se fondre dans le reste de la population gallo-romaine.;;;;;;;;;;x
EVTOPTA_ROM_1150;Good riddance. These lands will never be theirs again.;Bon débarras. Ces terres ne seront plus jamais les leurs.;;;;;;;;;;x
EVTOPTB_ROM_1150;Even the peasants feel the pull of Roman civilization.;Même les paysans ressentent l'attraction de la civilisation romaine.;;;;;;;;;;x
EVTDESC_ROM_2000;With the Visigoths embracing the Nicene faith, the remaining minor differences between the Gothic ruling social class and the Hispani peasants and nobles are fading away. Both groups are starting to consider themselves one-and-the-same in this province, where they have embraced a united identity as the gens of the Rex Gothorum.;Avec les Wisigoths embrassant la foi de Nicée, les différences mineures qui subsistent entre la classe sociale gothique au pouvoir et les paysans et nobles Hispani s'évanouissent. Les deux groupes commencent à se considérer comme identiques dans cette province, où ils ont embrassé une identité unifiée en tant que peuple du Rex Gothorum.;;;;;;;;;;x
EVTOPTA_ROM_2000;Let us embrace the unifying cultural identity!;Adoptons l'identité culturelle unificatrice!;;;;;;;;;;x
EVTOPTB_ROM_2000;NO. We will never merge with these peasants in name or custom...;NON. Nous ne pourrons jamais fusionner avec ces paysans en nom ou en coutume...;;;;;;;;;;x
EVTDESC_ROM_2001;With native Celt-iberian rule long gone, the remaining Celts are starting to assimilate with their Romano-Hispanic neighbors, adopting their tongue and customs.;Avec le règne des celtes-iberiques d'origine terminé depuis longtemps, les Celtes restants commencent à s'assimiler avec leurs voisins Romano-hispaniques, en adoptant leur langue et leurs coutumes.;;;;;;;;;;x
EVTOPTA_ROM_2001;And the tongue spoken by the peasants concerns me how, herald?;Et la langue parlée par les paysans me concerne en quoi, héraut?;;;;;;;;;;x
EVTDESC_ROM_2048;With native Celtic rule long gone, the remaining Gauls are starting to assimilate with their Romano-Gallic neighbors, adopting their tongue and customs.;Avec le règne des celtes d'origine terminé depuis longtemps, les Gaulois restants commencent à s'assimiler avec leurs voisins Gallo-Romains, en adoptant leur langue et leurs coutumes.;;;;;;;;;;x
EVTOPTA_ROM_2048;...And these peasant matters concern me how, again?;...et ces paysans me concerne en quoi, encore?;;;;;;;;;;x
EVTDESC_ROM_2100;The latin vulgarate and customs of the peasants of this province have diverged enough from those of their distant neighbors. This province has become Catalan.;Le vulgaire latin et les coutumes des paysans de cette province ont assez divergé de ceux de leurs voisins lointains. Cette province est devenue catalane.;;;;;;;;;;x
EVTOPTA_ROM_2100;Good.;Bien.;;;;;;;;;;x
EVTOPTB_ROM_2100;An interesting development...;Un développement intéressant...;;;;;;;;;;x
EVTDESC_ROM_2200;The latin vulgarate and customs of the peasants of this province have diverged enough from those of their distant neighbors. This province has become Portuguese.;Le vulgaire latin et les coutumes des paysans de cette province ont assez divergé de ceux de leurs voisins lointains. Cette province est devenue portugaise.;;;;;;;;;;x
EVTOPTA_ROM_2200;An interesting development...;Un développement intéressant...;;;;;;;;;;x
EVTOPTB_ROM_2200;Good.;Bien.;;;;;;;;;;x
EVTDESC_ROM_2300;The latin vulgarate and customs of the peasants of this province have diverged enough from those of their distant neighbors. This province has become Castillian.;Le vulgaire latin et les coutumes des paysans de cette province ont assez divergé de ceux de leurs voisins lointains. Cette province est devenue castillane.;;;;;;;;;;x
EVTOPTA_ROM_2300;Good.;Bien.;;;;;;;;;;x
EVTOPTB_ROM_2300;An interesting development...;Un développement intéressant...;;;;;;;;;;x
EVTDESC_ROM_2400;The latin vulgarate and customs of the peasants of this province have diverged enough from those of their distant neighbors. This province has become Leonese.;Le vulgaire latin et les coutumes des paysans de cette province ont assez divergé de ceux de leurs voisins lointains. Cette province est devenue léonaise.;;;;;;;;;;x
EVTOPTA_ROM_2400;Good.;Bien.;;;;;;;;;;x
EVTOPTB_ROM_2400;An interesting development...;Un développement intéressant...;;;;;;;;;;x
EVTDESC_ROM_2500;With their subjugation at the hands of the Arabs, the Romantic peoples of Spain are quickly being to influence and be influenced by their new-found rulers. A new Andalusian culture has become to emerge in this province.;Avec leur assujettissement par les Arabes, les peuples romains d'Espagne sont rapidement en train d'influencer et d'être influencés par leurs dirigeants nouvellement découverts. Une nouvelle culture andalouse est en train d'émerger dans cette province.;;;;;;;;;;x
EVTOPTA_ROM_2500;The best aspects of both!;Les meilleurs aspects des deux!;;;;;;;;;;x
EVTOPTB_ROM_2500;Intriguing...;Intrigant...;;;;;;;;;;x
EVTDESC_ROM_3000;With many years having past since the fall of Rome in the West, the people of Italy have moved away from identifying solely with their Roman heritage much as their dialect of Latin vulgarate has moved from its classical forebear. The people of Italy are becoming Italian.;Après de nombreuses années passées depuis la chute de Rome en Occident, le l'identification du peuple italien ne résume plus uniquement à son héritage romain, tout comme son dialecte du vulgaire latin s'est éloigné de son ancêtre classique. Le peuple d'Italie devient italien.;;;;;;;;;;x
EVTOPTA_ROM_3000;Peasant matters are still peasant matters...;Les affaires paysannes restent encore des affaires paysannes...;;;;;;;;;;x
EVTOPTB_ROM_3000;It is good to see the peasants embracing the times.;Il est bon de voir les paysans embrassant les temps nouveaux.;;;;;;;;;;x
EVTDESC_CELT_1000;The Picts of Scotland have slowly been gaelicized under Irish rule, with a new culture identity uniting the Gaels and Picts of Caledonia. The people of this province have become Scottish.;Les Pictes d'Écosse ont lentement été gaelisés sous la domination irlandaise, avec une nouvelle identité de la culture qui unit les Gaels et Pictes de Caledonia. Les habitants de cette province sont devenus écossais.;;;;;;;;;;x
EVTOPTA_CELT_1000;An interesting development!;Un développement intéressant!;;;;;;;;;;x
EVTOPTB_CELT_1000;I'm starting to take to their strange ways too...;Je commence à me faire à leurs manières étranges aussi...;;;;;;;;;;x
EVTDESC_CELT_1100;Although the Armoricans have long held cultural ties with the Celts of the isles, the increasing influence of the Briton ruling class and Briton migrants has lead to the emergence of a new, mixed culture in Armorica. The people of this province have become Bretons.;Bien que les Armoricains ont longtemps tenu des liens culturels avec les Celtes des îles, l'influence croissante de la classe dirigeante Britonne et les migrants Britons ont conduit à l'émergence d'une nouvelle culture mixte en Armorique. Les habitants de cette province sont devenus Bretons.;;;;;;;;;;x
EVTOPTA_CELT_1100;Let us embrace these new ways.;Adoptons ces nouvelles manières.;;;;;;;;;;x
EVTOPTB_CELT_1100;Excellent!;Excellent!;;;;;;;;;;x
EVTOPTC_CELT_1100;Peasant matters are not worth my time.;Les affaires paysannes ne méritent pas mon temps.;;;;;;;;;;x
# New melting pots
WtWSMS_pots.4.name;Spread of Christianity;Propagation de la Chrétienté;;;;;;;;;;x
WtWSMS_pots.4.desc;With our recent acquisition of the Christian lands of [Root.GetName] this monotheistic faith has started to gain traction amongst the warrior elite we brought with us. Its powerful message of the one Christian God as opposed to our many gods of old and important status as majority faith in these lands means conversion could work out in our favour, although it would come at the cost of abandoning our old gods.;Depuis notre acquisition récente des terres chrétiennes de [Root.GetName], cette religion monothéiste a commencé à gagner du terrain au sein de l'élite guerrière que nous avons apporté lors de notre arrivée. Son message puissant de l'unique Dieu chrétien plutôt que nos nombreux dieux anciens et son statut important en tant que religion de la majorité à travers ces territoires signifie qu'une conversion pourrait jouer en notre faveur, mais en même temps cela nous forcerait d'abandonner nos anciens dieux.;;;;;;;;;;x
WtWSMS_pots.4.a;The times are changing...;Les temps changent...;;;;;;;;;;x
WtWSMS_pots.5.desc;Your liege, [Root.Liege.GetTitledFirstName], has not yet understood the message offered by the one true Christian God. This divergence between you and [Root.Liege.GetHerHim] means that there is some tension in your relationship. If you could convince [Root.Liege.GetTitledFirstName] to convert and become [Root.Religion.GetName], it would both advantage you in the eyes of the faithful and give you more influence in the realm as an already powerful vassal, although if [Root.Liege.GetHerHim] were to refuse a conversion it wouldn't necessarily benefit your position.;Votre suzerain, [Root.Liege.GetTitledFirstName], n'a pas encore compris le message offert par le seul vrai Dieu chrétien. Cette divergence entre vous et [Root.Liege.GetHerHim] signifie qu'il y a une certaine tension entre vous. Si vous pouviez convaincre [Root.Liege.GetTitledFirstName] de convertir et de devenir [Root.Religion.GetName], cela vous aiderait à la fois aux yeux des fidèles et vous donnerait plus d'influence dans le royaume en tant que vassal déjà puissant, mais si [Root.Liege.GetHerHim] refuserait une conversion, cela ne profiterait pas nécessairement à votre position.;;;;;;;;;;x
WtWSMS_pots.5.a;I will make an attempt at converting [Root.Liege.GetBestName].;Je vais essayer de convertir [Root.Liege.GetBestName].;;;;;;;;;;x
WtWSMS_pots.5.b;It is not worth the risk.;Le risque n'en vaut pas la peine.;;;;;;;;;;x
WtWSMS_pots.6.desc;At a well-chosen occasion, your [From.Religion.GetName] vassal, [From.GetTitledFirstName], stepped forward towards and praised the virtues of [From.Religion.GetName], suggesting you should convert and implying it wouldn't only give you a better after-live, but also be appreciated amongst the [From.Religion.GetName] of the realm.;A une occasion bien choisie, votre vassal, [From.GetTitledFirstName], a fait un pas en avant et a loué les vertus de [From.Religion.GetName], suggérant que vous devriez vous convertir et insinuant que cela vous donnerait non seulement une meilleure vie après la mort, mais serait également apprécié parmi les [From.Religion.GetName] du royaume.;;;;;;;;;;x 
WtWSMS_pots.6.a;Let us embrace the gospel of [From.GetHighGodName]!;Embrassons l'évangile de [From.GetHighGodName] !;;;;;;;;;;x
WtWSMS_pots.6.b;I will consider it.;Je vais y réfléchir.;;;;;;;;;;x
