#EVENTS;;;;;;;;;;;;;;x
VIETmisc.2016.desc;A new cosmetic popular among the noblewomen is made using the egg yolk of from quail eggs instead of the usual chicken eggs. But quail eggs are a rare luxury much more suited for gourmet food. Are these women truly vain?;Un nouveau cosmétique populaire parmi les femmes nobles est fait en utilisant le jaune d'oeuf des oeufs de caille au lieu des oeufs de poule habituels. Mais les oeufs de caille sont un luxe rare, beaucoup plus adapté à la gastronomie. Ces femmes sont-elles vraiment vaines ?;;;;;;;;;;x
VIETmisc.2016.a;A useless product!;Un produit inutile !;;;;;;;;;;;;x
VIETmisc.2165.a;[Root.Religion.GetRandomGodName] must be smiling down on me.;[Root.Religion.GetRandomGodName] doit me sourire.;;;;;;;;;;;;x
VIETmisc.2166.desc;I've found an ancient [Root.Religion.GetName] text, discussing various details about our world, some of which I did not know before. For instance, the first time one has intercourse with one's sibling, as part of a divine marriage, one thousand demons and two thousand sorcerers and witches die! Simply amazing.;J'ai trouvé un ancien texte [Root.Religion.GetName], qui discute de divers détails sur notre monde, dont certains que je ne connaissais pas auparavant. Par exemple, la première fois que l'on a des rapports sexuels avec son frère ou sa sœur, dans le cadre d'un mariage divin, mille démons et deux mille sorciers et sorcières meurent ! Tout simplement incroyable.;;;;;;;;;;x
VIETmisc.2166.a;If more siblings loved one another, we could solve all the world's problems.;Si plus de frères et soeurs s'aimaient, nous pourrions résoudre tous les problèmes du monde.;;;;;;;;;;;;x
VIETmisc.2167.desc;I have heard that Zoroaster himself expressed doubts about whether sacred marriage between family members was a good thing. When I hear that, I strangely feel comforted, as I have sometimes had similar doubts about such practices. But I know in the end the truth can sometimes be scary and confusing. ;J'ai entendu dire que Zoroastre lui-même a exprimé des doutes quant à savoir si le mariage sacré entre membres de la famille était une bonne chose. Quand j'entends cela, je me sens étrangement réconforté, car j'ai parfois eu des doutes similaires sur de telles pratiques. Mais je sais qu'à la fin, la vérité peut parfois être effrayante et déroutante.;;;;;;;;;;x
VIETmisc.2167.a;Better to know the truth than live a life of lies after all.;Mieux vaut connaître la vérité que de vivre une vie de mensonges après tout.;;;;;;;;;;;;x
VIETmisc.2168.desc;I passionately yet gently move my body against that of my sibling and consort. The pleasure we feel, as we become one, is heightened by the knowledge that we are doing good things in the name of [Root.Religion.GetRandomGodName] and fighting the evil of [Root.Religion.GetRandomEvilGodName].;Je bouge passionnément mais doucement mon corps contre celui de ma fratrie et de mon époux. Le plaisir que nous ressentons, au fur et à mesure que nous devenons un, est renforcé par la conscience que nous faisons de bonnes choses au nom de [Root.Religion.GetRandomGodName] et que nous luttons contre le mal de [Root.Religion.GetRandomEvilGodName].;;;;;;;;;;x
VIETmisc.2168.a;Our love is powerful!;Notre amour est surpuissant !;;;;;;;;;;;;x
VIETmisc.2169.desc;After another round of lovemaking with my sibling and consort, I feel as if I'm closer to [Root.Religion.GetRandomGodName] and the entirety of the universe. It's a humbling feeling.;Après une autre série d'amour avec ma sœur et mon amant, j'ai l'impression d'être plus proche de [Root.Religion.GetRandomGodName] et de l'univers tout entier. C'est un sentiment d'humilité.;;;;;;;;;;x
VIETmisc.2169.a;There is a reason why our marriage is sacred, after all.;Il y a une raison pour laquelle notre mariage est sacré, après tout.;;;;;;;;;;;;x
VIETmisc.2170.desc;Tonight, I go to bed together with my sibling once more. I hesitate, as I sometimes do, as our faces near, and we kiss. But our union, no matter how uneasy it makes us, is something wonderful and sacred, that will not be destroyed by the hate and evil.;Ce soir, je vais encore me coucher avec mon frère/ma soeur. J'hésite, comme je le fais parfois, alors que nos visages se rapprochent, et nous nous embrassons. Mais notre union, même si elle nous rend mal à l'aise, est quelque chose de merveilleux et de sacré, qui ne sera pas détruit par la haine et le mal.;;;;;;;;;;x
VIETmisc.2170.a;I love you, my sister.;Je t'aime, ma soeur.;;;;;;;;;;;;x
VIETmisc.2170.b;I love you, my brother.;Je t'aime, mon frère.;;;;;;;;;;;;x
VIETmisc.2171.desc;My marriage to my beloved sibling isn't always easy. Sometimes I wonder whether it was worth it. But truthfully, I think this is simply a test by [Root.Religion.GetRandomGodName]. My holy union with my sibling is a recreation of paradise - who said it would be easy?;Mon mariage avec ma sœur bien-aimée n'est pas toujours facile. Parfois, je me demande si ça en valait la peine. Mais honnêtement, je pense que c'est simplement un test de [Root.Religion.GetRandomGodName]. Mon union sainte avec mes frères et soeurs est une récréation paradisiaque - qui a dit que ce serait facile ?;;;;;;;;;;x
VIETmisc.2171.a;It can be paradise in other ways as well.;Ça peut être le paradis d'une autre façon aussi.;;;;;;;;;;;;x
VIETmisc.2172.desc;Some people think xwedodah, the sacred marriage, can also apply to cousins. One such courtier of mine expressed support for such a view. While these cousin unions might not be as beneficial as a union between brother and sister, or parent and child, the courtier argues they too have their own merits, please [Root.Religion.GetRandomGodName], and fulfill the requirements for xwedodah.;Certains pensent que la xwedodah, le mariage sacré, peut aussi s'appliquer aux cousins. Un de mes courtisans s'est dit favorable à un tel point de vue. Bien que ces unions de cousins ne soient pas aussi bénéfiques qu'une union entre frère et sœur, ou parent et enfant, le courtisan prétend qu'ils ont eux aussi leurs propres mérites, s'il vous plaît [Root.Religion.GetRandomGodName], et remplissez les conditions pour la xwedodah.;;;;;;;;;;x
VIETmisc.2172.a;I'm not against it… the arguments are sound.;Je ne suis pas contre... les arguments sont solides.;;;;;;;;;;;;x
VIETmisc.2172.b;Heresy! Cousins aren’t close enough. The closer the relations the better!;Hérésie ! Les cousins ne sont pas assez proches. Plus les relations sont étroites, mieux c'est !;;;;;;;;;;;;x
VIETmisc.2173.desc;What would the best type of sacred union be? Which family member would make the best spouse?;Quel serait le meilleur type d'union sacrée ? Quel membre de la famille ferait le meilleur conjoint ?;;;;;;;;;;x
VIETmisc.2173.a;Parent;Parent;;;;;;;;;;;;x
VIETmisc.2173.b;Sibling;Frère ou soeur;;;;;;;;;;;;x
VIETmisc.2173.c;Child;Enfant;;;;;;;;;;;;x
VIETmisc.2174.desc;Some within the [Root.Religion.GetName] faith argue there are circumstances when it is acceptable to abandon a sacred marriage between two family members. For instance, if a man was impotent and could not produce offspring with his sister, than it is acceptable to give her away to a good [Root.Religion.GetName] man so that more good [Root.Religion.GetName]s can be born.;Certains membres de la foi [Root.Religion.GetName] affirment qu'il y a des circonstances où il est acceptable d'abandonner un mariage sacré entre deux membres de la famille. Par exemple, si un homme était impuissant et ne pouvait pas produire une progéniture avec sa soeur, alors il est acceptable de la donner à un bon [Root.Religion.GetName] pour que plus de [Root.Religion.GetName]s puisse naître.;;;;;;;;;;x
VIETmisc.2174.a;This is true. We have to be flexible and sensible with our beliefs.;C'est la vérité. Nous devons être flexibles et sensibles à nos croyances.;;;;;;;;;;;;x
VIETmisc.2174.b;Lies! To end a sacred marriage is a heinous crime!;Mensonges ! Mettre fin à un mariage sacré est un crime odieux !;;;;;;;;;;;;x
VIETmisc.2175.desc;Another foreigner visiting my court wishes to argue against our sacred tradition of marriage between close kin. This fellow is cleverer than most, however, and he mentions supposed legal issues with these marriages. Who is heir? How would an estate be divided? What would be the proper way to address someone in such and such a situation? And such things.;Un autre étranger qui visite ma cour souhaite s'opposer à notre tradition sacrée de mariage entre proches parents. Ce type est plus malin que la plupart des gens, cependant, et il mentionne des problèmes juridiques supposés avec ces mariages. Qui est l'héritier? Comment une succession serait-elle divisée ? Quelle serait la bonne façon de s'adresser à quelqu'un dans une telle situation? Et ce genre de choses.;;;;;;;;;;x
VIETmisc.2175.a;What matters is that we honor [Root.Religion.GetRandomGodName].;Ce qui importe, c'est que nous honorons [Root.Religion.GetRandomGodName].;;;;;;;;;;;;x
VIETmisc.2175.b;You do raise good points...;Vous soulevez de bons points...;;;;;;;;;;;;x
VIETmisc.2175.c;According to the legal commentaries written by…;Selon les commentaires juridiques écrits par...;;;;;;;;;;;;x
VIET_foreigner_impressed_incest_arguments;The foreigner is impressed with the legal arguments I have presented. He asks for a copy of the commentaries I referred to. Maybe he’ll convert to our faith one day. Maybe. Then he shall know the glory and pleasure our sacred marriages bring.;L'étranger est impressionné par les arguments juridiques que j'ai présentés. Il demande une copie des commentaires que j'ai mentionnés. Peut-être qu'il se convertira un jour à notre foi. Peut-être. Alors il connaîtra la gloire et le plaisir de nos mariages sacrés.;;;;;;;;;;x
VIETmisc.2176.desc;I dreamt of a world where brothers could marry sisters. Where sons could become closer to their mothers, and thus their place of origin. Where fathers could make love to their daughters. Where the sacred marriages of the [Root.Religion.GetName] faith were widespread, accepted, and encouraged, where righteousness and justice were everywhere as a result. Then, I woke up.;Je rêvais d'un monde où les frères pourraient épouser des sœurs. Où les fils pourraient se rapprocher de leur mère, et donc de leur lieu d'origine. Où les pères pouvaient faire l'amour à leurs filles. Là où les mariages sacrés de la foi [Root.Religion.GetName] étaient répandus, acceptés et encouragés, où la justice et la vertu étaient partout en conséquence. Puis, je me suis réveillé.;;;;;;;;;;x
VIETmisc.2176.a;I hope one day my dream will come true.;J'espère qu'un jour mon rêve se réalisera.;;;;;;;;;;;;x
VIETmisc.2177.desc;Usually when travelers from faraway lands learn about our [Root.Religion.GetName] custom of sacred marriage between close kin, they show a range of negative emotions such as disgust or anger. This foreigner, whom I met today, is different. He seems politely curious, respectful even, and strangely open-minded as I explained things.;Habituellement, lorsque des voyageurs de pays lointains découvrent notre coutume [Root.Religion.GetName] de mariage sacré entre proches parents, ils manifestent toute une gamme d'émotions négatives telles que le dégoût ou la colère. Cet étranger, que j'ai rencontré aujourd'hui, est différent. Il a l'air poliment curieux, respectueux même, et étrangement ouvert d'esprit pendant que j'expliquais les choses.;;;;;;;;;;x
VIETmisc.2177.a;It's good to meet open-minded people.;C'est bon de rencontrer des gens ouverts d'esprit.;;;;;;;;;;;;x
VIETmisc.2178.desc;I've been thinking about how in different parts of the world, people have different customs. For instance, many regions do not allow for siblings to marry. We might think of such behavior as strange, irrational, and even repulsive, but to them, it's normal. It's strange how people can differ so much!;J'ai réfléchi à la façon dont, dans différentes parties du monde, les gens ont des coutumes différentes. Par exemple, de nombreuses régions n'autorisent pas les frères et sœurs à se marier. Nous pourrions penser que de tels comportements sont étranges, irrationnels et même répugnants, mais pour eux, c'est normal. C'est étrange comme les gens peuvent être si différents !;;;;;;;;;;x
VIETmisc.2178.a;Marriage with kin, however, is good. This is an uncontested, absolute truth.;Le mariage avec un parent, cependant, est bon. C'est une vérité incontestée et absolue.;;;;;;;;;;;;x
VIETmisc.2178.b;The more we understand others, the easier it will be to coexist.;Plus nous comprenons les autres, plus il sera facile de coexister.;;;;;;;;;;;;x
VIETmisc.2179.desc;While walking around your palace, you hear two of your children playing. Your son is being pestered by his sister, who proclaims, "Brother, let's get married, married, married, married, married...";En vous promenant dans votre palais, vous entendez deux de vos enfants jouer. Votre fils est harcelé par sa soeur qui proclame : "Frère, marions-nous, marions-nous, marions-nous, marions-nous, marions-nous, marions-nous...";;;;;;;;;;x
VIETmisc.2179.a;Adorable.;Adorable.;;;;;;;;;;;;x
VIETmisc.2179.b;They'll eventually grow out of that phase.;Ils finiront par sortir de cette phase.;;;;;;;;;;;;x
VIETmisc.2179.c;[Root.Religion.GetRandomGodName] would be proud!;[Root.Religion.GetRandomGodName] serait fier !;;;;;;;;;;;;x
VIETmisc.2180.desc;You have a servant you've known for a while. You respect him greatly for he is kind, humble, and friendly. He is a good [Root.Religion.GetName] who married his sister. Lately, however, rumors abound that he has been reluctant to consummate his marriage with his sister. He also doesn’t seem to be himself. You decide you must help him, lest his soul falls into the clutches of [Root.Religion.GetRandomEvilGodName].;Vous avez un serviteur que vous connaissez depuis longtemps. Vous le respectez beaucoup parce qu'il est gentil, humble et amical. C'est un bon [Root.Religion.GetName] qui a épousé sa sœur. Récemment, cependant, les rumeurs abondent qu'il a été réticent à consommer son mariage avec sa sœur. Il ne semble pas non plus être lui-même. Vous décidez que vous devez l'aider, de peur que son âme ne tombe dans les griffes de [Root.Religion.GetRandomEvilGodName].;;;;;;;;;;x
VIETmisc.2180.a;It's time to stage an intervention!;Il est temps de faire une intervention !;;;;;;;;;;;;x
VIETmisc.2181.tooltip;You and several others get together and figure out how to best carry out your plan.;Vous et plusieurs autres personnes vous réunissez et réfléchissez ensemble à la meilleure façon de réaliser votre plan.;;;;;;;;;;x
VIETmisc.2181.name;Let's Talk;Parlons;;;;;;;;;;x
VIETmisc.2181.desc;As planned, you approach your servant one day. You pretend that you want to talk to him about something. He does not suspect a thing as you lead him into a quiet room in your palace. Once he’s inside, he sees everyone else - friends and some other fellow servants - standing and sitting around. “Uncle? Dad? Wait - you, you’re that friend of mine I haven’t seen in…”\n\n“Please,” you tell him, as someone closes the door, “Have a seat.” ;Comme prévu, vous approchez un jour votre serviteur. Vous prétendez vouloir lui parler de quelque chose. Il ne soupçonne rien, car vous le conduisez dans une pièce tranquille de votre palais. Une fois à l'intérieur, il voit tout le monde - amis et autres compagnons de service - debout et assis. "Oncle ? Père ? Attends - Vous, vous êtes mon ami que je n'ai plus vu..."\n\n"S'il te plaît," vous lui dites, quand quelqu'un ferme la porte, "Asseyez-vous.";;;;;;;;;;x
VIETmisc.2181.a;“We want to talk to you about something serious.”;"On veut parler de quelque chose de sérieux.";;;;;;;;;;;;x
VIETmisc.2182.tooltip;He cautiously sits down and asks, “What’s going on?”;Il s'assoit prudemment et demande:"Que se passe-t-il ?";;;;;;;;;;x
VIETmisc.2182.name;Here to Help;Nous sommes ici pour aider;;;;;;;;;;x
VIETmisc.2182.desc;“It isn’t easy talking about this, because we know you might be going through some tough times,” you begin, “but we want you to know we’re here for you. We care about you.”\n\nThen, you all begin telling him your worries concerning his relationship with his sister. "We are worried that [Root.Religion.GetRandomEvilGodName] could be deceiving your soul!" someone might say. “This is your decision, of course, but we want you to hear our opinions first,” someone else might say.;Ce n'est pas facile d'en parler, car nous savons que vous traversez peut-être des moments difficiles," commencez vous, "mais nous voulons que vous sachiez que nous sommes là pour vous. On tient à vous."\n\nAlors, vous commencez tous à lui dire vos soucis concernant sa relation avec sa sœur. "Nous craignons que [Root.Religion.GetRandomEvilGodName] ne trompe votre âme !" quelqu'un pourrait dire ceci. "C'est votre décision, bien sûr, mais nous voulons que vous entendiez d'abord nos opinions", pourrait-on dire.;;;;;;;;;;x
VIETmisc.2182.a;Though silent, he listens attentively.;Bien que silencieux, il écoute attentivement.;;;;;;;;;;;;x
VIETmisc.2183.tooltip;The atmosphere is tense and emotional.;L'atmosphère est tendue et émotionnelle.;;;;;;;;;;x
VIETmisc.2183.desc;At last, when everyone has earnestly made their concerns clear, your servant begins crying. He admits it has been difficult, trying to consummate the marriage with his sister, but he greatly appreciates everyone's support. He promises to try his best, and the rest of you promise in return to help him whatever way you can.;Enfin, quand tout le monde a exprimé clairement ses inquiétudes, votre serviteur commence à pleurer. Il admet que cela a été difficile, essayant de consommer le mariage avec sa soeur, mais il apprécie grandement le soutien de tout le monde. Il promet de faire de son mieux, et le reste d'entre vous promet en retour de l'aider de toutes les façons possibles.;;;;;;;;;;x
VIETmisc.2183.a;Together, we can overcome [Root.Religion.GetRandomEvilGodName]’s web of deceit.;Ensemble, nous pouvons vaincre la toile de tromperie de [Root.Religion.GetRandomEvilGodName].;;;;;;;;;;;;x
VIETmisc.2184.desc;Every time I make love to my sibling, I use it as an opportunity to understand [Root.Religion.GetRandomGodName] and the universe better - after all, our sacred marriage is divine. However, lately my sibling claims my overly religious attitude is preventing us from being able to pleasure one another properly.;Chaque fois que je fais l'amour avec mon frère/ma soeur, je m'en sers pour mieux comprendre [Root.Religion.GetRandomGodName] et l'univers - après tout, notre mariage sacré est divin. Cependant, dernièrement, mon frère/ma soeur prétend que mon attitude trop religieuse nous empêche de nous faire plaisir.;;;;;;;;;;x
VIETmisc.2184.a;How can we do this without understanding its spiritual basis?;Comment pouvons-nous y parvenir sans comprendre son fondement spirituel ?;;;;;;;;;;;;x
VIETmisc.2184.b;I'm sorry! I should be more considerate.;Je suis désolé ! Je devrais être plus prévenant.;;;;;;;;;;;;x
VIETmisc.2185.desc;[Root.Religion.GetName]s who live in foreign lands ruled by infidels often have to deny that they practice of encourage sacred marriages between siblings, or between a parent and child. When asked by the authorities, they feign ignorance, saying such rumors are slanderous lies. If I were in their situation, would I pretend to loathe the sacred marriage as well? Or would I tell the truth?;Les gens qui vivent dans des pays étrangers gouvernés par des infidèles doivent souvent nier qu'ils pratiquent des mariages sacrés entre frères et sœurs, ou entre un parent et un enfant. Interrogés par les autorités, ils feignent l'ignorance en disant que de telles rumeurs sont des mensonges calomnieux. Si j'étais dans leur situation, ferais-je aussi semblant de détester le mariage sacré ? Ou je dirais la vérité ?;;;;;;;;;;x
VIETmisc.2185.a;Even if it costs my life, I will defend the truth!;Même si ça me coûte la vie, je défendrai la vérité !;;;;;;;;;;;;x
VIETmisc.2185.b;Lying is necessary if I am to survive in hostile lands.;Mentir est nécessaire si je veux survivre dans des pays hostiles.;;;;;;;;;;;;x
VIETmisc.2186.desc;Night falls, and I retreat to my bedroom with my sibling and spouse. I kiss them gently on the forehead, while embracing them, before we fall down together on our bed. It is time to please [Root.Religion.GetRandomGodName], once more, to consummate our sacred union, once more.;La nuit tombe et je me retire dans ma chambre avec ma sœur et ma conjointe. Je l'embrasse doucement sur le front, tout en l'embrassant, avant de tomber ensemble sur notre lit. Il est temps de plaire à [Root.Religion.GetRandomGodName], encore une fois, de consommer notre union sacrée.;;;;;;;;;;x
VIETmisc.2186.a;The night is still young.;La nuit ne fait que commencer.;;;;;;;;;;;;x
VIETmisc.2187.desc;One of my courtiers had always been troubled by evil spirits, even possessed by them, some say. However, recently, these problems have vanished. Many are attributing this miracle of miracles to my divine marriage with my sibling, for such marriages between close kin undoubtedly bring fear and terror into the hearts of demons, after all, and even kill them.;Un de mes courtisans avait toujours été troublé par les mauvais esprits, même possédés par eux, disent certains. Toutefois, ces problèmes ont récemment disparu. Beaucoup attribuent ce miracle des miracles à mon mariage divin avec mon frères/ ma soeurs, car de tels mariages entre proches parents apportent sans aucun doute la peur et la terreur dans le cœur des démons, après tout, et les tuent même.;;;;;;;;;;x
VIETmisc.2187.a;Glory to [Root.Religion.GetRandomGodName]!;Gloire à [Root.Religion.GetRandomGodName] !;;;;;;;;;;;;x
VIETmisc.2188.desc;A courtier of mine is known for his skilled and articulate defense of our [Root.Religion.GetName] faith. He particularly is passionate about defending our practice of divine marriage between siblings and parents and their children. That said, he seems almost obsessed with defending this practice.;Un de mes courtisans est connu pour sa défense habile et articulée de notre foi [Root.Religion.GetName].  Il est particulièrement passionné par la défense de notre pratique du mariage divin entre frères et sœurs, parents et enfants. Cela dit, il semble presque obsédé par la défense de cette pratique.;;;;;;;;;;x
VIETmisc.2188.a;His fascination with incest is strange, even disturbing.;Sa fascination pour l'inceste est étrange, voire dérangeante.;;;;;;;;;;;;x
VIETmisc.2189.desc;I have heard sad news from one of the provinces of my realm. An influential, local [Root.Religion.GetName] nobleman has converted to another faith. He was once a good believer who married his sister in accordance with our holy laws. Arrogant and foolish, he is now disgusted for some reason with his sister, and refuses to sleep with her any longer. He has even given her away in marriage.;J'ai entendu de tristes nouvelles d'une des provinces de mon royaume. Un noble [Root.Religion.GetName] influent et local s'est converti à une autre foi. Il était autrefois un bon croyant qui a épousé sa soeur conformément à nos saintes lois. Arrogant et stupide, il est maintenant dégoûté pour une raison quelconque avec sa soeur, et refuse de coucher avec elle. Il l'a même donnée en mariage.;;;;;;;;;;x
VIETmisc.2189.a;A victory for [Root.Religion.GetRandomEvilGodName]! This is terrible!;Une victoire pour [Root.Religion.GetRandomEvilGodName] ! C'est horrible !;;;;;;;;;;;;x
VIETmisc.2190.desc;A local noblewoman who married her brother in a sacred [Root.Religion.GetName] marriage has accused him of not performing his duty as her brother-husband as he refuses to bed her. The evidence seems to be against him, and, if true, means that whatever merit he would've accumulated from the sacred marriage in the first place would now be sin. She is appealing to you for judgment.;Une noble [Root.Religion.GetName] locale qui a épousé son frère dans un mariage sacré l' a accusé de ne pas remplir son devoir de frère-mari comme il refuse de coucher avec elle. Les preuves semblent être contre lui et, si c'est vrai, cela signifie que quel que soit le mérite qu'il aurait accumulé du mariage sacré en premier lieu, il s'agirait maintenant en pêcheur. Elle fait appel à vous pour que vous portiez un jugement.;;;;;;;;;;x
VIETmisc.2190.a;He will consummate his marriage with his sister, or face punishment!;Il consommera son mariage avec sa sœur, ou il sera puni !;;;;;;;;;;;;x
VIETmisc.2190.b;I'm not here to give marriage advice. This is their problem.;Je ne suis pas ici pour donner des conseils sur le mariage. C'est leur problème.;;;;;;;;;;;;x
VIETmisc.2191.desc;I have talked with some merchants recently, men who have traveled far and have contacts in the great [offmap_china.GetName] to the east. They have told me that there, in this civilized land, the people think we [Root.Religion.GetName] [Root.Culture.GetName]s are lewd barbarians for we fornicate with our siblings and parents and children. How strange, that a civilized people could hold such a barbaric viewpoint!;J'ai parlé récemment avec des commerçants, des hommes qui ont voyagé loin et qui ont des contacts dans le grand empire chinois à l'est. Ils m'ont dit que là, dans ce pays civilisé, les gens pensent que nous, les [Root.Culture.GetName]s [Root.Religion.GetName] sommes des barbares obscènes parce que nous forniquons avec nos frères et soeurs, parents et enfants. C'est étrange qu'un peuple civilisé puisse tenir un tel point de vue barbare !;;;;;;;;;;x
VIETmisc.2191.a;Only barbarians refuse to sleep with their siblings, parents, or children.;Seuls les barbares refusent de coucher avec leurs frères et soeurs, leurs parents ou leurs enfants.;;;;;;;;;;;;x
VIETmisc.2192.desc;After a large meal such as the one I hosted today it is typical to the give the trenchers - stale bread used as plates - as alms to the poor. One of my courtiers suggested I do this directly myself to display my virtue to all, instead of having my servants do it.;Après un grand repas comme celui que j'ai organisé aujourd'hui, il est typique de donner aux pauvres des tranchées - du pain rassis servant d'assiettes - en aumône. Un de mes courtisans m'a suggéré de le faire moi-même pour montrer ma vertu à tous, au lieu que mes serviteurs le fassent.;;;;;;;;;;x
VIETmisc.2192.a; A splendid idea! Everyone will know me as generous.;Une excellente idée ! Tout le monde me connaîtra comme généreux.;;;;;;;;;;;;x
VIETmisc.2192.b;I won't go near that filthy scum!;Je ne m'approcherai pas de cette ordure !;;;;;;;;;;;;x
VIETmisc.2192.c;I must meet and  help the poor beggars to understand their plight.;Je dois rencontrer et aider les pauvres mendiants à comprendre leur situation.;;;;;;;;;;;;x
VIETmisc.2193.desc;People say I am generally in unusually excellent health. I asked a learned monk how this could be the case. After asking me many questions, some strange, about my diet and lifestyle, he concluded my good health is due to the fact that I enjoy eating bread crusts.;Les gens disent que je suis généralement en excellente santé. J'ai demandé à un moine savant comment cela pouvait être le cas. Après m'avoir posé de nombreuses questions, parfois étranges, sur mon alimentation et mon mode de vie, il a conclu que ma bonne santé est due au fait que j'aime manger des croûtes de pain.;;;;;;;;;;x
VIETmisc.2193.a;I see! I will continue enjoying them then!;Je vois ! Je continuerai donc à les apprécier !;;;;;;;;;;;;x
VIETmisc.2194.desc;I haven't been feeling well lately, probably due to my poor health. My stomach especially has been feeling uneasy. My physicians recommend I eat some hardtack daily for a few weeks instead of bread to alleviate my problems, as it will help with digestion. Perhaps I will have to stock up on a large amount.;Je ne me sens pas bien ces derniers temps, probablement à cause de ma mauvaise santé. Mon estomac en particulier est désagréable. Mon physicien me recommande de manger des biscuits de mer tous les jours pendant quelques semaines au lieu du pain pour soulager mes problèmes, car cela aidera à la digestion. Je vais peut-être devoir faire des réserves importantes.;;;;;;;;;;x
VIETmisc.2194.a;I don't like the taste but I have no choice.;Je n'aime pas le goût, mais je n'ai pas le choix.;;;;;;;;;;;;x
VIETmisc.2194.b;Why would I ever eat those disgusting bland things?;Pourquoi je mangerais ces choses fades et dégoûtantes ?;;;;;;;;;;;;x
VIETmisc.2194.c;I'm pretty used to eating these with my troops, so I can do this.;J'ai l'habitude de manger ça avec mes troupes, alors je peux le faire.;;;;;;;;;;;;x
VIETmisc.2195.desc;I know everyone wonders why I always prefer to eat sangak - traditional Iranian flatbread - instead of other breads. But being a military man all my life, how can I not enjoy eating the traditional bread of the Iranian armies?;Je sais que tout le monde se demande pourquoi je préfère toujours manger du sangak - le pain plat traditionnel iranien - plutôt que d'autres pains. Mais étant militaire toute ma vie, comment ne pas aimer manger le pain traditionnel des armées iraniennes ?;;;;;;;;;;x
VIETmisc.2195.a;It's a soldier's life for me.;C'est une vie de soldat pour moi.;;;;;;;;;;;;x
VIETmisc.2196.desc;You pass by the village just in time to see the local baker punished by the local authorities for constantly cheating his customers. He is dragged around on a sleigh with the offending loaf of bread tied around his neck.;Vous passez dans le village juste à temps pour voir le boulanger local puni par les autorités locales pour avoir constamment trompé ses clients. Il est traîné sur un traîneau avec une miche de pain autour du cou.;;;;;;;;;;x
VIETmisc.2196.a;Huh. How curious.;Hum. Comme c'est curieux.;;;;;;;;;;;;x
VIETmisc.2197.desc;You notice one of your courtiers feeding the birds out in your garden, throwing some bread crumbs to the ground for the creatures.;Vous remarquez qu'un de vos courtisans nourrit les oiseaux dans votre jardin, jetant des miettes de pain sur le sol pour les créatures.;;;;;;;;;;x
VIETmisc.2197.a;Can I join in?;Je peux participer ?;;;;;;;;;;;;x
VIETmisc.2197.b;It’s of no interest to me.;Ça ne m'intéresse pas.;;;;;;;;;;;;x
VIETmisc.2198.desc;I came across an old book on food from across the world. Most of it was damaged save for one section that discussed bread. There are so many types of breads, that can be cooked in a variety of ways. This information is really useful, and I see many applications for it - what bread is best used on military marches, for instance, or what types go with what food at feasts.;J'ai trouvé un vieux livre sur la nourriture du monde entier. La plus grande partie a été endommagée, sauf une section qui parlait du pain. Il y a tellement de pains qui peuvent être cuisinés de différentes façons. Cette information est vraiment utile, et je vois de nombreuses applications - quel pain est le mieux utilisé pour les marches militaires, par exemple, ou quels types vont avec quel type de nourriture lors des fêtes.;;;;;;;;;;x
VIETmisc.2198.a;I’m glad I found out about this.;Je suis content d'avoir appris ça.;;;;;;;;;;;;x
VIETmisc.2199.desc;The young, attractive, shapely vendor offers you a taste of her big melonpan. They look so round, so cushiony, so creamy and beautiful. What man wouldn’t want something so tempting?;La jeune et séduisante vendeuse vous offre un avant-goût de son grand pain melon. Ils ont l'air si ronds, si coussinés, si onctueux et si beaux. Quel homme ne voudrait pas de quelque chose d'aussi tentant ?;;;;;;;;;;x
VIETmisc.2199.a;I’ll buy some! Japanese sweet buns!;J'en achèterai ! Des bonbons japonais !;;;;;;;;;;;;x
VIETmisc.2199.b;Not interested.;Pas intéressé.;;;;;;;;;;;;x
VIETmisc.2199.c;Oh, you meant that kind of melonpan… the bread, I mean, haha...;Oh, tu voulais dire ce genre de pain melon... le pain, je veux dire, haha...;;;;;;;;;;;;x
VIETmisc.2200.desc;A local confectioner has developed a special new candy, which he calls “candy apples.” These apples are covered in an entire layer of hard sugar, and people say they are quite a tasty treat! The confectioner has given you some samples, free of charge.;Un confiseur local a mis au point un nouveau bonbon spécial, qu'il appelle "pommes de bonbons". Ces pommes sont recouvertes d'une couche entière de sucre dur, et les gens disent qu'elles sont un régal! Le confiseur vous a donné des échantillons gratuits.;;;;;;;;;;x
VIETmisc.2200.a;Yes, thanks!;Oui, merci !;;;;;;;;;;;;x
VIETmisc.2201.desc;With the Aztec invasions, pumpkins have been introduced as a food crop. This year, some creative peasants have figured out something to do with pumpkins after they extract the edible part inside - carve faces on them. These carved pumpkins are both amusing yet frightening all the while.;Avec les invasions aztèques, les citrouilles ont été introduites comme culture vivrière. Cette année, quelques paysans créatifs ont trouvé quelque chose à voir avec les citrouilles après qu'ils aient extrait la partie comestible de l'intérieur - en leur sculptant des visages. Ces citrouilles sculptées sont à la fois amusantes et effrayantes.;;;;;;;;;;x
VIETmisc.2201.a;Ha! I like them.;Ha ! Je les aime.;;;;;;;;;;;;x
VIETmisc.2201.b;What a stupid thing to do.;Quelle chose stupide à faire.;;;;;;;;;;;;x
