#West African Stuff ;;;;;;;;;;;;;;x
EVTNAME1000109211;The Rise of the Songhai Empire;L'essor de l'empire Songhai;;;;;;;;;;;;x
wafrica.102.desc;You immediately recognize the mischievously ominous melody your griot plays. It seems like your griot is telling a story with Koi-Koi the Fake, an enemy of Ali-Ali the perverted sorcerer. Unlike Ali-Ali, a paragon of justice, Koi-Koi is a fraud, a scam, a cheat, who admits to lying about his abilities as a sorcerer... but then again, Koi-Koi could be lying about lying about his abilities, and he could be much more powerful than he looks. Who knows?\n\nNevertheless, he is a popular character, charismatic and sympathetic despite his morally dubious nature, and many of your female courtiers have even claimed they prefer husbands like him! Even you have to admit you enjoy a story from Koi-Koi's cynical, rational point of view.;Vous reconnaissez immédiatement la mélodie malicieuse et sinistre de votre griot. Il semble que votre griot raconte une histoire avec Koi-Koi le faux, un ennemi d'Ali-Ali le sorcier pervers. Contrairement à Ali-Ali, un modèle de justice, Koi-Koi est une fraude, une arnaque, un tricheur, qui admet avoir menti sur ses capacités de sorcier... mais encore une fois, Koi-Koi pourrait mentir sur ses capacités, et il pourrait être beaucoup plus puissant qu'il n'en a l'air. Qui sait ?\n\nNéanmoins, c'est un personnage populaire, charismatique et sympathique malgré sa nature moralement douteuse, et beaucoup de vos courtisanes ont même prétendu préférer des maris comme lui ! Même vous devez admettre que vous appréciez une histoire du point de vue cynique et rationnel de Koi-Koi.;;;;;;;;;;;;x
wafrica.102.a;I still prefer the lusty, comical, but just and noble Ali-Ali, however.;Je préfère toujours la luxuriante, comique, mais juste et noble Ali-Ali, cependant.;;;;;;;;;;;;x
wafrica.102.b;Koi-Koi is better than the impulsive, overly righteous, young Ali-Ali.;Koi-Koi est meilleur que le jeune Ali-Ali, impulsif, trop vertueux et trop droit.;;;;;;;;;;;;x
wafrica.103.name;Hawa's End?;La fin d'Hawa ?;;;;;;;;;;;;x
wafrica.103.desc;Shocking! Why would Hawa, wife of the perverted sorcerer Ali-Ali, seek the aid of their enemy, the fraudster Koi-Koi the Fake, who once scammed her?\n\nYou listen carefully, as your Griot relays their conversation, skillfully changing his tone back and forth as he speaks the witty banter between these two snide, sarcastic characters. It is an absolute joy to hear!\n\nIt seems Hawa and Ali-Ali are in grave danger indeed, so her desperation is understandable. Apparently Ali-Ali, faithful to Hawa despite his lusty nature, rejected the advances of a mighty snake goddess who now wants them dead, and only Koi-Koi has the skills to defeat her, by deceiving her into forgetting about Ali-Ali and Hawa.;Choquant ! Pourquoi Hawa, la femme du sorcier pervers Ali-Ali, chercherait-elle l'aide de leur ennemi, le fraudeur Koi-Koi le faux, qui l'a une fois arnaquée ? Vous écoutez attentivement, pendant que votre Griot relaie leur conversation, changeant habilement son ton de part et d'autre pendant qu'il parle le badinage spirituel entre ces deux personnages narquois et sarcastiques. C'est une joie absolue d'entendre !\n\nIl semble que Hawa et Ali-Ali sont en grave danger, donc son désespoir est compréhensible. Apparemment Ali-Ali, fidèle à Hawa malgré sa nature luxuriante, a rejeté les avances d'une puissante déesse serpent qui les veut maintenant morts, et seul Koi-Koi a les compétences pour la vaincre, en la trompant pour qu'elle oublie Ali-Ali et Hawa.;;;;;;;;;;;;x
wafrica.103.a;How will Koi-Koi deceive this goddess, to save Ali-Ali and Hawa?;Comment Koi-Koi trompera cette déesse, pour sauver Ali-Ali et Hawa ?;;;;;;;;;;;;x
wafrica.104.name;No More Cliches!;Plus de clichés !;;;;;;;;;;;;x
wafrica.104.desc;Uh-oh. In the middle of your griot's performance, some members of the audience - mostly rowdy young men - start to complain about what they see as cliches. They say that your griot is singing another tale featuring the same sort of plots, the same sort of characters, the same sort of humor and themes. Other audience members, particularly the older ones, come to the defense of your griot, arguing that the youths don't know what a good quality is, and that they should learn to recognize the finer and subtler differences between each tale  and appreciate the depth these stories can have.\n\nYour griot turns to you, and asks for your opinion.;Uh-oh. Au milieu de la performance de votre griot, certains membres du public - surtout des jeunes hommes bruyants - commencent à se plaindre de ce qu'ils considèrent comme des clichés. On dit que votre griot chante un autre conte mettant en scène le même genre d'intrigue, le même genre de personnages, le même genre d'humour et les mêmes thèmes. D'autres membres du public, en particulier les plus âgés, viennent à la défense de votre griot, arguant que les jeunes ne savent pas ce qu'est une bonne qualité, et qu'ils devraient apprendre à reconnaître les différences plus fines et plus subtiles entre chaque conte et apprécier la profondeur que ces histoires peuvent avoir.\n\nVotre griot se tourne vers vous, et vous demande votre opinion.;;;;;;;;;;;;x
wafrica.104.a;I want something different... something experimental and revolutionary!;Je veux quelque chose de différent... quelque chose d'expérimental et révolutionnaire !;;;;;;;;;;;;x
wafrica.104.b;I like the old stories. Repetitive, yes, but there's a reason why they’re around.;J'aime les vieilles histoires. Répétitif, oui, mais il y a une raison pour laquelle ils sont là.;;;;;;;;;;;;x
wafrica.105.name;Honoring the Past;Hommage au passé;;;;;;;;;;;;x
wafrica.105.desc;Unlike yesterday's rowdy, comedic routine, today your griot's performances are more serious in nature. The haunting, dark melodies he plays stir your emotions, as he recalls the past. He tells of the ancestors of your tribe - their heroic deeds as they used their cunning and courage to fight their enemies, the dilemmas they faced as to whether to sacrifice this or that, the trials they dealt with when it seemed all was against them. Some of these tales do not end happily.;Contrairement à la routine comique d'hier, les performances de votre griot sont aujourd'hui plus sérieuses. Les mélodies sombres et envoûtantes qu'il joue éveillent vos émotions, comme il se souvient du passé. Il parle des ancêtres de votre tribu - leurs actes héroïques alors qu'ils utilisaient leur ruse et leur courage pour combattre leurs ennemis, les dilemmes auxquels ils étaient confrontés pour savoir s'ils devaient sacrifier ceci ou cela, les épreuves auxquelles ils ont dû faire face quand tout semblait être contre eux. Certains de ces récits ne se terminent pas joyeusement.;;;;;;;;;;;;x
wafrica.105.a;But there was always hope - otherwise, we wouldn't be here.;Mais il y avait toujours de l'espoir - autrement, nous ne serions pas ici.;;;;;;;;;;;;x
wafrica.106.desc;Your griot can criticize and mock anyone during these performances, as part of his routine, and no one can do anything about it. Today, during his performance, your griot has some particularly interesting songs about one of your courtiers - embarrassing, yes, but also very amusing. As everyone laughs, your courtier glances around nervously, face red.;Votre griot peut critiquer et se moquer de n'importe qui pendant ces représentations, dans le cadre de sa routine, et personne ne peut rien y faire. Aujourd'hui, lors de sa prestation, votre griot a des chansons particulièrement intéressantes sur l'un de vos courtisans - embarrassant, oui, mais aussi très amusant. Pendant que tout le monde rit, votre courtisan jette un coup d'œil nerveux, le visage rouge.;;;;;;;;;;;;x
wafrica.106.a;It's like they don't want to be here, huh?;C'est comme s'ils ne voulaient pas être ici, hein ?;;;;;;;;;;;;x
wafrica.107.desc;"That plot was terrible," exclaims one of your courtiers,as your griot finishes his story for the day. "It jumped around without reason, it made no sense if you think about it..." As your courtier goes on and on, you realize he has a point. That last story wasn't particularly strong, and it had many flaws.;"Cet intrigue était déplorable", s'exclame l'un de vos courtisans, alors que votre griot termine son histoire pour la journée. "Il a sauté sans raison, ça n'avait aucun sens si vous y pensez..." Au fur et à mesure que votre courtisan continue, vous vous rendez compte qu'il a raison. Cette dernière histoire n'était pas particulièrement forte et présentait de nombreux défauts.;;;;;;;;;;;;x
wafrica.107.a;I hope the stories tomorrow will be more riveting.;J'espère que les histoires de demain seront plus fascinantes.;;;;;;;;;;;;x
wafrica.107.b;It was still enjoyable, that's the most important thing!;C'était toujours agréable, c'est la chose la plus importante !;;;;;;;;;;;;x
wafrica.108.name;Yaqub is Naked;Yaqub est nu;;;;;;;;;;;;x
wafrica.108.desc;Today, Soumaoro Yaqub is the focus of the tale your griot tells. It begins calmly, peacefully, as the heroic warrior removes his clothes and enters the water naked to rest and bathe himself. But - what's this?\n\nEverybody starts laughing as your griot mimics Yaqub's shock when he sees someone stealing his clothes! But too late, as soon as he leaves the water, the culprit is nearly out of sight, running towards a city nearby. Now our hero must find this thief and avoid embarrassing himself with his nudity!;Aujourd'hui, Soumaoro Yaqub est au centre de l'histoire que votre griot raconte. Il commence calmement, paisiblement, alors que le guerrier héroïque enlève ses vêtements et entre dans l'eau nue pour se reposer et se baigner. Mais - qu'est-ce que c'est ?\n\nTout le monde commence à rire quand ton griot imite le choc de Yaqub quand il voit quelqu'un voler ses vêtements ! Mais trop tard, dès qu'il quitte l'eau, le coupable est presque hors de vue, courant vers une ville voisine. Maintenant notre héros doit trouver ce voleur et éviter de se mettre dans l'embarras avec sa nudité !;;;;;;;;;;;;x
wafrica.108.a;Continue the story, my griot!;Continuez l'histoire, mon griot !;;;;;;;;;;;;x
wafrica.109.name;Yaqub and the Warrior Woman;Yaqub et la guerrière;;;;;;;;;;;;x
wafrica.109.desc;As your griot continues telling another take about Soumaoro Yaqub, you bite on your nails in apprehension, as you realize that Yaqub's new companion is no beautiful warrior princess claiming to also fight against the evil sorcerer-lord Abu, she IS Abu in disguise!\n\nIt is so obvious to you now, the way this "princess" acts and speaks. Abu's disguise is no doubt clever and cunning, and you wonder how Yaqub is going to get out of the inevitable trap, and why Abu is doing this in the first place.;Alors que votre griot continue à raconter une autre prise de vue sur Soumaoro Yaqub, vous vous mordez les ongles en appréhension, alors que vous réalisez que la nouvelle compagne de Yaqub n'est pas une belle princesse guerrière prétendant luttant aussi contre le méchant sorcier et seigneur Abu, elle EST Abu déguisée !\n\nIl est si évident pour toi maintenant, la façon dont cette "princesse" agit et parle. Le déguisement d'Abu est sans aucun doute intelligent et rusé, et vous vous demandez comment Yaqub va sortir de l'inévitable piège, et pourquoi Abu fait cela en premier lieu.;;;;;;;;;;;;x
wafrica.109.a;Be careful, Yaqub!;Soit prudent, Yaqub !;;;;;;;;;;;;x
wafrica.110.name;Fool!;Idiot !;;;;;;;;;;;;x
wafrica.110.desc;So your griot sings about how the great warrior Soumaoro Yaqub, yet again, charges into battle against the sorcerer Abubakari! But today, the evil lord Abu says: "Foolish Soumaoro! Stop right there. Why are you fighting me like this? Don't you realize the same thing happens every time? You attack me, I shout 'Fool, you shall never defeat me,' and then fly away, only for us to repeat it over and over again."\n\nYour griot tells about how Yaqub muses over this for a moment, before saying, "You will not fool me with your treachery, evil demon!";Alors votre griot chante comment le grand guerrier Soumaoro Yaqub, une fois de plus, charge dans la bataille contre le sorcier Abubakari ! Mais aujourd'hui, le méchant seigneur Abu dit : "Idiot Soumaoro !  Arrêtez-vous là. Pourquoi vous vous battez contre moi comme ça ? Vous ne réalisez pas que la même chose arrive à chaque fois ? Vous m'attaquez, je crie 'Idiot, vous ne me vaincrez jamais', et puis vous vous envolerez, seulement pour que nous le répétions encore et encore."\n\nVotre griot raconte comment Yaqub muses à ce sujet pendant un moment, avant de dire, "Vous ne me tromperez pas avec votre trahison, démon maléfique !";;;;;;;;;;;;x
wafrica.110.a;Seriously.;Sérieusement.;;;;;;;;;;;;x
wafrica.111.name;Yaqub vs. Abu;Yaqub vs. Abu;;;;;;;;;;;;x
wafrica.111.desc;Your griot continues the story: Just as Yaqub is about to charge at Abubakari again, the sorcerer turns himself into a giant bird, shouting, "Fool, you shall never defeat me!" as he flies away. He then magically reappears moments later before Yaqub, saying, "See what I mean?"\n\nThus Abu offers Yaqub a deal: they will fight at an agreed location, man-to-man, no sorcery, no magical weapons, just their own pure strength against each other. Yaqub agrees to it, but you can tell based on your griot's intonation of their voices that the two clearly plan to cheat despite their agreement...;Votre griot poursuit l'histoire : Alors que Yaqub est sur le point de charger à nouveau à Abubakari, le sorcier se transforme en oiseau géant en criant : "Idiot, vous ne me vaincrez jamais !" alors qu'il s'envole. Il réapparaît alors par magie quelques instants plus tard devant Yaqub, en disant : "Voyez ce que je veux dire ?"\n\nAbu offre donc un accord à Yaqub : ils se battront à un endroit convenu, d'homme à homme, pas de sorcellerie, pas d'armes magiques, juste leur propre force pure l'un contre l'autre. Yaqub est d'accord, mais vous pouvez dire, d'après l'intonation de leurs voix par votre griot, que les deux ont clairement l'intention de tricher malgré leur accord...;;;;;;;;;;;;x
wafrica.111.a;I wonder what tricks these two enemies have up their sleeves...;Je me demande ce que ces deux ennemis ont dans leurs manches....;;;;;;;;;;;;x
wafrica.112.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.112.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.113.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.113.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.114.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.114.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.115.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.115.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.116.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.116.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.117.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.117.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.118.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.118.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.119.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.119.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.120.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.120.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.121.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.121.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.122.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.122.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.123.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.123.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.124.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.124.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.125.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.125.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.126.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.126.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.127.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.127.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.128.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.128.a;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.129.desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.129.a;xxxxx;xxxxx;;;;;;;;;;;;x
#Receive Iron Woman ;;;;;;;;;;;;;;x
receive_iron_woman;Receive Iron Woman;Recevoir la Dame de Fer;;;;;;;;;;;;x
receive_iron_woman_desc;Go to a blacksmith and request for your own "Iron Woman," a special ceremonial spear or staff with magical powers;Allez voir un forgeron et demandez votre propre "Dame de Fer", une lance de cérémonie spéciale ou un bâton aux pouvoirs magiques.;;;;;;;;;;;;x
wafrica.5.desc;“Indeed, the blacksmiths possess much power,” my Griot tells me. “It is they who know most of ‘nyama,’ the force which controls all society and the universe, for they can fashion great things out of nothing. It is they who possess spiritual knowledge greater than even us Griots. Respected and feared by our people, they are the greatest of the ‘nyamakalaw’ castes, who can shape nyama into art.”\n\nMy Griot thus agrees that it is about time I receive a powerful artefact from one of these blacksmiths to demonstrate the power I myself possess as a [Root.GetTitle]. As my Griot suggests, “It is time you ask for a so-called ‘iron woman,’ a ceremonial spear or staff imbued by magical power. With it, the world will know of you as a mighty leader of men.”;"En effet, les forgerons possèdent beaucoup de pouvoir, me dit mon Griot. "Ce sont eux qui connaissent le plus 'nyama', la force qui contrôle toute la société et l'univers, car ils peuvent façonner de grandes choses à partir de rien. Ce sont eux qui possèdent une connaissance spirituelle plus grande que nous, les Griots. Respectées et craintes par notre peuple, ils sont les plus grands des châteaux ‘nyamakalaw’, qui peuvent façonner nyama en art."\n\nMon griot convient donc qu'il est temps que je reçoive un artefact puissant d'un de ces forgerons pour démontrer le pouvoir que je possède moi-même en tant que [Root.GetTitle]. Comme le suggère mon Griot, "Il est temps de demander une soi-disant "Dame de Fer", une lance de cérémonie ou un bâton imprégné d'un pouvoir magique. Avec elle, le monde saura que vous êtes un puissant chef d'hommes.";;;;;;;;;;;;x
wafrica.5.a;Let’s go to the blacksmith, then.;Allons voir le forgeron, alors.;;;;;;;;;;;;x
wafrica.5.name;The Power of Nyama;Le pouvoir de Nyama;;;;;;;;;;;;x
wafrica.5.tooltip;[Root.GetTitledFirstName] discusses the matter with [Root.GetHerHis] Griot.;[Root.GetTitledFirstName] discute de la question avec son Griot.;;;;;;;;;;;;x
wafrica.6.tooltip;[Root.GetTitledFirstName] visits the blacksmith and asks for the “iron woman” to be made.;[Root.GetTitledFirstName] rend visite au forgeron et demande que la "Dame de Fer" soit faite.;;;;;;;;;;;;x
wafrica.6.desc;I approach the blacksmith as he strikes his steel and forges his products. He is an imposing figure - indeed this is the sort of man who controls “nyama,” the life force, one who can create and destroy! I come to him humbly, and make my request for the “iron woman.”\n\nThe blacksmith, thankfully, is more than happy to oblige. “This is a good and important ask, [Root.GetTitledFirstName], and one I will do with uttermost care, so it will take some time,” he tells me. “However, I must ask you something. Because the ‘Iron Woman’ represents you and your power, I believe it should represent an aspect of your rule or yourself you find important. What do you think is most important, for you, as a ruler?” ;Je m'approche du forgeron alors qu'il frappe son acier et forge ses produits. C'est un personnage imposant - en effet, c'est le genre d'homme qui contrôle "nyama", la force vitale, celui qui peut créer et détruire ! Je viens à lui humblement, et je fais ma demande pour la "Dame de Fer".\n\n"Le forgeron, heureusement, est plus qu'heureux qu'obliger."C'est une bonne et importante demande, [Root.GetTitledFirstName], et celle que je vais faire avec le plus grand soin, donc ça va prendre un peu de temps, me dit-il. "Cependant, je dois vous demander quelque chose. Parce que la 'Dame de Fer' vous représente vous et votre pouvoir, je crois qu'elle devrait représenter un aspect de votre règne ou de vous-même que vous trouvez important. Qu'est-ce qui est le plus important pour vous, en tant que dirigeant ?";;;;;;;;;;;;x
wafrica.6.a;Power and authority are needed for any ruler.;Le pouvoir et l'autorité sont nécessaires pour tout dirigeant.;;;;;;;;;;;;x
wafrica.6.b;Wisdom and spirituality are the greatest things.;La sagesse et la spiritualité sont les plus grandes choses.;;;;;;;;;;;;x
wafrica.6.c;Society and my people - I care most about those.;La société et mon peuple - c'est à eux que je tiens le plus.;;;;;;;;;;;;x
wafrica.6.name;An Iron Woman;Une Dame de Fer;;;;;;;;;;;;x
wafrica.7.tooltip;[Root.GetTitledFirstName] waits for the blacksmith to wield the “nyama” and create his staff of power.;[Root.GetTitledFirstName] attend que le forgeron manie le "nyama" et crée son bâton de pouvoir.;;;;;;;;;;;;x
wafrica.8.tooltip;[Root.GetTitledFirstName] waits for the blacksmith to wield the “nyama” and create his staff of wisdom.;[Root.GetTitledFirstName] attend que le forgeron manie le "nyama" et crée son bâton de sagesse.;;;;;;;;;;;;x
wafrica.9.tooltip;[Root.GetTitledFirstName] waits for the blacksmith to wield the “nyama” and create his staff of community.;[Root.GetTitledFirstName] attend que le forgeron manie le "nyama" et crée son bâton de la communauté.;;;;;;;;;;;;x
wafrica.7.desc;Some time has passed, and I have received word that my “Iron Woman” is finished. My griot and I travel a great distance, back to the blacksmith’s forge. “This is a powerful ‘Iron Woman,’” he says, as he hands it to me. “Use it wisely.” Even I can feel the raw energy emulating from it. I can definitely sense the power of the “nyamakalaw,” like this blacksmith, who control the forces of the universe.\nAs we come back to my residence, my Griot comments on my new symbol of power. Nodding sagely, my Griot warns, “Your authority is supreme - your soldiers shall be heartened, your servants loyal, your enemies afraid. But remember, [Root.GetTitledFirstName], power is good only if it is used justly.”;Un certain temps s'est écoulé, et j'ai appris que ma "Dame de fer" est terminée. Mon griot et moi parcourons une grande distance, jusqu'à la forge du forgeron. "C'est une 'Dame de fer', dit-il en me la remettant. "Utilisez-le à bon escient." Même moi, je peux sentir l'énergie brute qui en émane. Je peux certainement sentir le pouvoir du "nyamakalaw", comme ce forgeron, qui contrôle les forces de l'univers.\nEn revenant à ma résidence, mon Griot commente mon nouveau symbole du pouvoir. Mon Griot hoche la tête sagement, avertit mon Griot, "Votre autorité est suprême - vos soldats seront réconfortés, vos serviteurs loyaux, vos ennemis effrayés. Mais rappelez-vous, [Root.GetTitledFirstName], le pouvoir n'est bon que s'il est utilisé à bon escient.";;;;;;;;;;;;x
wafrica.7.a;And so I shall be a great and noble ruler.;Je serai donc un grand et noble dirigeant.;;;;;;;;;;;;x
wafrica.7.name;Power;Pouvoir;;;;;;;;;;;;x
wafrica.8.desc;Some time has passed, and I have received word that my “Iron Woman” is finished. My griot and I travel a great distance, back to the blacksmith’s forge. “I can see great spirit coming from this ‘Iron Woman,’” he says, as he hands it to me. As I receive it, I feel the spirit of the ancestors blessing me. I can definitely sense the power of the “nyamakalaw,” like this blacksmith, who control the forces of the universe.\nAs we come back to my residence, my Griot comments on my new symbol of wisdom. My Griot smiles as I show him the artefact. He tells me, “It is good that you value wisdom and respect the forces of nature, [Root.GetTitledFirstName]. May this be of use to you throughout your reign.”;Un certain temps s'est écoulé, et j'ai appris que ma "Dame de fer" est terminée. Mon griot et moi parcourons une grande distance, jusqu'à la forge du forgeron. "C'est une 'Dame de fer', dit-il en me la remettant. "Utilisez-le à bon escient." En la recevant, je sens l'esprit des ancêtres me bénir. Je peux certainement sentir la puissance du "nyamakalaw", comme ce forgeron, qui contrôle les forces de l'univers.\nEn revenant à ma résidence, mon Griot commente mon nouveau symbole de sagesse. Mon Griot sourit quand je lui montre l'artefact. Il me dit : "Il est bon que vous valorisiez la sagesse et respectiez les forces de la nature, [Root.GetTitledFirstName]. Que ceci vous soit utile tout au long de votre règne.";;;;;;;;;;;;x
wafrica.8.a;May it be so.;Qu'il en soit ainsi.;;;;;;;;;;;;x
wafrica.8.name;Wisdom;Sagesse;;;;;;;;;;;;x
wafrica.9.desc;Some time has passed, and I have received word that my “Iron Woman” is finished. My griot and I travel a great distance, back to the blacksmith’s forge. “This ‘Iron Woman’ is a beautiful but useful artefact, I think,” he says, as he hands it to me. It may be a ceremonial tool, but I sense the spirit of my entire community in it. I can definitely sense the power of the “nyamakalaw,” like this blacksmith, who control the forces of the universe.\nAs we come back to my residence, my Griot comments on my new symbol of the community. He remarks, “A ruler who does not understand that which he rules is not a good ruler. May you, [Root.GetTitledFirstName], learn of and understand how to best serve your people.”;Un certain temps s'est écoulé, et j'ai appris que ma "Dame de fer" est terminée. Mon griot et moi parcourons une grande distance, jusqu'à la forge du forgeron. "C'est une 'Dame de fer', dit-il en me la remettant. "Utilisez-le à bon escient." C'est peut-être un outil cérémonial, mais je ressens l'esprit de toute ma communauté. Je peux certainement sentir le pouvoir du "nyamakalaw", comme ce forgeron, qui contrôle les forces de l'univers.\nEn revenant à ma résidence, mon Griot commente mon nouveau symbole de la communauté. Il remarque : "Un dirigeant qui ne comprend pas ce qu'il gouverne n'est pas un bon dirigeant. Puissiez-vous, [Root.GetTitledFirstName], apprendre et comprendre comment servir au mieux votre peuple.";;;;;;;;;;;;x
wafrica.9.a;That too is my wish.;C'est aussi mon souhait.;;;;;;;;;;;;x
wafrica.9.name;Community;Communauté;;;;;;;;;;;;x
wafrica.10.desc;As [Root.GetTitle], I have done well so far. My court is host to a good Griot, for instance. Yet, I can’t help but feel like I could be doing more to prove my worth as a [Root.GetTitle]. Perhaps I should wield an artefact of power, crafted by a skilled blacksmith. I should ask my Griot for advice on this matter.;En tant que [Root.GetTitle], je me suis bien débrouillé jusqu'à présent. Ma cour est l'hôte d'un bon Griot, par exemple. Pourtant, je ne peux pas m'empêcher de penser que je pourrais faire plus pour prouver ma valeur en tant que [Root.GetTitle]. Je devrais peut-être manier un artefact de pouvoir, fabriqué par un forgeron habile. Je devrais demander conseil à mon Griot à ce sujet.;;;;;;;;;;;;x
wafrica.10.a;What have you to say, o Griot?;Qu'as-tu à dire, ô Griot ?;;;;;;;;;;;;x
iron_woman_of_power_1;Iron Woman of Power;Dame de Fer de Pouvoir;;;;;;;;;;;;x
iron_woman_of_power_1_desc;This lord possesses a ceremonial staff or spear, an "Iron Woman," representing the lord's power and authority.;Ce seigneur possède un bâton ou une lance de cérémonie, une "Dame de fer", représentant le pouvoir et l'autorité du seigneur.;;;;;;;;;;;;x
iron_woman_of_power_2;Iron Woman of Power;Dame de Fer de Pouvoir;;;;;;;;;;;;x
iron_woman_of_power_2_desc;This lord possesses a ceremonial staff or spear, an "Iron Woman," representing the lord's power and authority.;Ce seigneur possède un bâton ou une lance de cérémonie, une "Dame de fer", représentant le pouvoir et l'autorité du seigneur.;;;;;;;;;;;;x
iron_woman_of_power_3;Iron Woman of Power;Dame de Fer de Pouvoir;;;;;;;;;;;;x
iron_woman_of_power_3_desc;This lord possesses a ceremonial staff or spear, an "Iron Woman," representing the lord's power and authority.;Ce seigneur possède un bâton ou une lance de cérémonie, une "Dame de fer", représentant le pouvoir et l'autorité du seigneur.;;;;;;;;;;;;x
iron_woman_of_power_4;Iron Woman of Power;Dame de Fer de Pouvoir;;;;;;;;;;;;x
iron_woman_of_power_4_desc;This lord possesses a ceremonial staff or spear, an "Iron Woman," representing the lord's power and authority.;Ce seigneur possède un bâton ou une lance de cérémonie, une "Dame de fer", représentant le pouvoir et l'autorité du seigneur.;;;;;;;;;;;;x
iron_woman_of_wisdom_1;Iron Woman of Wisdom;Dame de Fer de la Sagesse;;;;;;;;;;;;x
iron_woman_of_wisdom_1_desc;This lord possesses a ceremonial staff or spear, an "Iron Woman," representing the lord's reverence for wisdom and the spirits.;Ce seigneur possède un bâton ou une lance de cérémonie, une "Dame de fer", représentant le respect du seigneur pour la sagesse et les esprits.;;;;;;;;;;;;x
iron_woman_of_wisdom_2;Iron Woman of Wisdom;Dame de Fer de la Sagesse;;;;;;;;;;;;x
iron_woman_of_wisdom_2_desc;This lord possesses a ceremonial staff or spear, an "Iron Woman," representing the lord's reverence for wisdom and the spirits.;Ce seigneur possède un bâton ou une lance de cérémonie, une "Dame de fer", représentant le respect du seigneur pour la sagesse et les esprits.;;;;;;;;;;;;x
iron_woman_of_wisdom_3;Iron Woman of Wisdom;Dame de Fer de la Sagesse;;;;;;;;;;;;x
iron_woman_of_wisdom_3_desc;This lord possesses a ceremonial staff or spear, an "Iron Woman," representing the lord's reverence for wisdom and the spirits.;Ce seigneur possède un bâton ou une lance de cérémonie, une "Dame de fer", représentant le respect du seigneur pour la sagesse et les esprits.;;;;;;;;;;;;x
iron_woman_of_wisdom_4;Iron Woman of Wisdom;Dame de Fer de la Sagesse;;;;;;;;;;;;x
iron_woman_of_wisdom_4_desc;This lord possesses a ceremonial staff or spear, an "Iron Woman," representing the lord's reverence for wisdom and the spirits.;Ce seigneur possède un bâton ou une lance de cérémonie, une "Dame de fer", représentant le respect du seigneur pour la sagesse et les esprits.;;;;;;;;;;;;x
iron_woman_of_society_1;Iron Woman of Community;Dame de Fer de la Communauté;;;;;;;;;;;;x
iron_woman_of_society_1_desc;This lord possesses a ceremonial staff or spear, an "Iron Woman," representing the lord's dedication to serving their people and bettering their community.;Ce seigneur possède un bâton ou une lance de cérémonie, une "Dame de fer", représentant le dévouement du seigneur à servir son peuple et à améliorer sa communauté.;;;;;;;;;;;;x
iron_woman_of_society_2;Iron Woman of Community;Dame de Fer de la Communauté;;;;;;;;;;;;x
iron_woman_of_society_2_desc;This lord possesses a ceremonial staff or spear, an "Iron Woman," representing the lord's dedication to serving their people and bettering their community.;Ce seigneur possède un bâton ou une lance de cérémonie, une "Dame de fer", représentant le dévouement du seigneur à servir son peuple et à améliorer sa communauté.;;;;;;;;;;;;x
iron_woman_of_society_3;Iron Woman of Community;Dame de Fer de la Communauté;;;;;;;;;;;;x
