#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
drunken_tournament;Drunken Fool;Imbécile ivre;Drunken Fool;;Bufón beodo;;;;;;;;;x
grand_tourny_2nd_1;Grand tourney second places: 1;Secondes places Grand Tournoi: 1;Grand tourney second places: 1;;Segundo puesto en Gran Torneo: 1;;;;;;;;;x
grand_tourny_2nd_2;Grand tourney second places: 2;Secondes places Grand Tournoi: 2;Grand tourney second places: 2;;Segundo puesto en Gran Torneo: 2;;;;;;;;;x
grand_tourny_2nd_3;Grand tourney second places: 3;Secondes places Grand Tournoi: 3;Grand tourney second places: 3;;Segundo puesto en Gran Torneo: 3;;;;;;;;;x
grand_tourny_2nd_4;Grand tourney second places: 4;Secondes places Grand Tournoi: 4;Grand tourney second places: 4;;Segundo puesto en Gran Torneo: 4;;;;;;;;;x
grand_tourny_2nd_5;Grand tourney second places: 5+;Secondes places Grand Tournoi: 5+;Grand tourney second places: 5+;;Segundo puesto en Gran Torneo: 5+;;;;;;;;;x
grand_tourny_3rd_1;Grand tourney third places: 1;Troisièmes places Grand Tournoi: 1;Grand tourney third places: 1;;Tercer puesto en Gran Torneo: 1;;;;;;;;;x
grand_tourny_3rd_2;Grand tourney third places: 2;Troisièmes places Grand Tournoi: 2;Grand tourney third places: 2;;Tercer puesto en Gran Torneo: 1;;;;;;;;;x
grand_tourny_3rd_3;Grand tourney third places: 3;Troisièmes places Grand Tournoi: 3;Grand tourney third places: 3;;Tercer puesto en Gran Torneo: 3;;;;;;;;;x
grand_tourny_3rd_4;Grand tourney third places: 4;Troisièmes places Grand Tournoi: 4;Grand tourney third places: 4;;Tercer puesto en Gran Torneo: 4;;;;;;;;;x
grand_tourny_3rd_5;Grand tourney third places: 5+;Troisièmes places Grand Tournoi: 5+;Grand tourney third places: 5+;;Tercer puesto en Gran Torneo: 5+;;;;;;;;;x
hold_a_epic_tournament;Hold a Grand tourney of [Root.Capital.GetName];Organiser un grand tournoi à [Root.Capital.GetName];;;Celebrar un Gran Torneo en [Root.Capital.GetName];;;;;;;;;x
hold_a_epic_tournament_desc;Let us hold a tournament the like of which is only rumoured. All Knights and Lords of the realm will gather at [Root.Capital.GetName];Allons, organisons un tournoi comme nul autre pareil. Tous les chevaliers et les seigneurs du Royaume se rassembleront à [Root.Capital.GetName];;;Celebremos un torneo sin parangón. Todos los caballeros y señores del reino se reunirán en [Root.Capital.GetName];;;;;;;;;x
hold_a_epic_tournament_high_lord;Hold a regional Tourney;Organiser un Tournoi Régional;Hold a regional Tourney;;Celebrar un Torneo Regional;;;;;;;;;x
hold_a_epic_tournament_high_lord_desc;Let us hold a jousting tournament for the Knights and Lords of our region in [Root.Capital.GetName];Permettez-nous d'organiser une joute pour les Chevaliers et Seigneurs de notre région à [Root.Capital.GetName].;Let us hold a jousting tournament for the Knights and Lords of our region in [Root.Capital.GetName];;Celebremos un torneo de justas para los caballeros y señores de nuestra región en [Root.Capital.GetName];;;;;;;;;x
hold_a_epic_tournament_lord;Hold a local Tourney;Organiser un Tournoi Local;Hold a local Tourney;;Celebrar un Torneo Local;;;;;;;;;x
hold_a_epic_tournament_lord_desc;Let us hold a small tournament for local Knights and Lords in [Root.Capital.GetName];Permettez-nous d'organiser un tournoi pour les Chevaliers et les Lords des environs à [Root.Capital.GetName].;Let us hold a small tournament for local Knights and Lords in [Root.Capital.GetName];;Celebremos un pequeño torneo local para los caballeros y señores en [Root.Capital.GetName];;;;;;;;;x
hold_a_epic_tournament_LP;Hold a Grand Tourney of [Root.Capital.GetName];Organiser un Grand Tournoi à [Root.Capital.GetName];Hold a Grand Tourney of [Root.Capital.GetName];;Celebrar un Gran Torneo en [Root.Capital.GetName];;;;;;;;;x
hold_a_epic_tournament_LP_desc;Let us hold a tournament the like of which is only rumoured. All Knights and Lords of the realm will gather at [Root.Capital.GetName];Permettez-nous d'organiser un tournoi comme nul pareil. Tous les Chevaliers et les Seigneurs du Royaume se rassembleront à [Root.Capital.GetName].;Let us hold a tournament the like of which is only rumoured. All Knights and Lords of the realm will gather at [Root.Capital.GetName];;Celebremos un torneo sin parangón. Todos los caballeros y señores del reino se reunirán en [Root.Capital.GetName];;;;;;;;;x
normal_tourny_1st_1;Regional tourney wins: 1;Victoires Tournoi Régional: 1;Regional tourney wins: 1;;Primer puesto en torneo regional: 1;;;;;;;;;x
normal_tourny_1st_2;Regional tourney wins: 2;Victoires Tournoi Régional: 2;Regional tourney wins: 2;;Primer puesto en torneo regional: 2;;;;;;;;;x
normal_tourny_1st_3;Regional tourney wins: 3;Victoires Tournoi Régional: 3;Regional tourney wins: 3;;Primer puesto en torneo regional: 3;;;;;;;;;x
normal_tourny_1st_4;Regional tourney wins: 4;Victoires Tournoi Régional: 4;Regional tourney wins: 4;;Primer puesto en torneo regional: 4;;;;;;;;;x
normal_tourny_1st_5;Regional tourney wins: 5+;Victoires Tournoi Régional: 5+;Regional tourney wins: 5+;;Primer puesto en torneo regional: 5+;;;;;;;;;x
normal_tourny_2nd_1;Regional tourney second places: 1;Secondes places Tournoi Régional: 1;Regional tourney second places: 1;;Segundo puesto en torneo regional: 1;;;;;;;;;x
normal_tourny_2nd_2;Regional tourney second places: 2;Secondes places Tournoi Régional: 2;Regional tourney second places: 2;;Segundo puesto en torneo regional: 2;;;;;;;;;x
normal_tourny_2nd_3;Regional tourney second places: 3;Secondes places Tournoi Régional: 3;Regional tourney second places: 3;;Segundo puesto en torneo regional: 3;;;;;;;;;x
normal_tourny_2nd_4;Regional tourney second places: 4;Secondes places Tournoi Régional: 4;Regional tourney second places: 4;;Segundo puesto en torneo regional: 4;;;;;;;;;x
normal_tourny_2nd_5;Regional tourney second places: 5+;Secondes places Tournoi Régional: 5+;Regional tourney second places: 5+;;Segundo puesto en torneo regional: 5+;;;;;;;;;x
normal_tourny_3rd_1;Regional tourney third places: 1;Troisèmes places Tournoi Régional: 1;Regional tourney third places: 1;;Tercer puesto en torneo regional: 1;;;;;;;;;x
normal_tourny_3rd_2;Regional tourney third places: 2;Troisèmes places Tournoi Régional: 2;Regional tourney third places: 2;;Tercer puesto en torneo regional: 2;;;;;;;;;x
normal_tourny_3rd_3;Regional tourney third places: 3;Troisèmes places Tournoi Régional: 3;Regional tourney third places: 3;;Tercer puesto en torneo regional: 3;;;;;;;;;x
normal_tourny_3rd_4;Regional tourney third places: 4;Troisèmes places Tournoi Régional: 4;Regional tourney third places: 4;;Tercer puesto en torneo regional: 4;;;;;;;;;x
normal_tourny_3rd_5;Regional tourney third places: 5+;Troisèmes places Tournoi Régional: 5+;Regional tourney third places: 5+;;Tercer puesto en torneo regional: 5+;;;;;;;;;x
opinion_attending_tournament;Attending tournament;Attending tournament;Attending tournament;;Asistiendo a un torneo;;;;;;;;;x
opinion_potential_tourny_rival;Potential Tourney Rival;Potentiel rival en tournoi;Potential Tourney Rival;;Rival potencial en el torneo;;;;;;;;;x
opinion_queen_love_beauty;Queen of love and beauty;Reine d'amour et de beauté;Queen of love and beauty;;Reina del Amor y la Belleza;;;;;;;;;x
opinion_queen_love_beauty_chosen;Chosen queen of love and beauty;Choisir la reine d'amour et de beauté;Chosen queen of love and beauty;;Elegida Reina del Amor y la Belleza;;;;;;;;;x
opinion_spectating_tournament;Spectating Tournament;Spectateur du Tournoi;Spectating Tournament;;Espectador de un torneo;;;;;;;;;x
opinion_squire_honoured;Honoured Squire;Ecuyer honoré;Honoured Squire;;Escudero honrado;;;;;;;;;x
opinion_squire_humiliated;Humiliated Squire;Ecuyer Humilié;Humiliated Squire;;Escudero humillado;;;;;;;;;x
opinion_tournament_spectator;Attended Tourney;A assisé au Tournoi;Attended Tourney;;Ha asistido a un torneo;;;;;;;;;x
OUTCOME_1;Great;Great;Great;;Grande;;;;;;;;;x
OUTCOME_2;Modest;Modest;Modest;;Modesto;;;;;;;;;x
OUTCOME_3;Bad;Bad;Bad;;Malo;;;;;;;;;x
OUTCOME_4;Horrible;Horrible;Horrible;;Horrible;;;;;;;;;x
show_me_the_medal_winners;Show tourney medal winners;Voir les vainqueurs de médailles dans des tournois.;Show tourney medal winners;;Mostrar los ganadores de medallas en torneo;;;;;;;;;x
show_me_the_medal_winners_desc;Show tourney medal winners;Voir les vainqueurs de médailles dans des tournois.;Show tourney medal winners;;Mostrar los ganadores de medallas en torneo;;;;;;;;;x
small_tourny_1st_1;Small tourney wins: 1;Victoires Petit Tournoi: 1;Small tourney wins: 1;;Primer puesto en torneo local: 1;;;;;;;;;x
small_tourny_1st_2;Small tourney wins: 2;Victoires Petit Tournoi: 2;Small tourney wins: 2;;Primer puesto en torneo local: 2;;;;;;;;;x
small_tourny_1st_3;Small tourney wins: 3;Victoires Petit Tournoi: 3;Small tourney wins: 3;;Primer puesto en torneo local: 3;;;;;;;;;x
small_tourny_1st_4;Small tourney wins: 4;Victoires Petit Tournoi: 4;Small tourney wins: 4;;Primer puesto en torneo local: 4;;;;;;;;;x
small_tourny_1st_5;Small tourney wins: 5+;Victoires Petit Tournoi: 5+;Small tourney wins: 5+;;Primer puesto en torneo local: 5+;;;;;;;;;x
small_tourny_2nd_1;Small tourney second places: 1;Secondes places Petit Tournoi: 1;Small tourney second places: 1;;Segundo puesto en torneo local: 1;;;;;;;;;x
small_tourny_2nd_2;Small tourney second places: 2;Secondes places Petit Tournoi: 2;Small tourney second places: 2;;Segundo puesto en torneo local: 2;;;;;;;;;x
small_tourny_2nd_3;Small tourney second places: 3;Secondes places Petit Tournoi: 3;Small tourney second places: 3;;Segundo puesto en torneo local: 3;;;;;;;;;x
small_tourny_2nd_4;Small tourney second places: 4;Secondes places Petit Tournoi: 4;Small tourney second places: 4;;Segundo puesto en torneo local: 4;;;;;;;;;x
small_tourny_2nd_5;Small tourney second places: 5+;Secondes places Petit Tournoi: 5+;Small tourney second places: 5+;;Segundo puesto en torneo local: 5+;;;;;;;;;x
small_tourny_3rd_1;Small tourney third places: 1;Troisièmes places Petit Tournoi: 1;Small tourney third places: 1;;Tercer puesto en torneo local: 1;;;;;;;;;x
small_tourny_3rd_2;Small tourney third places: 2;Troisièmes places Petit Tournoi: 2;Small tourney third places: 2;;Tercer puesto en torneo local: 2;;;;;;;;;x
small_tourny_3rd_3;Small tourney third places: 3;Troisièmes places Petit Tournoi: 3;Small tourney third places: 3;;Tercer puesto en torneo local: 3;;;;;;;;;x
small_tourny_3rd_4;Small tourney third places: 4;Troisièmes places Petit Tournoi: 4;Small tourney third places: 4;;Tercer puesto en torneo local: 4;;;;;;;;;x
small_tourny_3rd_5;Small tourney third places: 5+;Troisièmes places Petit Tournoi: 5+;Small tourney third places: 5+;;Tercer puesto en torneo local: 5+;;;;;;;;;x
TOURNAMENTTITLE2;Tourney of [From.Capital.GetName];Tournoi de [From.Capital.GetName];Tourney of [From.Capital.GetName];;Torneo de [From.Capital.GetName];;;;;;;;;x
TOURNAMENTTITLE3;Tourney of [Root.Capital.GetName];Tournoi de [Root.Capital.GetName];Tourney of [Root.Capital.GetName];;Torneo de [Root.Capital.GetName];;;;;;;;;x
TOURNAMENTTITLE4;Tourney of [FromFrom.Capital.GetName];Tournoi de [FromFrom.Capital.GetName];Tourney of [FromFrom.Capital.GetName];;Torneo de [FromFrom.Capital.GetName];;;;;;;;;x
TOURNAMENTTITLE;Jousting Tournament;Joute;Jousting Tournament;;Torneo de justas;;;;;;;;;x
tournament_cooldown;[From.GetTitledFirstName] [From.GetOnlyDynastyName] has not held a tournament in the last decade\n;[From.GetTitledFirstName] [From.GetOnlyDynastyName] has not held a tournament in the last decade\n;[From.GetTitledFirstName] [From.GetOnlyDynastyName] has not held a tournament in the last decade\n;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] no ha celebrado ningún torneo en la última década\n;;;;;;;;;x
tournament_invite;Let all Knights and Lords of the realm be invited;Inviter tous les chevaliers et les seigneurs du Royaume;;;Invitemos a todos los caballeros y señores del reino;;;;;;;;;x
tournament_invite_1;Let all Knights and Lords of the region be invited;Permettez à tous les Chevaliers et Seigneurs de la région d'être invités.;Let all Knights and Lords of the region be invited;;Invitemos a todos los caballeros y señores del reino;;;;;;;;;x
tournament_invite_2;Let all local Knights and Lords be invited;Permettez à tous les Chevaliers et Seigneurs des environs d'être invités.;Let all local Knights and Lords be invited;;Invitemos a todos los caballeros y señores locales;;;;;;;;;x
tournament_in_progress;No tournament of equal or higher rank is currently being held in the realm\n;No tournament of equal or higher rank is currently being held in the realm\n;No tournament of equal or higher rank is currently being held in the realm\n;;Ningún torneo de igual o mayor rango se está celebrando en el reino\n;;;;;;;;;x
